"Relative Time","Hits"
"00:00","0"
"00:01","0"
"00:02","115"
"00:03","0"
"00:04","0"
"00:05","98"
"00:06","0"
"00:07","100"
"00:08","0"
"00:09","0"
"00:10","150"
"00:11","0"
"00:12","67"
"00:13","0"
"00:14","0"
"00:15","170"
"00:16","0"
"00:17","53"
"00:18","0"
"00:19","0"
"00:20","181"
"00:21","0"
"00:22","44"
"00:23","0"
"00:24","0"
"00:25","201"
"00:26","0"
"00:27","38"
"00:28","0"
"00:29","0"
"00:30","174"
"00:31","35"
"00:32","34"
"00:33","0"
"00:34","0"
"00:35","124"
"00:36","93"
"00:37","30"
"00:38","0"
"00:39","0"
"00:40","27"
"00:41","189"
"00:42","26"
"00:43","0"
"00:44","0"
"00:45","25"
"00:46","200"
"00:47","0"
"00:48","24"
"00:49","0"
"00:50","0"
"00:51","230"
"00:52","0"
"00:53","22"
"00:54","0"
"00:55","0"
"00:56","220"
"00:57","0"
"00:58","20"
"00:59","0"
"01:00","0"
"01:01","228"
"01:02","0"
"01:03","19"
"01:04","0"
"01:05","0"
"01:06","180"
"01:07","54"
"01:08","18"
"01:09","0"
"01:10","0"
"01:11","144"
"01:12","80"
"01:13","0"
"01:14","16"
"01:15","0"
"01:16","135"
"01:17","91"
"01:18","0"
"01:19","15"
"01:20","0"
"01:21","135"
"01:22","105"
"01:23","0"
"01:24","14"
"01:25","0"
"01:26","28"
"01:27","210"
"01:28","0"
"01:29","13"
"01:30","0"
"01:31","13"
"01:32","208"
"01:33","13"
"01:34","13"
"01:35","0"
"01:36","0"
"01:37","200"
"01:38","36"
"01:39","12"
"01:40","0"
"01:41","0"
"01:42","144"
"01:43","96"
"01:44","0"
"01:45","12"
"01:46","0"
"01:47","110"
"01:48","121"
"01:49","0"
"01:50","11"
"01:51","0"
"01:52","110"
"01:53","132"
"01:54","0"
"01:55","11"
"01:56","0"
"01:57","40"
"01:58","170"
"01:59","20"
"02:00","0"
"02:01","10"
"02:02","40"
"02:03","150"
"02:04","50"
"02:05","0"
"02:06","10"
"02:07","20"
"02:08","140"
"02:09","90"
"02:10","0"
"02:11","10"
"02:12","9"
"02:13","81"
"02:14","135"
"02:15","9"
"02:16","0"
"02:17","18"
"02:18","63"
"02:19","126"
"02:20","45"
"02:21","0"
"02:22","9"
"02:23","72"
"02:24","117"
"02:25","63"
"02:26","0"
"02:27","8"
"02:28","40"
"02:29","88"
"02:30","96"
"02:31","8"
"02:32","8"
"02:33","40"
"02:34","72"
"02:35","112"
"02:36","16"
"02:37","8"
"02:38","48"
"02:39","64"
"02:40","96"
"02:41","40"
"02:42","0"
"02:43","40"
"02:44","56"
"02:45","96"
"02:46","72"
"02:47","0"
"02:48","16"
"02:49","56"
"02:50","56"
"02:51","77"
"02:52","42"
"02:53","7"
"02:54","35"
"02:55","84"
"02:56","77"
"02:57","42"
"02:58","14"
"02:59","21"
"03:00","84"
"03:01","77"
"03:02","56"
"03:03","7"
"03:04","28"
"03:05","70"
"03:06","77"
"03:07","70"
"03:08","14"
"03:09","21"
"03:10","42"
"03:11","70"
"03:12","77"
"03:13","49"
"03:14","20"
"03:15","24"
"03:16","42"
"03:17","88"
"03:18","55"
"03:19","54"
"03:20","31"
"03:21","0"
"03:22","72"
"03:23","60"
"03:24","66"
"03:25","48"
"03:26","0"
"03:27","66"
"03:28","54"
"03:29","66"
"03:30","36"
"03:31","30"
"03:32","24"
"03:33","78"
"03:34","66"
"03:35","60"
"03:36","30"
"03:37","12"
"03:38","78"
"03:39","54"
"03:40","78"
"03:41","42"
"03:42","0"
"03:43","42"
"03:44","66"
"03:45","78"
"03:46","54"
"03:47","30"
"03:48","0"
"03:49","90"
"03:50","54"
"03:51","66"
"03:52","36"
"03:53","30"
"03:54","24"
"03:55","78"
"03:56","60"
"03:57","72"
"03:58","36"
"03:59","18"
"04:00","30"
"04:01","83"
"04:02","45"
"04:03","60"
"04:04","40"
"04:05","5"
"04:06","30"
"04:07","110"
"04:08","60"
"04:09","25"
"04:10","20"
"04:11","20"
"04:12","110"
"04:13","60"
"04:14","30"
"04:15","25"
"04:16","20"
"04:17","105"
"04:18","60"
"04:19","25"
"04:20","30"
"04:21","20"
"04:22","105"
"04:23","60"
"04:24","30"
"04:25","30"
"04:26","15"
"04:27","105"
"04:28","60"
"04:29","35"
"04:30","30"
"04:31","5"
"04:32","95"
"04:33","75"
"04:34","40"
"04:35","30"
"04:36","5"
"04:37","70"
"04:38","95"
"04:39","40"
"04:40","35"
"04:41","5"
"04:42","50"
"04:43","105"
"04:44","50"
"04:45","35"
"04:46","5"
"04:47","30"
"04:48","120"
"04:49","55"
"04:50","35"
"04:51","5"
"04:52","30"
"04:53","110"
"04:54","60"
"04:55","25"
"04:56","20"
"04:57","20"
"04:58","120"
"04:59","60"
"05:00","25"
"05:01","20"
"05:02","21"
"05:03","110"
"05:04","60"
"05:05","20"
"05:06","35"
"05:07","20"
"05:08","105"
"05:09","60"
"05:10","25"
"05:11","30"
"05:12","15"
"05:13","105"
"05:14","60"
"05:15","35"
"05:16","30"
"05:17","5"
"05:18","105"
"05:19","65"
"05:20","40"
"05:21","30"
"05:22","5"
"05:23","85"
"05:24","80"
"05:25","45"
"05:26","30"
"05:27","5"
"05:28","65"
"05:29","100"
"05:30","40"
"05:31","35"
"05:32","5"
"05:33","50"
"05:34","105"
"05:35","50"
"05:36","35"
"05:37","5"
"05:38","35"
"05:39","115"
"05:40","55"
"05:41","35"
"05:42","5"
"05:43","30"
"05:44","111"
"05:45","64"
"05:46","30"
"05:47","23"
"05:48","30"
"05:49","105"
"05:50","45"
"05:51","20"
"05:52","35"
"05:53","40"
"05:54","105"
"05:55","45"
"05:56","16"
"05:57","33"
"05:58","43"
"05:59","112"
"06:00","64"
"06:01","11"
"06:02","20"
"06:03","40"
"06:04","85"
"06:05","45"
"06:06","50"
"06:07","25"
"06:08","35"
"06:09","90"
"06:10","45"
"06:11","45"
"06:12","25"
"06:13","25"
"06:14","100"
"06:15","59"
"06:16","49"
"06:17","33"
"06:18","20"
"06:19","75"
"06:20","30"
"06:21","70"
"06:22","35"
"06:23","30"
"06:24","80"
"06:25","20"
"06:26","75"
"06:27","35"
"06:28","30"
"06:29","35"
"06:30","50"
"06:31","30"
"06:32","65"
"06:33","40"
"06:34","25"
"06:35","85"
"06:36","20"
"06:37","83"
"06:38","35"
"06:39","30"
"06:40","96"
"06:41","20"
"06:42","31"
"06:43","96"
"06:44","36"
"06:45","36"
"06:46","84"
"06:47","36"
"06:48","10"
"06:49","80"
"06:50","25"
"06:51","30"
"06:52","75"
"06:53","30"
"06:54","80"
"06:55","30"
"06:56","30"
"06:57","55"
"06:58","45"
"06:59","80"
"07:00","35"
"07:01","30"
"07:02","55"
"07:03","45"
"07:04","65"
"07:05","50"
"07:06","30"
"07:07","40"
"07:08","60"
"07:09","40"
"07:10","75"
"07:11","30"
"07:12","30"
"07:13","70"
"07:14","30"
"07:15","75"
"07:16","40"
"07:17","30"
"07:18","70"
"07:19","30"
"07:20","75"
"07:21","35"
"07:22","25"
"07:23","80"
"07:24","20"
"07:25","75"
"07:26","35"
"07:27","30"
"07:28","85"
"07:29","20"
"07:30","70"
"07:31","30"
"07:32","35"
"07:33","85"
"07:34","25"
"07:35","70"
"07:36","30"
"07:37","35"
"07:38","80"
"07:39","25"
"07:40","75"
"07:41","25"
"07:42","40"
"07:43","75"
"07:44","25"
"07:45","80"
"07:46","25"
"07:47","30"
"07:48","60"
"07:49","40"
"07:50","80"
"07:51","35"
"07:52","30"
"07:53","55"
"07:54","45"
"07:55","65"
"07:56","50"
"07:57","30"
"07:58","50"
"07:59","50"
"08:00","50"
"08:01","65"
"08:02","30"
"08:03","35"
"08:04","65"
"08:05","40"
"08:06","70"
"08:07","35"
"08:08","30"
"08:09","70"
"08:10","30"
"08:11","75"
"08:12","35"
"08:13","25"
"08:14","80"
"08:15","20"
"08:16","80"
"08:17","35"
"08:18","25"
"08:19","85"
"08:20","20"
"08:21","70"
"08:22","30"
"08:23","40"
"08:24","80"
"08:25","25"
"08:26","70"
"08:27","30"
"08:28","35"
"08:29","75"
"08:30","25"
"08:31","80"
"08:32","25"
"08:33","35"
"08:34","70"
"08:35","35"
"08:36","75"
"08:37","30"
"08:38","30"
"08:39","70"
"08:40","35"
"08:41","80"
"08:42","30"
"08:43","30"
"08:44","55"
"08:45","45"
"08:46","70"
"08:47","45"
"08:48","30"
"08:49","50"
"08:50","50"
"08:51","55"
"08:52","60"
"08:53","30"
"08:54","45"
"08:55","55"
"08:56","45"
"08:57","70"
"08:58","30"
"08:59","30"
"09:00","70"
"09:01","35"
"09:02","75"
"09:03","35"
"09:04","20"
"09:05","80"
"09:06","20"
"09:07","80"
"09:08","35"
"09:09","25"
"09:10","85"
"09:11","20"
"09:12","70"
"09:13","45"
"09:14","25"
"09:15","75"
"09:16","25"
"09:17","75"
"09:18","25"
"09:19","35"
"09:20","60"
"09:21","35"
"09:22","45"
"09:23","70"
"09:24","30"
"09:25","30"
"09:26","70"
"09:27","30"
"09:28","75"
"09:29","35"
"09:30","30"
"09:31","75"
"09:32","20"
"09:33","80"
"09:34","35"
"09:35","30"
"09:36","80"
"09:37","20"
"09:38","75"
"09:39","35"
"09:40","30"
"09:41","80"
"09:42","25"
"09:43","70"
"09:44","30"
"09:45","35"
"09:46","80"
"09:47","25"
"09:48","75"
"09:49","25"
"09:50","35"
"09:51","70"
"09:52","35"
"09:53","75"
"09:54","30"
"09:55","30"
"09:56","60"
"09:57","40"
"09:58","75"
"09:59","40"
"10:00","30"
"10:01","44"
"10:02","27"
"10:03","28"
"10:04","9"
"10:05","0"
"10:06","0"
