"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","0"
"00:07","26335"
"00:08","0"
"00:09","0"
"00:10","22442"
"00:11","0"
"00:12","23129"
"00:13","0"
"00:14","0"
"00:15","34579"
"00:16","0"
"00:17","15114"
"00:18","0"
"00:19","0"
"00:20","39159"
"00:21","0"
"00:22","12137"
"00:23","0"
"00:24","0"
"00:25","41449"
"00:26","0"
"00:27","10076"
"00:28","0"
"00:29","0"
"00:30","45800"
"00:31","0"
"00:32","8702"
"00:33","0"
"00:34","0"
"00:35","40075"
"00:36","8015"
"00:37","7786"
"00:38","0"
"00:39","0"
"00:40","21297"
"00:41","28396"
"00:42","6870"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","49464"
"00:47","5954"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","51525"
"00:52","0"
"00:53","5496"
"00:54","0"
"00:55","0"
"00:56","52670"
"00:57","0"
"00:58","5038"
"00:59","0"
"01:00","0"
"01:01","50380"
"01:02","0"
"01:03","4580"
"01:04","0"
"01:05","0"
"01:06","52212"
"01:07","0"
"01:08","4351"
"01:09","0"
"01:10","0"
"01:11","41220"
"01:12","12366"
"01:13","4122"
"01:14","0"
"01:15","0"
"01:16","29312"
"01:17","21984"
"01:18","0"
"01:19","3664"
"01:20","0"
"01:21","27938"
"01:22","24274"
"01:23","0"
"01:24","3435"
"01:25","0"
"01:26","20610"
"01:27","34350"
"01:28","0"
"01:29","3206"
"01:30","0"
"01:31","0"
"01:32","54502"
"01:33","0"
"01:34","2977"
"01:35","0"
"01:36","0"
"01:37","50609"
"01:38","2977"
"01:39","2977"
"01:40","0"
"01:41","0"
"01:42","40991"
"01:43","13740"
"01:44","2748"
"01:45","0"
"01:46","0"
"01:47","21984"
"01:48","32976"
"01:49","0"
"01:50","2748"
"01:51","0"
"01:52","7557"
"01:53","45342"
"01:54","0"
"01:55","2519"
"01:56","0"
"01:57","7557"
"01:58","47861"
"01:59","0"
"02:00","2519"
"02:01","0"
"02:02","9160"
"02:03","38930"
"02:04","4580"
"02:05","0"
"02:06","2290"
"02:07","9160"
"02:08","34350"
"02:09","11450"
"02:10","0"
"02:11","2290"
"02:12","4580"
"02:13","18320"
"02:14","34350"
"02:15","0"
"02:16","2290"
"02:17","2061"
"02:18","12366"
"02:19","37098"
"02:20","2061"
"02:21","0"
"02:22","2061"
"02:23","16488"
"02:24","28854"
"02:25","10305"
"02:26","0"
"02:27","2061"
"02:28","16488"
"02:29","20610"
"02:30","20610"
"02:31","0"
"02:32","1832"
"02:33","9160"
"02:34","9160"
"02:35","32976"
"02:36","1832"
"02:37","1832"
"02:38","9160"
"02:39","10992"
"02:40","31144"
"02:41","3664"
"02:42","1832"
"02:43","10992"
"02:44","10992"
"02:45","23816"
"02:46","10992"
"02:47","0"
"02:48","9160"
"02:49","12824"
"02:50","9160"
"02:51","29312"
"02:52","0"
"02:53","3664"
"02:54","12824"
"02:55","10992"
"02:56","19236"
"02:57","11221"
"02:58","1603"
"02:59","8015"
"03:00","8015"
"03:01","27251"
"03:02","11221"
"03:03","3206"
"03:04","4809"
"03:05","9618"
"03:06","20839"
"03:07","19236"
"03:08","1603"
"03:09","6412"
"03:10","11221"
"03:11","9618"
"03:12","28854"
"03:13","1603"
"03:14","6412"
"03:15","9618"
"03:16","6412"
"03:17","22442"
"03:18","16030"
"03:19","4809"
"03:20","5725"
"03:21","6412"
"03:22","9160"
"03:23","27251"
"03:24","11221"
"03:25","7099"
"03:26","1374"
"03:27","10992"
"03:28","5496"
"03:29","26106"
"03:30","12366"
"03:31","1374"
"03:32","9618"
"03:33","4122"
"03:34","24732"
"03:35","12366"
"03:36","6870"
"03:37","5496"
"03:38","6870"
"03:39","19236"
"03:40","20610"
"03:41","5496"
"03:42","4122"
"03:43","9618"
"03:44","8244"
"03:45","27480"
"03:46","10992"
"03:47","1374"
"03:48","6870"
"03:49","6870"
"03:50","20610"
"03:51","20610"
"03:52","5496"
"03:53","1374"
"03:54","13740"
"03:55","5496"
"03:56","26106"
"03:57","10992"
"03:58","5496"
"03:59","6870"
"04:00","9618"
"04:01","9618"
"04:02","26106"
"04:03","9618"
"04:04","5496"
"04:05","6870"
"04:06","9618"
"04:07","9160"
"04:08","20610"
"04:09","10305"
"04:10","2290"
"04:11","5725"
"04:12","17175"
"04:13","20610"
"04:14","6870"
"04:15","5725"
"04:16","4580"
"04:17","14885"
"04:18","21755"
"04:19","8015"
"04:20","5725"
"04:21","5725"
"04:22","13740"
"04:23","21755"
"04:24","8015"
"04:25","5725"
"04:26","5725"
"04:27","13740"
"04:28","21755"
"04:29","9160"
"04:30","5725"
"04:31","4580"
"04:32","13740"
"04:33","21755"
"04:34","10305"
"04:35","5725"
"04:36","2290"
"04:37","13740"
"04:38","18320"
"04:39","16030"
"04:40","5725"
"04:41","2290"
"04:42","9160"
"04:43","21755"
"04:44","14885"
"04:45","8015"
"04:46","2290"
"04:47","6870"
"04:48","19465"
"04:49","19465"
"04:50","8015"
"04:51","2290"
"04:52","5725"
"04:53","18320"
"04:54","20610"
"04:55","9160"
"04:56","2290"
"04:57","5725"
"04:58","17175"
"04:59","20610"
"05:00","6870"
"05:01","5725"
"05:02","4806"
"05:03","16030"
"05:04","22900"
"05:05","6870"
"05:06","5725"
"05:07","4580"
"05:08","14885"
"05:09","21755"
"05:10","6870"
"05:11","6870"
"05:12","5725"
"05:13","13740"
"05:14","21755"
"05:15","8015"
"05:16","5725"
"05:17","4580"
"05:18","13740"
"05:19","21755"
"05:20","10305"
"05:21","5725"
"05:22","2290"
"05:23","14885"
"05:24","20610"
"05:25","12595"
"05:26","5725"
"05:27","2290"
"05:28","13740"
"05:29","17175"
"05:30","17175"
"05:31","5725"
"05:32","2290"
"05:33","9160"
"05:34","21755"
"05:35","14885"
"05:36","8015"
"05:37","2290"
"05:38","6870"
"05:39","21755"
"05:40","17175"
"05:41","8015"
"05:42","2290"
"05:43","5725"
"05:44","18320"
"05:45","21755"
"05:46","8015"
"05:47","2290"
"05:48","5725"
"05:49","17633"
"05:50","24732"
"05:51","8244"
"05:52","6412"
"05:53","5725"
"05:54","14885"
"05:55","2290"
"05:56","20610"
"05:57","9160"
"05:58","9160"
"05:59","13740"
"06:00","3435"
"06:01","21755"
"06:02","10992"
"06:03","10992"
"06:04","15114"
"06:05","6412"
"06:06","9618"
"06:07","11450"
"06:08","9160"
"06:09","9160"
"06:10","14885"
"06:11","3435"
"06:12","18320"
"06:13","9160"
"06:14","10305"
"06:15","14885"
"06:16","3435"
"06:17","17175"
"06:18","8015"
"06:19","9389"
"06:20","17633"
"06:21","7557"
"06:22","17633"
"06:23","9160"
"06:24","8015"
"06:25","2290"
"06:26","17175"
"06:27","10305"
"06:28","18320"
"06:29","8015"
"06:30","0"
"06:31","19465"
"06:32","8015"
"06:33","20610"
"06:34","3435"
"06:35","4580"
"06:36","2290"
"06:37","17175"
"06:38","9160"
"06:39","19465"
"06:40","8015"
"06:41","0"
"06:42","21297"
"06:43","8015"
"06:44","20839"
"06:45","9618"
"06:46","0"
"06:47","9160"
"06:48","20610"
"06:49","24732"
"06:50","1374"
"06:51","9618"
"06:52","10992"
"06:53","1145"
"06:54","18320"
"06:55","18320"
"06:56","1145"
"06:57","8015"
"06:58","9160"
"06:59","14885"
"07:00","22900"
"07:01","1145"
"07:02","8015"
"07:03","9160"
"07:04","12595"
"07:05","25190"
"07:06","0"
"07:07","9160"
"07:08","9160"
"07:09","9160"
"07:10","27480"
"07:11","1145"
"07:12","9160"
"07:13","9160"
"07:14","6870"
"07:15","21755"
"07:16","9160"
"07:17","9160"
"07:18","9160"
"07:19","5725"
"07:20","20610"
"07:21","11450"
"07:22","6870"
"07:23","11450"
"07:24","4580"
"07:25","21755"
"07:26","11450"
"07:27","4580"
"07:28","13740"
"07:29","1145"
"07:30","22900"
"07:31","13740"
"07:32","2290"
"07:33","16030"
"07:34","1145"
"07:35","21755"
"07:36","15114"
"07:37","1145"
"07:38","14885"
"07:39","3435"
"07:40","20610"
"07:41","14885"
"07:42","2290"
"07:43","12595"
"07:44","5725"
"07:45","19465"
"07:46","16030"
"07:47","2290"
"07:48","10305"
"07:49","8015"
"07:50","18320"
"07:51","17175"
"07:52","2290"
"07:53","8015"
"07:54","9160"
"07:55","11450"
"07:56","25190"
"07:57","1145"
"07:58","9160"
"07:59","9160"
"08:00","9160"
"08:01","26335"
"08:02","2290"
"08:03","9160"
"08:04","9160"
"08:05","6870"
"08:06","26335"
"08:07","3435"
"08:08","10305"
"08:09","9160"
"08:10","5725"
"08:11","22900"
"08:12","8015"
"08:13","10305"
"08:14","9160"
"08:15","5725"
"08:16","20610"
"08:17","10305"
"08:18","6870"
"08:19","12595"
"08:20","2290"
"08:21","22900"
"08:22","11450"
"08:23","4580"
"08:24","14885"
"08:25","1145"
"08:26","21755"
"08:27","13740"
"08:28","2290"
"08:29","16030"
"08:30","2290"
"08:31","20610"
"08:32","14885"
"08:33","2290"
"08:34","11450"
"08:35","6870"
"08:36","19465"
"08:37","16030"
"08:38","2290"
"08:39","9160"
"08:40","9160"
"08:41","17175"
"08:42","18320"
"08:43","2290"
"08:44","8015"
"08:45","9160"
"08:46","14885"
"08:47","21755"
"08:48","2290"
"08:49","8015"
"08:50","9160"
"08:51","9160"
"08:52","27480"
"08:53","1145"
"08:54","9160"
"08:55","9160"
"08:56","8015"
"08:57","26335"
"08:58","3435"
"08:59","9160"
"09:00","9160"
"09:01","6870"
"09:02","24045"
"09:03","5725"
"09:04","10305"
"09:05","9160"
"09:06","5725"
"09:07","20610"
"09:08","10305"
"09:09","6870"
"09:10","12595"
"09:11","2290"
"09:12","22900"
"09:13","11450"
"09:14","5725"
"09:15","13740"
"09:16","1145"
"09:17","21755"
"09:18","13740"
"09:19","2290"
"09:20","11908"
"09:21","6870"
"09:22","19465"
"09:23","16030"
"09:24","2290"
"09:25","5725"
"09:26","11450"
"09:27","6870"
"09:28","22900"
"09:29","6870"
"09:30","8015"
"09:31","11450"
"09:32","5725"
"09:33","20610"
"09:34","10305"
"09:35","6870"
"09:36","10305"
"09:37","4580"
"09:38","22900"
"09:39","11450"
"09:40","6870"
"09:41","10305"
"09:42","3435"
"09:43","22900"
"09:44","12595"
"09:45","3435"
"09:46","11450"
"09:47","5725"
"09:48","20610"
"09:49","14885"
"09:50","2290"
"09:51","9160"
"09:52","9160"
"09:53","19465"
"09:54","16030"
"09:55","2290"
"09:56","5725"
"09:57","12595"
"09:58","17175"
"09:59","18320"
"10:00","4351"
"10:01","10305"
"10:02","18320"
"10:03","15801"
"10:04","30228"
"10:05","0"
"10:06","0"
