"Relative Time","acker","acker_showstopper"
"00:02","0.032",""
"00:03","0.037",""
"00:04","0.039",""
"00:05","0.044",""
"00:06","0.05",""
"00:07","0.043",""
"00:08","0.039",""
"00:09","0.042",""
"00:10","0.051",""
"00:11","0.059",""
"00:12","0.059",""
"00:13","0.07",""
"00:14","0.06",""
"00:15","0.071",""
"00:16","0.083",""
"00:17","0.082",""
"00:18","0.078",""
"00:19","0.087",""
"00:20","0.085",""
"00:21","0.108",""
"00:22","0.103",""
"00:23","0.106",""
"00:24","0.106",""
"00:25","0.104",""
"00:26","0.125",""
"00:27","0.124",""
"00:28","0.127",""
"00:29","0.127",""
"00:30","0.124",""
"00:31","0.147",""
"00:32","0.151",""
"00:33","0.148",""
"00:34","0.142",""
"00:35","0.142",""
"00:36","0.163",""
"00:37","0.159",""
"00:38","0.159",""
"00:39","0.166",""
"00:40","0.169",""
"00:41","0.178",""
"00:42","0.187",""
"00:43","0.187",""
"00:44","0.186",""
"00:45","0.194",""
"00:46","0.197",""
"00:47","0.199",""
"00:48","0.206",""
"00:49","0.206",""
"00:50","0.216",""
"00:51","0.224",""
"00:52","0.218",""
"00:53","0.22",""
"00:54","0.228",""
"00:55","0.228",""
"00:56","0.236",""
"00:57","0.247",""
"00:58","0.254",""
"00:59","0.252",""
"01:00","0.257",""
"01:01","0.262",""
"01:02","0.276",""
"01:03","0.265",""
"01:04","0.269",""
"01:05","0.27",""
"01:06","0.276",""
"01:07","0.29",""
"01:08","0.284",""
"01:09","0.275",""
"01:10","0.289",""
"01:11","0.274",""
"01:12","0.314",""
"01:13","0.306",""
"01:14","0.309",""
"01:15","0.323",""
"01:16","0.319",""
"01:17","0.347",""
"01:18","0.331",""
"01:19","0.344",""
"01:20","0.326",""
"01:21","0.318",""
"01:22","0.328",""
"01:23","0.349",""
"01:24","0.353",""
"01:25","0.353",""
"01:26","0.353",""
"01:27","0.372",""
"01:28","0.374",""
"01:29","0.374",""
"01:30","0.374",""
"01:31","0.366",""
"01:32","0.391",""
"01:33","0.397",""
"01:34","0.41",""
"01:35","0.395",""
"01:36","0.395",""
"01:37","0.419",""
"01:38","0.416",""
"01:39","0.407",""
"01:40","0.416",""
"01:41","0.416",""
"01:42","0.429",""
"01:43","0.437",""
"01:44","0.437",""
"01:45","0.437",""
"01:46","0.436",""
"01:47","0.429",""
"01:48","0.457",""
"01:49","0.458",""
"01:50","0.466",""
"01:51","0.457",""
"01:52","0.457",""
"01:53","0.478",""
"01:54","0.489",""
"01:55","0.487",""
