"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:01","","","","","","","","","10.385","","24.781","60","42.95"
"00:02","20.167","14.585","10.083","20.165","55.81","82.517","94.717","33.42","","0","","",""
"00:04","","","","","","","","","10.381","","24.781","60","42.95"
"00:05","20.193","0.095","0.431","0.862","7.67","98.918","94.916","31.65","","0","","",""
"00:07","","","","","","","","","10.375","","24.781","60","42.95"
"00:08","20.186","0.295","0.385","0.764","4.69","99.079","94.898","33.91","","0","","",""
"00:10","","","","","","","","","10.375","","24.781","60","42.95"
"00:11","20.193","0.427","0.395","0.786","3.59","99.089","94.155","34.13","","0","","",""
"00:13","","","","","","","","","10.374","","24.781","60","42.95"
"00:14","20.178","0.073","2.439","4.877","48.04","91.758","94.057","38.75","","0","","",""
"00:16","","","","","","","","","10.374","","24.781","60","42.95"
"00:17","20.184","0.096","0.23","0.46","3.64","99.48","93.788","39.43","","0","","",""
"00:19","","","","","","","","","10.374","","24.781","60","42.95"
"00:20","20.186","0.038","0.136","0.272","2.34","99.744","94.103","38.96","","0","","",""
"00:22","","","","","","","","","10.374","","24.781","60","42.95"
"00:23","20.191","0","0.152","0.305","3.05","99.633","94.589","30.15","","0","","",""
"00:25","","","","","","","","","10.373","","24.781","60","42.95"
"00:26","20.193","0.017","0.167","0.334","3.17","99.68","96.575","11.12","","0","","",""
"00:28","","","","","","","","","10.373","","24.781","60","42.95"
"00:29","20.195","0","0.161","0.322","3.22","99.644","96.939","12.55","","0","","",""
"00:31","","","","","","","","","10.372","","24.781","60","42.95"
"00:32","20.199","0.042","0.16","0.32","2.79","99.661","97.221","10.04","","0","","",""
"00:34","","","","","","","","","10.371","","24.781","60","42.95"
"00:35","20.207","0","0.117","0.235","2.35","99.718","96.825","10.29","","0","","",""
"00:37","","","","","","","","","10.371","","24.781","60","42.95"
"00:38","20.209","0","0.079","0.157","1.57","99.835","97.134","8.4","","0","","",""
"00:40","","","","","","","","","10.37","","24.781","60","42.95"
"00:41","20.21","0","0.131","0.261","2.61","99.762","97.175","6.78","","0","","",""
"00:43","","","","","","","","","10.37","","24.781","60","42.95"
"00:44","20.211","0","0.082","0.165","1.65","99.847","96.728","11.31","","0","","",""
"00:46","","","","","","","","","10.37","","24.781","60","42.95"
"00:47","20.225","0","0.133","0.265","2.65","99.767","97.025","8.54","","0","","",""
"00:49","","","","","","","","","10.368","","24.781","60","42.95"
"00:50","20.239","0","0.108","0.216","2.16","99.804","97.06","9.82","","0","","",""
"00:52","","","","","","","","","10.366","","24.781","60","42.95"
"00:53","20.239","0","0.232","0.463","4.63","99.588","97.446","9.1","","0","","",""
"00:55","","","","","","","","","10.365","","24.781","60","42.95"
"00:56","20.244","0","0.094","0.188","1.88","99.796","97.291","3.93","","0","","",""
"00:58","","","","","","","","","10.365","","24.781","60","42.95"
"00:59","20.246","0","0.162","0.324","3.24","99.668","97.463","10.54","","0","","",""
"01:01","","","","","","","","","10.365","","24.781","60","42.95"
"01:02","20.246","0","0.18","0.36","3.6","99.684","97.425","6.76","","0","","",""
"01:04","","","","","","","","","10.365","","24.781","60","42.95"
"01:05","20.256","0.01","0.12","0.241","2.31","99.702","96.55","14.89","","0","","",""
"01:07","","","","","","","","","10.364","","24.781","60","42.95"
"01:08","20.322","0","0.121","0.242","2.42","99.776","97.104","11.45","","0","","",""
"01:10","","","","","","","","","10.354","","24.781","60","42.95"
"01:11","20.327","0.017","0.148","0.295","2.78","99.74","97.395","8.6","","0","","",""
"01:13","","","","","","","","","10.354","","24.781","60","42.95"
"01:14","20.333","0","0.138","0.275","2.75","99.702","97.618","3.64","","0","","",""
"01:16","","","","","","","","","10.353","","24.781","60","42.95"
"01:17","20.334","0","0.163","0.327","3.27","99.597","97.41","3.04","","0","","",""
"01:19","","","","","","","","","10.352","","24.781","60","42.95"
"01:20","20.331","0.073","0.162","0.325","2.52","99.685","97.041","14.91","","0","","",""
"01:22","","","","","","","","","10.352","","24.781","60","42.95"
"01:23","20.345","0","0.167","0.334","3.34","99.613","97.367","5.5","","0","","",""
"01:25","","","","","","","","","10.351","","24.453","50","42.95"
"01:26","20.337","0.011","0.239","0.477","4.66","99.455","97.429","4.69","","0","","",""
"01:28","","","","","","","","","10.351","","24.453","50","42.95"
"01:29","20.331","0","0.122","0.245","2.45","99.705","97.752","2.66","","0","","",""
"01:31","","","","","","","","","10.351","","24.453","50","42.95"
"01:32","20.332","0.018","0.16","0.321","3.03","99.709","97.107","8.43","","0","","",""
"01:34","","","","","","","","","10.351","","24.453","50","42.95"
"01:35","20.332","0.015","0.101","0.203","1.88","99.777","97.425","6.63","","0","","",""
"01:37","","","","","","","","","10.351","","24.453","50","42.95"
"01:38","20.338","0.017","0.208","0.397","3.8","99.444","97.483","0","","0","","",""
"01:40","","","","","","","","","10.351","","24.453","50","42.95"
"01:41","20.343","0","0.112","0.216","2.16","99.801","97.301","7.07","","0","","",""
"01:43","","","","","","","","","10.351","","23.88","30","42.95"
"01:44","20.341","0","0.09","0.178","1.78","99.836","97.464","6.03","","0","","",""
"01:46","","","","","","","","","10.351","","23.88","30","42.95"
"01:47","20.334","0","0.189","0.377","3.77","99.645","97.336","12.88","","0","","",""
"01:49","","","","","","","","","10.351","","23.88","30","42.95"
"01:50","20.335","0","0.116","0.231","2.31","99.74","97.263","12.25","","0","","",""
"01:52","","","","","","","","","10.351","","23.88","30","42.95"
"01:53","20.337","0","0.1","0.2","2","99.796","97.08","10.81","","0","","",""
"01:55","","","","","","","","","10.35","","23.88","30","42.95"
"01:56","20.334","0","0.153","0.306","3.06","99.691","97.469","7.3","","0","","",""
"01:58","","","","","","","","","10.35","","23.88","30","42.95"
"01:59","20.337","0","0.108","0.217","2.17","99.769","97.617","7.83","","0","","",""
"02:01","","","","","","","","","10.35","","23.88","30","42.95"
"02:02","20.339","0","0.151","0.301","3.01","99.708","97.503","6.38","","0","","",""
"02:04","","","","","","","","","10.35","","23.88","30","42.95"
"02:05","20.337","0","0.105","0.21","2.1","99.786","97.356","6.28","","0","","",""
"02:07","","","","","","","","","10.35","","23.88","30","42.95"
"02:08","20.341","0","0.124","0.248","2.48","99.751","97.388","8.57","","0","","",""
"02:10","","","","","","","","","10.35","","23.88","30","42.95"
"02:11","20.343","0","0.106","0.213","2.13","99.799","97.482","4.54","","0","","",""
"02:13","","","","","","","","","10.35","","23.88","30","42.95"
"02:14","20.347","0","0.115","0.229","2.29","99.756","97.636","6.96","","0","","",""
"02:16","","","","","","","","","10.349","","24.535","50","42.95"
"02:17","20.352","0","0.706","1.411","14.11","96.926","97.239","15.33","","0","","",""
"02:19","","","","","","","","","10.349","","24.535","50","42.95"
"02:20","20.353","0","0.138","0.276","2.76","99.713","97.241","5.57","","0","","",""
"02:22","","","","","","","","","10.348","","24.535","50","42.95"
"02:23","20.356","0","0.128","0.256","2.56","99.754","97.181","9.12","","0","","",""
"02:25","","","","","","","","","10.348","","24.535","50","42.95"
"02:26","20.356","0","0.14","0.279","2.79","99.663","97.295","6.75","","0","","",""
"02:28","","","","","","","","","10.348","","24.535","50","42.95"
"02:29","20.36","0.011","0.137","0.274","2.63","99.69","97.582","7.54","","0","","",""
"02:31","","","","","","","","","10.347","","24.535","50","42.95"
"02:32","20.36","0","0.18","0.36","3.6","99.673","97.259","12.07","","0","","",""
"02:34","","","","","","","","","10.347","","24.535","50","42.95"
"02:35","20.358","0","0.13","0.259","2.59","99.725","97.021","4.29","","0","","",""
"02:37","","","","","","","","","10.347","","24.535","50","42.95"
"02:38","20.361","0","0.274","0.548","5.48","99.403","97.615","4.89","","0","","",""
"02:40","","","","","","","","","10.347","","24.535","50","42.95"
"02:41","20.371","0","0.127","0.253","2.53","99.786","97.052","11.38","","0","","",""
"02:43","","","","","","","","","10.345","","24.535","50","42.95"
"02:44","20.361","0","0.023","0.045","0.45","99.951","97.281","9.93","","0","","",""
"02:46","","","","","","","","","10.346","","24.535","50","42.95"
"02:47","20.368","0","0.105","0.209","2.09","99.784","97.324","9","","0","","",""
"02:49","","","","","","","","","10.346","","24.535","50","42.95"
"02:50","20.37","0","0.16","0.321","3.21","99.634","96.408","16.51","","0","","",""
"02:52","","","","","","","","","10.345","","24.535","50","42.95"
"02:53","20.377","0","0.121","0.243","2.43","99.813","97.069","7.1","","0","","",""
"02:55","","","","","","","","","10.344","","24.535","50","42.95"
"02:56","20.378","0","0.169","0.338","3.38","99.655","96.988","8.35","","0","","",""
"02:58","","","","","","","","","10.344","","24.535","50","42.95"
"02:59","20.374","0","0.12","0.241","2.41","99.743","97.246","13.63","","0","","",""
"03:01","","","","","","","","","10.344","","24.535","50","42.95"
"03:02","20.375","0","0.187","0.373","3.73","99.64","97.216","12.5","","0","","",""
"03:04","","","","","","","","","10.344","","24.535","50","42.95"
"03:05","20.379","0","0.115","0.231","2.31","99.725","97.446","13.39","","0","","",""
"03:07","","","","","","","","","10.344","","24.535","50","42.95"
"03:08","20.381","0","0.138","0.276","2.76","99.75","97.273","8.08","","0","","",""
"03:10","","","","","","","","","10.344","","24.535","50","42.95"
"03:11","20.381","0.038","0.17","0.339","3.02","99.61","95.91","18.24","","0","","",""
"03:13","","","","","","","","","10.343","","24.535","50","42.95"
"03:14","20.409","0","0.133","0.266","2.66","99.753","97.19","8.61","","0","","",""
"03:16","","","","","","","","","10.341","","24.535","50","42.95"
"03:17","20.408","0","0.169","0.338","3.38","99.647","96.826","11.83","","0","","",""
"03:19","","","","","","","","","10.341","","24.576","50","42.95"
"03:20","20.412","0","0.282","0.564","5.64","99.069","97.291","9.14","","0","","",""
"03:22","","","","","","","","","10.34","","24.576","50","42.95"
"03:23","20.436","0","0.125","0.249","2.49","99.793","96.828","11.12","","0","","",""
"03:25","","","","","","","","","10.337","","24.576","50","42.95"
"03:26","20.417","0","0.191","0.381","3.81","99.615","95.356","21.23","","0","","",""
"03:28","","","","","","","","","10.338","","24.576","50","42.95"
"03:29","20.419","0.013","0.181","0.361","3.48","99.625","96.772","10.94","","0","","",""
"03:31","","","","","","","","","10.338","","24.576","50","42.95"
"03:32","20.421","0","0.193","0.387","3.87","99.56","96.594","19.72","","0","","",""
"03:34","","","","","","","","","10.338","","24.576","50","42.95"
"03:35","20.422","0.059","0.162","0.325","2.66","99.608","96.794","11.17","","0","","",""
"03:37","","","","","","","","","10.337","","24.576","50","42.95"
"03:38","20.408","0","0.171","0.341","3.41","99.762","95.708","23.25","","0","","",""
"03:40","","","","","","","","","10.339","","24.576","50","42.95"
"03:41","20.411","0","0.139","0.277","2.77","99.719","96.85","9.23","","0","","",""
"03:43","","","","","","","","","10.338","","24.576","50","42.95"
"03:44","20.414","0","0.134","0.267","2.67","99.778","97.641","3.99","","0","","",""
"03:46","","","","","","","","","10.338","","24.576","50","42.95"
"03:47","20.413","0","0.225","0.45","4.5","99.527","97.256","7.6","","0","","",""
"03:49","","","","","","","","","10.338","","24.576","50","42.95"
"03:50","20.416","0","0.461","0.922","9.22","99.099","96.891","11.65","","0","","",""
"03:52","","","","","","","","","10.337","","24.576","50","42.95"
"03:53","20.417","0","0.305","0.609","6.09","99.362","97.287","10.46","","0","","",""
"03:55","","","","","","","","","10.337","","24.576","50","42.95"
"03:56","20.416","0","0.174","0.349","3.49","99.663","97.51","2.36","","0","","",""
"03:58","","","","","","","","","10.337","","24.248","40","42.95"
"03:59","20.418","0","0.146","0.292","2.92","99.687","96.844","15.54","","0","","",""
"04:01","","","","","","","","","10.337","","24.248","40","42.95"
"04:02","20.419","0.007","0.198","0.396","3.88","99.583","97.382","11.16","","0","","",""
"04:04","","","","","","","","","10.337","","24.248","40","42.95"
"04:05","20.421","0","0.222","0.445","4.45","99.44","97.645","4.17","","0","","",""
"04:07","","","","","","","","","10.337","","24.248","40","42.95"
"04:08","20.42","0","0.12","0.239","2.39","99.764","97.354","6.81","","0","","",""
"04:10","","","","","","","","","10.337","","24.248","40","42.95"
"04:11","20.424","0","0.155","0.311","3.11","99.667","97.398","3.38","","0","","",""
"04:13","","","","","","","","","10.337","","24.248","40","42.95"
"04:14","20.424","0","0.113","0.225","2.25","99.715","97.496","3.57","","0","","",""
"04:16","","","","","","","","","10.336","","24.248","40","42.95"
"04:17","20.425","0","0.714","1.428","14.28","98.609","97.157","7.99","","0","","",""
"04:19","","","","","","","","","10.336","","24.248","40","42.95"
"04:20","20.428","","","","","","","","","","","",""
"04:21","","0","0.185","0.369","3.69","99.645","97.292","8.46","","0","","",""
"04:22","","","","","","","","","10.336","","","",""
"04:23","20.428","","","","","","","","","","24.248","40","42.95"
"04:24","","0","0.185","0.37","3.7","99.627","97.098","10.68","","0","","",""
"04:25","","","","","","","","","10.335","","","",""
"04:26","20.431","","","","","","","","","","24.248","40","42.95"
"04:27","","0","0.12","0.239","2.39","99.724","97.493","8.92","","0","","",""
"04:28","","","","","","","","","10.335","","","",""
"04:29","20.432","","","","","","","","","","24.248","40","42.95"
"04:30","","0","0.066","0.133","1.33","99.899","96.981","8.72","","0","","",""
"04:31","","","","","","","","","10.335","","","",""
"04:32","20.432","","","","","","","","","","24.248","40","42.95"
"04:33","","0","0.081","0.162","1.62","99.815","97.407","11.15","","0","","",""
"04:34","","","","","","","","","10.335","","","",""
"04:35","","","","","","","","","","","24.248","40","42.95"
"04:36","20.432","0","0.063","0.127","1.27","99.877","97.311","7.68","","0","","",""
"04:38","","","","","","","","","10.335","","24.248","40","42.95"
"04:39","20.427","0","0.095","0.189","1.89","99.847","97.453","11.69","","0","","",""
"04:41","","","","","","","","","10.335","","24.248","40","42.95"
"04:42","20.429","0","0.062","0.124","1.24","99.875","97.541","6.51","","0","","",""
"04:44","","","","","","","","","10.335","","24.248","40","42.95"
"04:45","20.429","0.008","0.088","0.177","1.69","99.818","97.484","10.7","","0","","",""
"04:47","","","","","","","","","10.335","","24.248","40","42.95"
"04:48","20.432","0","0.123","0.223","2.23","99.791","97.321","11.37","","0","","",""
"04:50","","","","","","","","","10.335","","24.248","40","42.95"
"04:51","20.434","0","0.071","0.139","1.39","99.856","96.965","10.14","","0","","",""
"04:53","","","","","","","","","10.335","","24.248","40","42.95"
"04:54","20.436","0","0.077","0.143","1.43","99.874","97.502","6.3","","0","","",""
"04:56","","","","","","","","","10.334","","24.248","40","42.95"
"04:57","20.439","0","0.154","0.305","3.05","99.657","97.565","9.8","","0","","",""
"04:59","","","","","","","","","10.334","","24.248","40","42.95"
"05:00","20.44","0.285","0.288","0.574","2.89","99.438","96.376","13.33","","0","","",""
"05:02","","","","","","","","","10.334","","24.248","40","42.95"
"05:03","20.455","0.015","0.121","0.238","2.23","99.73","97.364","7.07","","0","","",""
"05:05","","","","","","","","","10.332","","23.88","30","42.95"
"05:06","20.451","0","16.473","0.267","2.67","99.82","97.422","7.51","","0","","",""
"05:08","","","","","","","","","10.332","","23.88","30","42.95"
"05:09","20.452","0","0.129","0.223","2.23","99.751","96.777","16.23","","0","","",""
"05:11","","","","","","","","","10.332","","23.88","30","42.95"
"05:12","20.454","0","0.14","0.199","1.99","99.8","97.231","3.93","","0","","",""
"05:14","","","","","","","","","10.331","","23.88","30","42.95"
"05:15","20.452","0","0.129","0.255","2.55","99.822","97.001","13.72","","0","","",""
"05:17","","","","","","","","","10.332","","23.88","30","42.95"
"05:18","20.453","0","0.092","0.169","1.69","99.767","96.803","9.26","","0","","",""
"05:20","","","","","","","","","10.332","","23.88","30","42.95"
"05:21","20.455","0.014","0.111","0.223","2.08","99.862","97.08","7.95","","0","","",""
"05:23","","","","","","","","","10.332","","23.88","30","42.95"
"05:24","20.459","0","0.111","0.222","2.22","99.776","97.355","6.21","","0","","",""
"05:26","","","","","","","","","10.331","","23.88","30","42.95"
"05:27","20.46","0.011","0.494","0.989","9.78","99.085","95.648","20.78","","0","","",""
"05:29","","","","","","","","","10.331","","23.88","30","42.95"
"05:30","20.463","0","0.12","0.239","2.39","99.718","97.539","4.6","","0","","",""
"05:32","","","","","","","","","10.331","","23.88","30","42.95"
"05:33","20.464","0","0.132","0.264","2.64","99.796","97.633","8.5","","0","","",""
"05:35","","","","","","","","","10.33","","23.88","30","42.95"
"05:36","20.467","0","0.09","0.18","1.8","99.747","96.946","11.06","","0","","",""
"05:38","","","","","","","","","10.33","","23.88","30","42.95"
"05:39","20.473","0","0.069","0.137","1.37","99.84","97.578","12.59","","0","","",""
"05:41","","","","","","","","","10.329","","23.88","30","42.95"
