"Relative Time","acker:Pass","acker_showstopper:Pass"
"00:00","0","0"
"00:01","0","0"
"00:02","17","0"
"00:03","24","0"
"00:04","23","0"
"00:05","30","0"
"00:06","37","0"
"00:07","42","0"
"00:08","46","0"
"00:09","42","0"
"00:10","42","0"
"00:11","46","0"
"00:12","46","0"
"00:13","40","0"
"00:14","46","0"
"00:15","43","0"
"00:16","45","0"
"00:17","45","0"
"00:18","47","0"
"00:19","44","0"
"00:20","45","0"
"00:21","45","0"
"00:22","45","0"
"00:23","45","0"
"00:24","45","0"
"00:25","47","0"
"00:26","48","0"
"00:27","48","0"
"00:28","47","0"
"00:29","47","0"
"00:30","48","0"
"00:31","47","0"
"00:32","46","0"
"00:33","47","0"
"00:34","49","0"
"00:35","49","0"
"00:36","48","0"
"00:37","50","0"
"00:38","50","0"
"00:39","48","0"
"00:40","47","0"
"00:41","49","0"
"00:42","48","0"
"00:43","48","0"
"00:44","48","0"
"00:45","46","0"
"00:46","50","0"
"00:47","49","0"
"00:48","50","0"
"00:49","46","0"
"00:50","47","0"
"00:51","47","0"
"00:52","50","0"
"00:53","50","0"
"00:54","48","0"
"00:55","48","0"
"00:56","49","0"
"00:57","48","0"
"00:58","47","0"
"00:59","47","0"
"01:00","47","0"
"01:01","47","0"
"01:02","47","0"
"01:03","49","0"
"01:04","48","0"
"01:05","48","0"
"01:06","48","0"
"01:07","48","0"
"01:08","51","0"
"01:09","49","0"
"01:10","50","0"
"01:11","49","0"
"01:12","48","0"
"01:13","49","0"
"01:14","50","0"
"01:15","44","0"
"01:16","48","0"
"01:17","46","0"
"01:18","48","0"
"01:19","47","0"
"01:20","49","0"
"01:21","50","0"
"01:22","52","0"
"01:23","48","0"
"01:24","48","0"
"01:25","48","0"
"01:26","48","0"
"01:27","48","0"
"01:28","48","0"
"01:29","48","0"
"01:30","48","0"
"01:31","49","0"
"01:32","48","0"
"01:33","46","0"
"01:34","48","0"
"01:35","48","0"
"01:36","48","0"
"01:37","47","0"
"01:38","48","0"
"01:39","49","0"
"01:40","48","0"
"01:41","48","0"
"01:42","48","0"
"01:43","48","0"
"01:44","48","0"
"01:45","48","0"
"01:46","48","0"
"01:47","50","0"
"01:48","48","0"
"01:49","47","0"
"01:50","48","0"
"01:51","48","0"
"01:52","49","0"
"01:53","48","0"
"01:54","46","0"
"01:55","48","0"
"01:56","48","0"
"01:57","48","0"
"01:58","49","0"
"01:59","45","0"
"02:00","48","0"
"02:01","48","0"
"02:02","47","0"
"02:03","48","0"
"02:04","49","0"
"02:05","47","0"
"02:06","48","0"
"02:07","48","0"
"02:08","47","0"
"02:09","49","0"
"02:10","47","0"
"02:11","48","0"
"02:12","48","0"
"02:13","48","0"
"02:14","48","0"
"02:15","48","0"
"02:16","50","0"
"02:17","46","0"
"02:18","45","0"
"02:19","49","0"
"02:20","52","0"
"02:21","48","0"
"02:22","49","0"
"02:23","52","0"
"02:24","48","0"
"02:25","47","0"
"02:26","48","0"
"02:27","47","0"
"02:28","49","0"
"02:29","48","0"
"02:30","45","0"
"02:31","49","0"
"02:32","48","0"
"02:33","47","0"
"02:34","48","0"
"02:35","48","0"
"02:36","48","0"
"02:37","48","0"
"02:38","48","0"
"02:39","51","0"
"02:40","48","0"
"02:41","52","0"
"02:42","48","0"
"02:43","48","0"
"02:44","47","0"
"02:45","47","0"
"02:46","48","0"
"02:47","48","0"
"02:48","46","0"
"02:49","48","0"
"02:50","48","0"
"02:51","48","0"
"02:52","49","0"
"02:53","48","0"
"02:54","48","0"
"02:55","48","0"
"02:56","48","0"
"02:57","49","0"
"02:58","47","0"
"02:59","48","0"
"03:00","49","0"
"03:01","48","0"
"03:02","48","0"
"03:03","47","0"
"03:04","48","0"
"03:05","48","0"
"03:06","48","0"
"03:07","48","0"
"03:08","48","0"
"03:09","48","0"
"03:10","48","0"
"03:11","47","0"
"03:12","50","0"
"03:13","46","0"
"03:14","48","0"
"03:15","47","0"
"03:16","45","0"
"03:17","48","0"
"03:18","47","0"
"03:19","48","0"
"03:20","48","0"
"03:21","48","0"
"03:22","48","0"
"03:23","49","0"
"03:24","48","0"
"03:25","48","0"
"03:26","47","0"
"03:27","47","0"
"03:28","47","0"
"03:29","48","0"
"03:30","48","0"
"03:31","48","0"
"03:32","49","0"
