"Relative Time","Run"
"00:00","0"
"00:01","1"
"00:06","2"
"00:11","3"
"00:16","4"
"00:21","5"
"00:26","6"
"00:31","7"
"00:36","8"
"00:41","9"
"00:46","10"
"00:52","11"
"00:57","12"
"01:02","13"
"01:07","14"
"01:12","15"
"01:17","16"
"01:22","17"
"01:27","18"
"01:32","19"
"01:37","20"
"01:42","21"
"01:47","22"
"01:52","23"
"01:57","24"
"02:03","25"
"02:08","26"
"02:13","27"
"02:18","28"
"02:23","29"
"02:28","30"
"02:33","31"
"02:38","32"
"02:43","33"
"02:48","34"
"02:53","35"
"02:58","36"
"03:03","37"
"03:09","38"
"03:14","39"
"03:19","40"
"03:24","41"
"03:29","42"
"03:34","43"
"03:39","44"
"03:44","45"
"03:49","46"
"03:54","47"
"03:59","48"
"04:04","49"
"05:01","50"
"05:02","49"
"10:04","44"
"10:05","4"
"10:06","0"
"10:07","0"
