"Relative Time","Hits"
"00:00","0"
"00:01","83"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","79"
"00:07","76"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","127"
"00:12","62"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","150"
"00:17","49"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","168"
"00:22","41"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","180"
"00:27","35"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","174"
"00:32","28"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","135"
"00:37","81"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","0"
"00:42","216"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","0"
"00:47","209"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","0"
"00:52","208"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","0"
"00:57","203"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","0"
"01:02","85"
"01:03","136"
"01:04","0"
"01:05","0"
"01:06","0"
"01:07","46"
"01:08","168"
"01:09","0"
"01:10","0"
"01:11","0"
"01:12","45"
"01:13","180"
"01:14","0"
"01:15","0"
"01:16","0"
"01:17","52"
"01:18","156"
"01:19","0"
"01:20","0"
"01:21","0"
"01:22","60"
"01:23","132"
"01:24","12"
"01:25","0"
"01:26","0"
"01:27","22"
"01:28","99"
"01:29","77"
"01:30","0"
"01:31","0"
"01:32","0"
"01:33","102"
"01:34","110"
"01:35","0"
"01:36","0"
"01:37","0"
"01:38","110"
"01:39","110"
"01:40","0"
"01:41","0"
"01:42","0"
"01:43","90"
"01:44","120"
"01:45","0"
"01:46","0"
"01:47","0"
"01:48","90"
"01:49","130"
"01:50","0"
"01:51","0"
"01:52","0"
"01:53","46"
"01:54","99"
"01:55","63"
"01:56","0"
"01:57","0"
"01:58","54"
"01:59","72"
"02:00","90"
"02:01","0"
"02:02","0"
"02:03","16"
"02:04","88"
"02:05","99"
"02:06","9"
"02:07","0"
"02:08","18"
"02:09","102"
"02:10","8"
"02:11","88"
"02:12","0"
"02:13","8"
"02:14","80"
"02:15","40"
"02:16","88"
"02:17","0"
"02:18","8"
"02:19","56"
"02:20","64"
"02:21","96"
"02:22","0"
"02:23","0"
"02:24","35"
"02:25","84"
"02:26","14"
"02:27","70"
"02:28","0"
"02:29","28"
"02:30","70"
"02:31","28"
"02:32","63"
"02:33","21"
"02:34","28"
"02:35","49"
"02:36","56"
"02:37","35"
"02:38","49"
"02:39","14"
"02:40","35"
"02:41","91"
"02:42","14"
"02:43","70"
"02:44","18"
"02:45","24"
"02:46","68"
"02:47","18"
"02:48","34"
"02:49","74"
"02:50","24"
"02:51","54"
"02:52","30"
"02:53","7"
"02:54","61"
"02:55","76"
"02:56","49"
"02:57","42"
"02:58","0"
"02:59","24"
"03:00","78"
"03:01","30"
"03:02","84"
"03:03","0"
"03:04","30"
"03:05","48"
"03:06","60"
"03:07","84"
"03:08","0"
"03:09","30"
"03:10","36"
"03:11","78"
"03:12","60"
"03:13","24"
"03:14","6"
"03:15","36"
"03:16","90"
