"Relative Time","acker:Pass","acker_showstopper:Fail"
"00:00","0","0"
"00:01","1","0"
"00:02","18","0"
"00:03","14","0"
"00:04","18","0"
"00:05","17","0"
"00:06","24","0"
"00:07","31","0"
"00:08","29","0"
"00:09","30","0"
"00:10","33","0"
"00:11","37","0"
"00:12","35","0"
"00:13","39","0"
"00:14","36","0"
"00:15","40","0"
"00:16","38","0"
"00:17","41","0"
"00:18","38","0"
"00:19","39","0"
"00:20","41","0"
"00:21","39","0"
"00:22","42","0"
"00:23","43","0"
"00:24","36","0"
"00:25","43","0"
"00:26","43","0"
"00:27","44","0"
"00:28","41","0"
"00:29","42","0"
"00:30","42","0"
"00:31","43","0"
"00:32","45","0"
"00:33","37","0"
"00:34","36","0"
"00:35","42","0"
"00:36","39","0"
"00:37","35","0"
"00:38","44","0"
"00:39","45","0"
"00:40","44","0"
"00:41","42","0"
"00:42","44","0"
"00:43","43","0"
"00:44","41","0"
"00:45","43","0"
"00:46","41","0"
"00:47","43","0"
"00:48","43","0"
"00:49","30","0"
"00:50","43","0"
"00:51","45","0"
"00:52","37","0"
"00:53","37","0"
"00:54","45","0"
"00:55","42","0"
"00:56","44","0"
"00:57","29","0"
"00:58","32","0"
"00:59","40","0"
"01:00","40","0"
"01:01","45","0"
"01:02","38","0"
"01:03","44","0"
"01:04","44","0"
"01:05","39","0"
"01:06","45","0"
"01:07","43","0"
"01:08","40","0"
"01:09","41","0"
"01:10","45","0"
"01:11","41","0"
"01:12","45","0"
"01:13","41","0"
"01:14","44","0"
"01:15","44","0"
"01:16","45","0"
"01:17","46","0"
"01:18","42","0"
"01:19","44","0"
"01:20","44","0"
"01:21","43","0"
"01:22","29","0"
"01:23","39","0"
"01:24","39","0"
"01:25","45","0"
"01:26","43","0"
"01:27","31","0"
"01:28","40","0"
"01:29","42","0"
"01:30","38","0"
"01:31","40","0"
"01:32","33","0"
"01:33","42","0"
"01:34","45","0"
"01:35","44","0"
"01:36","37","0"
"01:37","41","0"
"01:38","43","0"
"01:39","40","0"
"01:40","45","0"
"01:41","43","0"
"01:42","42","0"
"01:43","45","0"
"01:44","39","0"
"01:45","42","0"
"01:46","36","0"
"01:47","45","0"
"01:48","40","0"
"01:49","42","0"
"01:50","33","0"
"01:51","45","0"
"01:52","42","0"
"01:53","43","0"
"01:54","43","0"
"01:55","44","0"
"01:56","39","0"
"01:57","40","0"
"01:58","41","0"
"01:59","41","0"
"02:00","41","0"
"02:01","39","0"
"02:02","41","0"
"02:03","41","0"
"02:04","38","0"
"02:05","38","0"
"02:06","42","0"
"02:07","39","0"
"02:08","39","0"
"02:09","43","0"
"02:10","44","0"
"02:11","38","0"
"02:12","43","0"
"02:13","41","0"
"02:14","42","0"
"02:15","43","0"
"02:16","38","0"
"02:17","41","0"
"02:18","43","0"
"02:19","43","0"
"02:20","44","0"
"02:21","44","0"
"02:22","45","0"
"02:23","41","0"
"02:24","38","0"
"02:25","36","0"
"02:26","42","0"
"02:27","41","0"
"02:28","34","0"
"02:29","36","0"
"02:30","40","0"
"02:31","38","0"
"02:32","41","0"
"02:33","38","0"
"02:34","42","0"
"02:35","40","0"
"02:36","39","0"
"02:37","43","0"
"02:38","42","0"
"02:39","37","0"
"02:40","44","0"
"02:41","45","0"
"02:42","45","0"
"02:43","45","0"
"02:44","45","0"
"02:45","39","0"
"02:46","45","0"
"02:47","34","0"
"02:48","34","0"
"02:49","46","0"
"02:50","45","0"
"02:51","40","0"
"02:52","36","0"
"02:53","38","0"
"02:54","39","0"
"02:55","42","0"
"02:56","42","0"
"02:57","45","0"
"02:58","42","0"
"02:59","42","0"
"03:00","43","0"
"03:01","42","0"
"03:02","40","0"
"03:03","42","0"
"03:04","43","0"
"03:05","42","0"
"03:06","44","0"
"03:07","45","0"
"03:08","42","0"
"03:09","44","0"
"03:10","44","0"
"03:11","40","0"
"03:12","43","0"
"03:13","42","0"
"03:14","43","0"
"03:15","44","0"
"03:16","37","0"
"03:17","43","0"
"03:18","45","0"
"03:19","45","0"
"03:20","42","0"
"03:21","38","0"
"03:22","39","0"
"03:23","41","0"
"03:24","44","0"
"03:25","44","0"
"03:26","43","0"
"03:27","45","0"
"03:28","37","0"
"03:29","40","0"
"03:30","37","0"
"03:31","43","0"
"03:32","41","0"
"03:33","45","0"
"03:34","42","0"
"03:35","38","0"
"03:36","44","0"
"03:37","40","0"
"03:38","43","0"
"03:39","45","0"
"03:40","43","0"
"03:41","40","0"
"03:42","39","0"
"03:43","45","0"
"03:44","44","0"
"03:45","44","0"
"03:46","46","0"
"03:47","40","0"
"03:48","45","0"
"03:49","44","0"
"03:50","45","0"
"03:51","46","0"
"03:52","44","0"
"03:53","46","0"
"03:54","38","0"
"03:55","36","0"
"03:56","42","0"
"03:57","46","0"
"03:58","44","0"
"03:59","39","0"
"04:00","43","0"
"04:01","46","0"
"04:02","42","0"
"04:03","45","0"
"04:04","44","0"
"04:05","45","0"
"04:06","46","0"
"04:07","45","0"
"04:08","43","0"
"04:09","45","0"
"04:10","44","0"
"04:11","39","0"
"04:12","44","0"
"04:13","45","0"
"04:14","43","0"
"04:15","42","0"
"04:16","45","0"
"04:17","46","0"
"04:18","42","0"
"04:19","42","0"
"04:20","42","0"
"04:21","42","0"
"04:22","43","0"
"04:23","42","0"
"04:24","42","0"
"04:25","41","0"
"04:26","45","0"
"04:27","45","0"
"04:28","40","0"
"04:29","44","0"
"04:30","44","0"
"04:31","44","0"
"04:32","45","0"
"04:33","40","0"
"04:34","42","0"
"04:35","44","0"
"04:36","46","0"
"04:37","45","0"
"04:38","43","0"
"04:39","44","0"
"04:40","46","0"
"04:41","44","0"
"04:42","46","0"
"04:43","34","0"
"04:44","41","0"
"04:45","46","0"
"04:46","44","0"
"04:47","46","0"
"04:48","43","0"
"04:49","34","0"
"04:50","45","0"
"04:51","45","0"
"04:52","45","0"
"04:53","35","0"
"04:54","40","0"
"04:55","42","0"
"04:56","44","0"
"04:57","45","0"
"04:58","44","0"
"04:59","44","0"
"05:00","41","0"
"05:01","42","0"
"05:02","40","1"
"05:03","40","0"
"05:04","44","0"
"05:05","44","0"
"05:06","44","0"
"05:07","46","0"
