"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","11786"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","11218"
"00:12","10792"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","18034"
"00:17","8804"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","21300"
"00:22","6958"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","23856"
"00:27","5822"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","25560"
"00:32","4970"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","24708"
"00:37","3976"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","15336"
"00:42","15336"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","0"
"00:47","30672"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","0"
"00:52","29678"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","0"
"00:57","29536"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","0"
"01:02","28826"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","0"
"01:07","9656"
"01:08","21726"
"01:09","0"
"01:10","0"
"01:11","0"
"01:12","6816"
"01:13","23998"
"01:14","0"
"01:15","0"
"01:16","0"
"01:17","4260"
"01:18","27690"
"01:19","0"
"01:20","0"
"01:21","0"
"01:22","3692"
"01:23","25844"
"01:24","0"
"01:25","0"
"01:26","0"
"01:27","5112"
"01:28","20448"
"01:29","3408"
"01:30","0"
"01:31","0"
"01:32","1562"
"01:33","14058"
"01:34","12496"
"01:35","0"
"01:36","0"
"01:37","0"
"01:38","12922"
"01:39","17182"
"01:40","0"
"01:41","0"
"01:42","0"
"01:43","12496"
"01:44","18744"
"01:45","0"
"01:46","0"
"01:47","0"
"01:48","11360"
"01:49","18460"
"01:50","0"
"01:51","0"
"01:52","0"
"01:53","11360"
"01:54","19880"
"01:55","0"
"01:56","0"
"01:57","0"
"01:58","6674"
"01:59","11502"
"02:00","11502"
"02:01","0"
"02:02","0"
"02:03","5112"
"02:04","10224"
"02:05","15336"
"02:06","0"
"02:07","0"
"02:08","2272"
"02:09","11360"
"02:10","14058"
"02:11","2556"
"02:12","0"
"02:13","2556"
"02:14","13348"
"02:15","1136"
"02:16","13632"
"02:17","0"
"02:18","1136"
"02:19","9088"
"02:20","5680"
"02:21","14768"
"02:22","0"
"02:23","1136"
"02:24","5680"
"02:25","10224"
"02:26","13632"
"02:27","1136"
"02:28","0"
"02:29","4970"
"02:30","10934"
"02:31","994"
"02:32","11928"
"02:33","0"
"02:34","3976"
"02:35","7952"
"02:36","4970"
"02:37","8946"
"02:38","3976"
"02:39","3976"
"02:40","4970"
"02:41","8946"
"02:42","3976"
"02:43","8946"
"02:44","1988"
"02:45","4970"
"02:46","11928"
"02:47","994"
"02:48","11928"
"02:49","2698"
"02:50","3550"
"02:51","7952"
"02:52","3408"
"02:53","3976"
"02:54","11502"
"02:55","3408"
"02:56","6816"
"02:57","5112"
"02:58","0"
"02:59","8804"
"03:00","11928"
"03:01","5964"
"03:02","7100"
"03:03","0"
"03:04","1704"
"03:05","11076"
"03:06","5964"
"03:07","11076"
"03:08","852"
"03:09","2556"
"03:10","6816"
"03:11","10224"
"03:12","10224"
"03:13","1704"
"03:14","2556"
"03:15","5964"
"03:16","11076"
"03:17","7668"
"03:18","5112"
"03:19","0"
"03:20","5112"
"03:21","12780"
"03:22","3408"
"03:23","11076"
"03:24","852"
"03:25","5112"
"03:26","5112"
"03:27","10224"
"03:28","2556"
"03:29","11076"
"03:30","1562"
"03:31","3550"
"03:32","5680"
"03:33","7810"
"03:34","4970"
"03:35","7100"
"03:36","4544"
"03:37","5112"
"03:38","9230"
"03:39","4970"
"03:40","7100"
"03:41","3550"
"03:42","1420"
"03:43","12780"
"03:44","2840"
"03:45","10650"
"03:46","2840"
"03:47","2130"
"03:48","9940"
"03:49","4970"
"03:50","11360"
"03:51","2130"
"03:52","3550"
"03:53","8520"
"03:54","5680"
"03:55","12070"
"03:56","2130"
"03:57","4260"
"03:58","7100"
"03:59","7100"
"04:00","5680"
"04:01","9230"
"04:02","2840"
"04:03","1420"
"04:04","10650"
"04:05","4970"
"04:06","12780"
"04:07","1420"
"04:08","3550"
"04:09","6390"
"04:10","9230"
"04:11","7100"
"04:12","8520"
"04:13","2840"
"04:14","1420"
"04:15","11360"
"04:16","4260"
"04:17","11360"
"04:18","3550"
"04:19","3550"
"04:20","2840"
"04:21","12070"
"04:22","5680"
"04:23","9940"
"04:24","2130"
"04:25","2840"
"04:26","7100"
"04:27","7810"
"04:28","7100"
"04:29","8520"
"04:30","2840"
"04:31","1420"
"04:32","9940"
"04:33","4970"
"04:34","9940"
"04:35","5680"
"04:36","3550"
"04:37","2130"
"04:38","12070"
"04:39","2840"
"04:40","12780"
"04:41","2130"
"04:42","3550"
"04:43","7100"
"04:44","7810"
"04:45","8520"
"04:46","7100"
"04:47","2840"
"04:48","1420"
"04:49","8520"
"04:50","6390"
"04:51","12070"
"04:52","3550"
"04:53","3550"
"04:54","710"
"04:55","13490"
"04:56","2840"
"04:57","12780"
"04:58","1420"
"04:59","3550"
"05:00","2130"
"05:01","12070"
"05:02","4560"
"05:03","12070"
"05:04","2840"
"05:05","2130"
"05:06","7100"
"05:07","7810"
"05:08","4970"
"05:09","10650"
"05:10","2840"
"05:11","1420"
"05:12","9940"
"05:13","5680"
"05:14","7810"
"05:15","7100"
"05:16","2840"
"05:17","1420"
"05:18","10650"
"05:19","4970"
"05:20","8520"
"05:21","6390"
"05:22","3550"
"05:23","2130"
"05:24","12070"
"05:25","5680"
"05:26","10650"
"05:27","2840"
"05:28","2130"
"05:29","7100"
"05:30","7810"
"05:31","7810"
"05:32","7810"
"05:33","2840"
"05:34","1420"
"05:35","10650"
"05:36","5680"
"05:37","8520"
"05:38","5680"
"05:39","3550"
"05:40","2130"
"05:41","12070"
"05:42","4260"
"05:43","12070"
"05:44","2130"
"05:45","2840"
"05:46","7810"
"05:47","7100"
"05:48","9230"
"05:49","6390"
"05:50","2840"
"05:51","1420"
"05:52","13490"
"05:53","2840"
"05:54","12780"
"05:55","1420"
"05:56","4260"
"05:57","7100"
"05:58","7810"
"05:59","7100"
"06:00","8520"
"06:01","2840"
"06:02","1420"
"06:03","10650"
"06:04","5680"
"06:05","12070"
"06:06","2130"
"06:07","3550"
"06:08","6390"
"06:09","9230"
"06:10","7810"
"06:11","7810"
"06:12","2840"
"06:13","1420"
"06:14","12070"
"06:15","4260"
"06:16","12780"
"06:17","1420"
"06:18","4260"
"06:19","5680"
"06:20","8520"
"06:21","3550"
"06:22","12070"
"06:23","2840"
"06:24","2130"
"06:25","7100"
"06:26","7810"
"06:27","7810"
"06:28","7810"
"06:29","2840"
"06:30","1420"
"06:31","7810"
"06:32","7100"
"06:33","9230"
"06:34","6390"
"06:35","3550"
"06:36","710"
"06:37","12780"
"06:38","3550"
"06:39","12780"
"06:40","1420"
"06:41","3550"
"06:42","4260"
"06:43","10650"
"06:44","5680"
"06:45","9940"
"06:46","1420"
"06:47","3550"
"06:48","7100"
"06:49","7810"
"06:50","7810"
"06:51","7810"
"06:52","2840"
"06:53","1420"
"06:54","8520"
"06:55","6390"
"06:56","10650"
"06:57","4970"
"06:58","2840"
"06:59","1420"
"07:00","10650"
"07:01","5680"
"07:02","12070"
"07:03","2130"
"07:04","3550"
"07:05","2130"
"07:06","12070"
"07:07","4260"
"07:08","12070"
"07:09","2840"
"07:10","2130"
"07:11","8520"
"07:12","6390"
"07:13","10650"
"07:14","4970"
"07:15","3550"
"07:16","2840"
"07:17","12070"
"07:18","2130"
"07:19","12780"
"07:20","1420"
"07:21","3550"
"07:22","4260"
"07:23","10650"
"07:24","4970"
"07:25","10650"
"07:26","1420"
"07:27","3550"
"07:28","7100"
"07:29","7100"
"07:30","5680"
"07:31","9940"
"07:32","2130"
"07:33","2840"
"07:34","7100"
"07:35","7810"
"07:36","7810"
"07:37","7810"
"07:38","2840"
"07:39","1420"
"07:40","8520"
"07:41","6390"
"07:42","8520"
"07:43","7100"
"07:44","2840"
"07:45","1420"
"07:46","9088"
"07:47","2840"
"07:48","8520"
"07:49","6816"
"07:50","2130"
"07:51","10650"
"07:52","6390"
"07:53","0"
"07:54","6390"
"07:55","9230"
"07:56","1420"
"07:57","11360"
"07:58","6390"
"07:59","0"
"08:00","12070"
"08:01","3550"
"08:02","7100"
"08:03","11360"
"08:04","710"
"08:05","2130"
"08:06","13490"
"08:07","710"
"08:08","12070"
"08:09","6390"
"08:10","0"
"08:11","8520"
"08:12","7100"
"08:13","2840"
"08:14","12070"
"08:15","4118"
"08:16","0"
"08:17","8520"
"08:18","7100"
"08:19","2130"
"08:20","12780"
"08:21","4260"
"08:22","0"
"08:23","10650"
"08:24","4970"
"08:25","4970"
"08:26","14200"
"08:27","0"
"08:28","2130"
"08:29","12780"
"08:30","710"
"08:31","8520"
"08:32","10650"
"08:33","0"
"08:34","4970"
"08:35","10650"
"08:36","1420"
"08:37","12070"
"08:38","5680"
"08:39","0"
"08:40","7100"
"08:41","8520"
"08:42","1988"
"08:43","12354"
"08:44","3408"
"08:45","0"
"08:46","6390"
"08:47","9940"
"08:48","710"
"08:49","16330"
"08:50","1420"
"08:51","0"
"08:52","8520"
"08:53","7810"
"08:54","7810"
"08:55","10650"
"08:56","0"
"08:57","0"
"08:58","9940"
"08:59","6390"
"09:00","9940"
"09:01","8520"
"09:02","0"
"09:03","568"
"09:04","9940"
"09:05","2840"
"09:06","7810"
"09:07","10650"
"09:08","710"
"09:09","8520"
"09:10","7100"
"09:11","0"
"09:12","7810"
"09:13","10650"
"09:14","710"
"09:15","9940"
"09:16","5680"
"09:17","0"
"09:18","9940"
"09:19","8520"
"09:20","1420"
"09:21","13490"
"09:22","1420"
"09:23","0"
"09:24","10934"
"09:25","5112"
"09:26","2130"
"09:27","11928"
"09:28","1278"
"09:29","4970"
"09:30","13490"
"09:31","0"
"09:32","5680"
"09:33","8520"
"09:34","2130"
"09:35","7100"
"09:36","11360"
"09:37","0"
"09:38","6390"
"09:39","9230"
"09:40","710"
"09:41","5680"
"09:42","12780"
"09:43","0"
"09:44","5680"
"09:45","8520"
"09:46","2130"
"09:47","9230"
"09:48","9230"
"09:49","1420"
"09:50","7810"
"09:51","7100"
"09:52","710"
"09:53","15620"
"09:54","2130"
"09:55","5680"
"09:56","8520"
"09:57","2130"
"09:58","10650"
"09:59","7810"
"10:00","5822"
"10:01","10224"
"10:02","11360"
"10:03","0"
"10:04","19880"
"10:05","2556"
"10:06","710"
"10:07","0"
