"Relative Time","acker"
"00:01","0.077"
"00:02","0.05"
"00:03","0.063"
"00:04","0.052"
"00:05","0.055"
"00:06","0.061"
"00:07","0.059"
"00:08","0.061"
"00:09","0.061"
"00:10","0.055"
"00:11","0.062"
"00:12","0.078"
"00:13","0.073"
"00:14","0.078"
"00:15","0.068"
"00:16","0.083"
"00:17","0.093"
"00:18","0.092"
"00:19","0.1"
"00:20","0.094"
"00:21","0.104"
"00:22","0.114"
"00:23","0.108"
"00:24","0.135"
"00:25","0.109"
"00:26","0.115"
"00:27","0.132"
"00:28","0.14"
"00:29","0.135"
"00:30","0.133"
"00:31","0.144"
"00:32","0.156"
"00:33","0.189"
"00:34","0.189"
"00:35","0.166"
"00:36","0.183"
"00:37","0.221"
"00:38","0.185"
"00:39","0.177"
"00:40","0.184"
"00:41","0.187"
"00:42","0.204"
"00:43","0.207"
"00:44","0.213"
"00:45","0.216"
"00:46","0.216"
"00:47","0.228"
"00:48","0.233"
"00:49","0.325"
"00:50","0.236"
"00:51","0.222"
"00:52","0.283"
"00:53","0.303"
"00:54","0.243"
"00:55","0.253"
"00:56","0.251"
"00:57","0.396"
"00:58","0.304"
"00:59","0.366"
"01:00","0.301"
"01:01","0.264"
"01:02","0.311"
"01:03","0.307"
"01:04","0.293"
"01:05","0.323"
"01:06","0.299"
"01:07","0.31"
"01:08","0.337"
"01:09","0.356"
"01:10","0.309"
"01:11","0.332"
"01:12","0.329"
"01:13","0.359"
"01:14","0.337"
"01:15","0.347"
"01:16","0.331"
"01:17","0.334"
"01:18","0.378"
"01:19","0.36"
"01:20","0.361"
"01:21","0.373"
"01:22","0.535"
"01:23","0.434"
"01:24","0.437"
"01:25","0.394"
"01:26","0.381"
"01:27","0.539"
"01:28","0.45"
"01:29","0.444"
"01:30","0.443"
"01:31","0.446"
"01:32","0.495"
"01:33","0.514"
"01:34","0.425"
"01:35","0.426"
"01:36","0.509"
"01:37","0.443"
"01:38","0.489"
"01:39","0.493"
"01:40","0.446"
"01:41","0.465"
"01:42","0.47"
"01:43","0.469"
"01:44","0.516"
"01:45","0.516"
"01:46","0.561"
"01:47","0.491"
"01:48","0.529"
"01:49","0.523"
"01:50","0.644"
"01:51","0.509"
"01:52","0.526"
"01:53","0.514"
"01:54","0.539"
"01:55","0.528"
"01:56","0.581"
"01:57","0.555"
"01:58","0.579"
"01:59","0.595"
"02:00","0.588"
"02:01","0.608"
"02:02","0.577"
"02:03","0.596"
"02:04","0.634"
"02:05","0.679"
"02:06","0.606"
"02:07","0.593"
"02:08","0.674"
"02:09","0.608"
"02:10","0.602"
"02:11","0.663"
"02:12","0.614"
"02:13","0.623"
"02:14","0.637"
"02:15","0.665"
"02:16","0.644"
"02:17","0.67"
"02:18","0.66"
"02:19","0.654"
"02:20","0.632"
"02:21","0.642"
"02:22","0.619"
"02:23","0.643"
"02:24","0.755"
"02:25","0.76"
"02:26","0.77"
"02:27","0.701"
"02:28","0.72"
"02:29","0.898"
"02:30","0.765"
"02:31","0.799"
"02:32","0.73"
"02:33","0.776"
"02:34","0.753"
"02:35","0.762"
"02:36","0.797"
"02:37","0.735"
"02:38","0.734"
"02:39","0.865"
"02:40","0.739"
"02:41","0.716"
"02:42","0.707"
"02:43","0.715"
"02:44","0.722"
"02:45","0.764"
"02:46","0.799"
"02:47","0.822"
"02:48","1.044"
"02:49","0.787"
"02:50","0.752"
"02:51","0.819"
"02:52","0.899"
"02:53","0.911"
"02:54","0.862"
"02:55","0.849"
"02:56","0.874"
"02:57","0.779"
"02:58","0.804"
"02:59","0.842"
"03:00","0.847"
"03:01","0.859"
"03:02","0.843"
"03:03","0.914"
