"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:01","21.598","0.069","0.432","0.864","0.794","99.283","96.035","2.041","","0","","",""
"00:03","","","","","","","","","101873","","2387968","3","4294967000"
"00:04","21.376","0","0.161","0.3","0.3","99.698","96.551","2.002","","0","","",""
"00:06","","","","","","","","","102222","","2387968","3","4294967000"
"00:07","21.386","0","0.255","0.507","0.507","99.154","97.656","0.87","","0","","",""
"00:09","","","","","","","","","102209","","2387968","3","4294967000"
"00:10","21.395","0.171","0.228","0.441","0.27","99.428","96.557","1.269","","0","","",""
"00:12","","","","","","","","","102194","","2387968","3","4294967000"
"00:13","21.399","0","0.107","0.214","0.214","99.708","97.503","0.947","","0","","",""
"00:15","","","","","","","","","102190","","2387968","3","4294967000"
"00:16","21.401","0","0.102","0.202","0.202","99.853","97.054","0.736","","0","","",""
"00:18","","","","","","","","","102177","","2387968","3","4294967000"
"00:19","21.404","2.265","1.304","2.606","0.34","97.28","97.153","0.888","","0","","",""
"00:21","","","","","","","","","102170","","2387968","3","4294967000"
"00:22","21.408","0","0.101","0.202","0.202","99.756","97.948","0.821","","0","","",""
"00:24","","","","","","","","","102173","","2387968","3","4294967000"
"00:25","21.413","0.014","0.145","0.291","0.277","99.696","98.113","0.267","","0","","",""
"00:27","","","","","","","","","102157","","2387968","3","4294967000"
"00:28","21.414","0","0.052","0.103","0.103","99.887","98.328","0.387","","0","","",""
"00:30","","","","","","","","","102151","","2387968","3","4294967000"
"00:31","21.397","0","0.117","0.234","0.234","99.715","98.063","0.351","","0","","",""
"00:33","","","","","","","","","102160","","2387968","3","4294967000"
"00:34","21.399","0.34","0.658","1.316","0.976","98.568","97.964","0.855","","0","","",""
"00:36","","","","","","","","","102160","","2387968","3","4294967000"
"00:37","21.41","0.186","0.185","0.37","0.184","99.653","97.789","0.591","","0","","",""
"00:39","","","","","","","","","102136","","2387968","3","4294967000"
"00:40","21.408","0.044","0.078","0.155","0.111","99.886","98.061","0.522","","0","","",""
"00:42","","","","","","","","","102139","","2387968","3","4294967000"
"00:43","21.415","0.436","0.36","0.72","0.284","99.304","97.523","1.615","","0","","",""
"00:45","","","","","","","","","102138","","2387968","3","4294967000"
"00:46","21.414","0","0.089","0.178","0.178","99.857","98.208","0","","0","","",""
"00:48","","","","","","","","","102132","","2387968","3","4294967000"
"00:49","21.417","0","0.131","0.262","0.262","99.654","98.289","0.665","","0","","",""
"00:51","","","","","","","","","102129","","2387968","3","4294967000"
"00:52","21.416","0.04","0.442","0.884","0.844","99.121","98.12","0.675","","0","","",""
"00:54","","","","","","","","","102129","","2387968","3","4294967000"
"00:55","21.418","0.051","0.188","0.376","0.325","99.638","98.22","0.364","","0","","",""
"00:57","","","","","","","","","102130","","2387968","3","4294967000"
"00:58","21.419","0","0.069","0.137","0.137","99.902","98.464","0.141","","0","","",""
"01:00","","","","","","","","","102129","","2387968","3","4294967000"
"01:01","21.419","0","0.106","0.212","0.212","99.68","97.81","0.927","","0","","",""
"01:03","","","","","","","","","102128","","2387968","3","4294967000"
"01:04","21.422","0","0.095","0.189","0.189","99.882","98.381","0","","0","","",""
"01:06","","","","","","","","","102122","","2387968","3","4294967000"
"01:07","21.419","0","0.066","0.131","0.131","99.863","98.192","1.216","","0","","",""
"01:09","","","","","","","","","102124","","2387968","3","4294967000"
"01:10","21.414","0","0.151","0.301","0.301","99.696","98.254","0","","0","","",""
"01:12","","","","","","","","","102128","","2387968","3","4294967000"
"01:13","21.414","0","0.089","0.178","0.178","99.821","98.149","0.273","","0","","",""
"01:15","","","","","","","","","102129","","2387968","3","4294967000"
"01:16","21.414","0","0.148","0.295","0.295","99.748","98.279","0.393","","0","","",""
"01:18","","","","","","","","","102131","","2387968","3","4294967000"
"01:19","21.418","0","0.162","0.325","0.325","99.663","98.413","0.256","","0","","",""
"01:21","","","","","","","","","102126","","2387968","3","4294967000"
"01:22","21.421","0.235","0.363","0.726","0.492","99.024","94.345","2.989","","0","","",""
"01:24","","","","","","","","","102124","","2387968","3","4294967000"
"01:25","21.401","0","0.085","0.17","0.17","99.805","97.063","0.594","","0","","",""
"01:27","","","","","","","","","102119","","2387968","3","4294967000"
"01:28","21.447","0","0.043","0.086","0.086","99.92","96.564","0.894","","0.001","","",""
"01:30","","","","","","","","","102087","","2387968","3","4294967000"
"01:31","21.454","0","0.161","0.323","0.323","99.667","97.629","1.102","","0","","",""
"01:33","","","","","","","","","102076","","2387968","3","4294967000"
"01:34","21.454","1","0.671","1.341","0.341","98.556","97.097","0.68","","0","","",""
"01:36","","","","","","","","","102084","","2387968","3","4294967000"
"01:37","21.462","0.446","0.322","0.644","0.198","99.485","96.867","1.161","","0","","",""
"01:39","","","","","","","","","102082","","2387968","3","4294967000"
"01:40","21.471","0","0.126","0.252","0.252","99.74","98.179","0.74","","0","","",""
"01:42","","","","","","","","","102066","","2387968","3","4294967000"
"01:43","21.471","0.07","1.25","2.5","2.429","93.869","97.778","0.744","","0","","",""
"01:45","","","","","","","","","102068","","2387968","3","4294967000"
"01:46","21.475","0","0.306","0.612","0.612","99.4","97.89","0.474","","0","","",""
"01:48","","","","","","","","","102062","","2387968","3","4294967000"
"01:49","21.478","0.093","0.231","0.462","0.369","99.507","97.965","0.585","","0","","",""
"01:51","","","","","","","","","102058","","2387968","3","4294967000"
"01:52","21.477","0","0.14","0.28","0.28","99.7","98.051","0.656","","0","","",""
"01:54","","","","","","","","","102058","","2387968","3","4294967000"
"01:55","21.477","0","0.168","0.336","0.336","99.578","97.968","0.353","","0","","",""
"01:57","","","","","","","","","102061","","2387968","3","4294967000"
"01:58","21.479","0.005","0.155","0.309","0.304","99.699","97.557","1.107","","0","","",""
"02:00","","","","","","","","","102055","","2387968","3","4294967000"
"02:01","21.469","0","0.152","0.303","0.303","99.613","97.901","1.057","","0","","",""
"02:03","","","","","","","","","102063","","2387968","3","4294967000"
"02:04","21.471","0.024","0.135","0.269","0.245","99.899","97.625","0.891","","0","","",""
"02:06","","","","","","","","","102057","","2387968","3","4294967000"
"02:07","21.472","0","0.125","0.251","0.251","99.581","97.772","0.637","","0","","",""
"02:09","","","","","","","","","102053","","2387968","3","4294967000"
"02:10","21.472","0","0.17","0.34","0.34","99.726","98.139","0.746","","0","","",""
"02:12","","","","","","","","","102057","","2387968","3","4294967000"
"02:13","21.468","0","0.159","0.318","0.318","99.641","98.099","0.555","","0","","",""
"02:15","","","","","","","","","102060","","2387968","3","4294967000"
"02:16","21.469","0","0.114","0.228","0.228","99.791","97.732","0.757","","0","","",""
"02:18","","","","","","","","","102060","","2387968","3","4294967000"
"02:19","21.472","0","0.133","0.265","0.265","99.754","98.246","1.256","","0","","",""
"02:21","","","","","","","","","102059","","2387968","3","4294967000"
"02:22","21.471","0.346","0.457","0.914","0.567","98.987","96.05","0.653","","0","","",""
"02:24","","","","","","","","","102057","","2387968","3","4294967000"
"02:25","21.477","0","0.166","0.332","0.332","99.641","94.546","2.828","","0","","",""
"02:27","","","","","","","","","102044","","2387968","3","4294967000"
"02:28","21.589","0","0.185","0.371","0.371","99.604","96.355","1.354","","0","","",""
"02:30","","","","","","","","","101948","","2387968","3","4294967000"
"02:31","21.613","0.111","0.233","0.465","0.354","99.496","95.352","1.861","","0","","",""
"02:33","","","","","","","","","101925","","2387968","3","4294967000"
"02:34","21.607","0","0.585","1.171","1.171","97.685","95.614","1.81","","0","","",""
"02:36","","","","","","","","","101936","","2387968","3","4294967000"
"02:37","21.608","0","0.064","0.128","0.128","99.925","96.984","0.432","","0","","",""
"02:39","","","","","","","","","101924","","2387968","3","4294967000"
"02:40","21.598","0","0.142","0.284","0.284","99.678","97.717","1.237","","0","","",""
"02:42","","","","","","","","","101926","","2387968","3","4294967000"
"02:43","21.595","0","0.183","0.366","0.366","99.723","98.184","0","","0","","",""
"02:45","","","","","","","","","101930","","2387968","3","4294967000"
"02:46","21.595","0","0.161","0.322","0.322","99.648","98.276","0.369","","0","","",""
"02:48","","","","","","","","","101931","","2387968","3","4294967000"
"02:49","21.591","0","0.164","0.328","0.328","99.673","97.793","0.716","","0","","",""
"02:51","","","","","","","","","101935","","2387968","3","4294967000"
"02:52","21.566","0","0.253","0.505","0.505","99.435","97.293","1.236","","0","","",""
"02:54","","","","","","","","","101975","","2387968","3","4294967000"
"02:55","21.562","0.016","0.241","0.482","0.466","99.461","97.716","0.571","","0","","",""
"02:57","","","","","","","","","101976","","2387968","3","4294967000"
"02:58","21.521","0.103","0.291","0.582","0.479","99.099","96.19","2.381","","0","","",""
"03:00","","","","","","","","","101990","","2387968","3","4294967000"
"03:01","21.216","0.28","0.218","0.435","0.156","99.521","96.508","1.331","","0","","",""
"03:03","","","","","","","","","102356","","2387968","3","4294967000"
"03:04","20.925","0","0.192","0.385","0.385","99.651","96.649","1.332","","0","","",""
"03:06","","","","","","","","","102658","","2387968","3","4294967000"
"03:07","20.926","0.019","0.248","0.496","0.477","99.528","95.057","3.036","","0","","",""
"03:09","","","","","","","","","102662","","2387968","3","4294967000"
"03:10","20.929","0","0.197","0.395","0.395","99.536","96.236","1.909","","0","","",""
"03:12","","","","","","","","","102653","","2387968","3","4294967000"
"03:13","20.927","0.023","0.227","0.453","0.43","99.579","97.666","0.826","","0","","",""
"03:15","","","","","","","","","102655","","2387968","3","4294967000"
"03:16","20.923","0","0.194","0.388","0.388","99.529","97.368","1.134","","0","","",""
"03:18","","","","","","","","","102660","","2387968","3","4294967000"
"03:19","20.923","0","0.183","0.365","0.365","99.554","96.644","2.314","","0","","",""
"03:21","","","","","","","","","102658","","2387968","3","4294967000"
"03:22","20.939","0.731","0.665","1.33","0.599","98.638","96.816","1.823","","0","","",""
"03:24","","","","","","","","","102647","","2387968","3","4294967000"
"03:25","20.948","0.104","0.238","0.476","0.372","99.488","97.47","0.917","","0","","",""
"03:27","","","","","","","","","102635","","2387968","3","4294967000"
"03:28","20.945","0","0.199","0.398","0.398","99.533","98.262","0.761","","0","","",""
"03:30","","","","","","","","","102632","","2387968","3","4294967000"
"03:31","20.945","0.873","0.664","1.327","0.454","99.328","97.26","1.12","","0","","",""
