"Relative Time","Hits"
"00:00","0"
"00:01","0"
"00:02","142"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","136"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","118"
"00:12","112"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","184"
"00:17","0"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","154"
"00:22","0"
"00:23","74"
"00:24","0"
"00:25","0"
"00:26","206"
"00:27","0"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","177"
"00:32","0"
"00:33","57"
"00:34","0"
"00:35","0"
"00:36","205"
"00:37","0"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","140"
"00:42","46"
"00:43","45"
"00:44","0"
"00:45","0"
"00:46","168"
"00:47","42"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","38"
"00:52","155"
"00:53","38"
"00:54","0"
"00:55","0"
"00:56","72"
"00:57","144"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","32"
"01:02","155"
"01:03","31"
"01:04","0"
"01:05","0"
"01:06","29"
"01:07","174"
"01:08","0"
"01:09","0"
"01:10","0"
"01:11","26"
"01:12","156"
"01:13","0"
"01:14","26"
"01:15","0"
"01:16","0"
"01:17","200"
"01:18","0"
"01:19","0"
"01:20","0"
"01:21","0"
"01:22","200"
"01:23","0"
"01:24","24"
"01:25","0"
"01:26","0"
"01:27","161"
"01:28","46"
"01:29","0"
"01:30","0"
"01:31","0"
"01:32","154"
"01:33","44"
"01:34","22"
"01:35","0"
"01:36","0"
"01:37","60"
"01:38","140"
"01:39","0"
"01:40","0"
"01:41","0"
"01:42","19"
"01:43","171"
"01:44","0"
"01:45","19"
"01:46","0"
"01:47","38"
"01:48","152"
"01:49","19"
"01:50","0"
"01:51","0"
"01:52","18"
"01:53","180"
"01:54","0"
"01:55","18"
"01:56","0"
"01:57","17"
"01:58","161"
"01:59","36"
"02:00","0"
"02:01","0"
"02:02","17"
"02:03","187"
"02:04","0"
"02:05","16"
"02:06","0"
"02:07","16"
"02:08","48"
"02:09","142"
"02:10","0"
"02:11","0"
"02:12","0"
"02:13","136"
"02:14","60"
"02:15","16"
"02:16","0"
"02:17","0"
"02:18","29"
"02:19","127"
"02:20","42"
"02:21","0"
"02:22","0"
"02:23","84"
"02:24","112"
"02:25","0"
"02:26","13"
"02:27","0"
"02:28","0"
"02:29","126"
"02:30","84"
"02:31","0"
"02:32","0"
"02:33","0"
"02:34","168"
"02:35","42"
"02:36","14"
"02:37","0"
"02:38","0"
"02:39","109"
"02:40","104"
"02:41","0"
"02:42","0"
"02:43","0"
"02:44","26"
"02:45","182"
"02:46","0"
"02:47","13"
"02:48","0"
"02:49","24"
"02:50","182"
"02:51","13"
"02:52","0"
"02:53","0"
"02:54","26"
"02:55","156"
"02:56","39"
"02:57","12"
"02:58","0"
"02:59","38"
"03:00","60"
"03:01","120"
"03:02","0"
"03:03","0"
"03:04","12"
"03:05","24"
"03:06","156"
"03:07","36"
"03:08","0"
"03:09","23"
"03:10","55"
"03:11","132"
"03:12","0"
"03:13","0"
"03:14","0"
"03:15","44"
"03:16","88"
"03:17","77"
"03:18","11"
"03:19","11"
"03:20","33"
"03:21","143"
"03:22","33"
"03:23","0"
"03:24","0"
"03:25","33"
"03:26","33"
"03:27","143"
"03:28","22"
"03:29","0"
"03:30","55"
"03:31","121"
"03:32","55"
"03:33","0"
"03:34","0"
"03:35","20"
"03:36","30"
"03:37","80"
"03:38","78"
"03:39","9"
"03:40","27"
"03:41","27"
"03:42","108"
"03:43","36"
"03:44","0"
"03:45","18"
"03:46","27"
"03:47","9"
"03:48","81"
"03:49","72"
"03:50","18"
"03:51","27"
"03:52","72"
"03:53","90"
"03:54","0"
"03:55","0"
"03:56","30"
"03:57","30"
"03:58","18"
"03:59","135"
"04:00","27"
"04:01","27"
"04:02","36"
"04:03","108"
"04:04","27"
"04:05","9"
"04:06","0"
"04:07","27"
"04:08","45"
"04:09","126"
"04:10","18"
"04:11","27"
"04:12","18"
"04:13","45"
"04:14","117"
"04:15","9"
"04:16","9"
"04:17","0"
"04:18","36"
"04:19","45"
"04:20","117"
"04:21","18"
"04:22","45"
"04:23","9"
"04:24","99"
"04:25","63"
"04:26","0"
"04:27","9"
"04:28","0"
"04:29","36"
"04:30","54"
"04:31","126"
"04:32","18"
"04:33","27"
"04:34","36"
"04:35","108"
"04:36","27"
"04:37","0"
"04:38","9"
"04:39","18"
"04:40","54"
"04:41","18"
"04:42","126"
"04:43","27"
"04:44","27"
"04:45","63"
"04:46","90"
"04:47","9"
"04:48","8"
"04:49","0"
"04:50","32"
"04:51","40"
"04:52","130"
"04:53","0"
"04:54","27"
"04:55","27"
"04:56","45"
"04:57","90"
"04:58","27"
"04:59","9"
"05:00","36"
"05:01","45"
"05:02","36"
"05:03","99"
"05:04","0"
"05:05","45"
"05:06","26"
"05:07","52"
"05:08","90"
"05:09","9"
"05:10","8"
"05:11","24"
"05:12","45"
"05:13","36"
"05:14","99"
"05:15","0"
"05:16","36"
"05:17","36"
"05:18","54"
"05:19","81"
"05:20","18"
"05:21","36"
"05:22","0"
"05:23","45"
"05:24","27"
"05:25","108"
"05:26","0"
"05:27","36"
"05:28","54"
"05:29","90"
"05:30","36"
"05:31","36"
"05:32","9"
"05:33","0"
"05:34","54"
"05:35","45"
"05:36","81"
"05:37","0"
"05:38","63"
"05:39","27"
"05:40","90"
"05:41","36"
"05:42","32"
"05:43","8"
"05:44","8"
"05:45","40"
"05:46","40"
"05:47","72"
"05:48","32"
"05:49","32"
"05:50","16"
"05:51","63"
"05:52","90"
"05:53","18"
"05:54","0"
"05:55","36"
"05:56","45"
"05:57","99"
"05:58","0"
"05:59","63"
"06:00","27"
"06:01","0"
"06:02","90"
"06:03","72"
"06:04","9"
"06:05","36"
"06:06","18"
"06:07","76"
"06:08","45"
"06:09","0"
"06:10","63"
"06:11","27"
"06:12","0"
"06:13","90"
"06:14","69"
"06:15","9"
"06:16","36"
"06:17","63"
"06:18","27"
"06:19","54"
"06:20","36"
"06:21","36"
"06:22","18"
"06:23","0"
"06:24","99"
"06:25","63"
"06:26","9"
"06:27","36"
"06:28","63"
"06:29","54"
"06:30","27"
"06:31","35"
"06:32","36"
"06:33","18"
"06:34","9"
"06:35","135"
"06:36","27"
"06:37","0"
"06:38","36"
"06:39","63"
"06:40","54"
"06:41","36"
"06:42","27"
"06:43","36"
"06:44","18"
"06:45","24"
"06:46","114"
"06:47","18"
"06:48","0"
"06:49","54"
"06:50","65"
"06:51","36"
"06:52","27"
"06:53","27"
"06:54","36"
"06:55","45"
"06:56","108"
"06:57","8"
"06:58","26"
"06:59","0"
"07:00","99"
"07:01","27"
"07:02","45"
"07:03","18"
"07:04","27"
"07:05","36"
"07:06","74"
"07:07","81"
"07:08","9"
"07:09","18"
"07:10","0"
"07:11","104"
"07:12","8"
"07:13","48"
"07:14","8"
"07:15","24"
"07:16","96"
"07:17","18"
"07:18","72"
"07:19","18"
"07:20","18"
"07:21","81"
"07:22","45"
"07:23","27"
"07:24","36"
"07:25","27"
"07:26","27"
"07:27","72"
"07:28","18"
"07:29","81"
"07:30","9"
"07:31","18"
"07:32","99"
"07:33","27"
"07:34","63"
"07:35","0"
"07:36","54"
"07:37","0"
"07:38","72"
"07:39","18"
"07:40","81"
"07:41","18"
"07:42","72"
"07:43","63"
"07:44","0"
"07:45","63"
"07:46","27"
"07:47","27"
"07:48","60"
"07:49","40"
"07:50","80"
"07:51","20"
"07:52","63"
"07:53","81"
"07:54","0"
"07:55","63"
"07:56","27"
"07:57","27"
"07:58","0"
"07:59","48"
"08:00","32"
"08:01","64"
"08:02","48"
"08:03","96"
"08:04","0"
"08:05","56"
"08:06","0"
"08:07","24"
"08:08","27"
"08:09","0"
"08:10","90"
"08:11","0"
"08:12","90"
"08:13","108"
"08:14","36"
"08:15","0"
"08:16","63"
"08:17","27"
"08:18","0"
"08:19","27"
"08:20","63"
"08:21","25"
"08:22","35"
"08:23","63"
"08:24","98"
"08:25","32"
"08:26","48"
"08:27","8"
"08:28","24"
"08:29","0"
"08:30","24"
"08:31","18"
"08:32","81"
"08:33","45"
"08:34","45"
"08:35","117"
"08:36","54"
"08:37","27"
"08:38","27"
"08:39","0"
"08:40","27"
"08:41","0"
"08:42","45"
"08:43","54"
"08:44","72"
"08:45","117"
"08:46","45"
"08:47","48"
"08:48","0"
"08:49","27"
"08:50","27"
"08:51","0"
"08:52","18"
"08:53","80"
"08:54","0"
"08:55","76"
"08:56","95"
"08:57","99"
"08:58","9"
"08:59","27"
"09:00","0"
"09:01","27"
"09:02","0"
"09:03","9"
"09:04","90"
"09:05","45"
"09:06","72"
"09:07","72"
"09:08","90"
"09:09","9"
"09:10","27"
"09:11","0"
"09:12","27"
"09:13","0"
"09:14","27"
"09:15","72"
"09:16","45"
"09:17","72"
"09:18","99"
"09:19","72"
"09:20","0"
"09:21","27"
"09:22","0"
"09:23","27"
"09:24","0"
"09:25","27"
"09:26","99"
"09:27","81"
"09:28","72"
"09:29","99"
"09:30","9"
"09:31","0"
"09:32","24"
"09:33","0"
"09:34","27"
"09:35","0"
"09:36","45"
"09:37","99"
"09:38","54"
"09:39","81"
"09:40","99"
"09:41","9"
"09:42","27"
"09:43","0"
"09:44","8"
"09:45","16"
"09:46","8"
"09:47","90"
"09:48","45"
"09:49","72"
"09:50","57"
"09:51","88"
"09:52","33"
"09:53","0"
"09:54","0"
"09:55","24"
"09:56","8"
"09:57","0"
"09:58","80"
"09:59","24"
"10:00","128"
"10:01","96"
"10:02","25"
"10:03","9"
"10:04","0"
"10:05","27"
"10:06","0"
"10:07","9"
"10:08","18"
"10:09","81"
"10:10","126"
"10:11","144"
"10:12","9"
"10:13","18"
"10:14","8"
"10:15","27"
"10:16","0"
"10:17","8"
"10:18","0"
"10:19","40"
"10:20","64"
"10:21","152"
"10:22","72"
"10:23","24"
"10:24","8"
"10:25","0"
"10:26","24"
"10:27","8"
"10:28","0"
"10:29","16"
"10:30","80"
"10:31","56"
"10:32","176"
"10:33","0"
"10:34","32"
"10:35","0"
"10:36","0"
"10:37","27"
"10:38","9"
"10:39","18"
"10:40","64"
"10:41","40"
"10:42","200"
"10:43","8"
"10:44","32"
"10:45","0"
"10:46","0"
"10:47","0"
"10:48","24"
"10:49","8"
"10:50","72"
"10:51","36"
"10:52","126"
"10:53","135"
"10:54","0"
"10:55","36"
"10:56","0"
"10:57","0"
"10:58","0"
"10:59","36"
"11:00","0"
"11:01","72"
"11:02","72"
"11:03","216"
"11:04","9"
"11:05","27"
"11:06","9"
"11:07","0"
"11:08","0"
"11:09","0"
"11:10","36"
"11:11","0"
"11:12","72"
"11:13","63"
"11:14","234"
"11:15","0"
"11:16","36"
"11:17","0"
"11:18","0"
