"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","0"
"00:07","20306"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","19454"
"00:12","0"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","16898"
"00:17","0"
"00:18","15904"
"00:19","0"
"00:20","0"
"00:21","26412"
"00:22","0"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","22152"
"00:27","0"
"00:28","10508"
"00:29","0"
"00:30","0"
"00:31","29394"
"00:32","0"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","25134"
"00:37","0"
"00:38","8094"
"00:39","0"
"00:40","0"
"00:41","29536"
"00:42","0"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","20022"
"00:47","6674"
"00:48","6390"
"00:49","0"
"00:50","0"
"00:51","0"
"00:52","29820"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","0"
"00:57","27690"
"00:58","5396"
"00:59","0"
"01:00","0"
"01:01","0"
"01:02","30672"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","0"
"01:07","26554"
"01:08","0"
"01:09","4402"
"01:10","0"
"01:11","0"
"01:12","28826"
"01:13","0"
"01:14","0"
"01:15","0"
"01:16","0"
"01:17","23004"
"01:18","3834"
"01:19","3834"
"01:20","0"
"01:21","0"
"01:22","21584"
"01:23","7100"
"01:24","0"
"01:25","0"
"01:26","0"
"01:27","3692"
"01:28","24992"
"01:29","0"
"01:30","3408"
"01:31","0"
"01:32","3408"
"01:33","26696"
"01:34","0"
"01:35","0"
"01:36","0"
"01:37","3266"
"01:38","22010"
"01:39","3124"
"01:40","2982"
"01:41","0"
"01:42","0"
"01:43","19880"
"01:44","8946"
"01:45","0"
"01:46","0"
"01:47","0"
"01:48","10934"
"01:49","14200"
"01:50","5680"
"01:51","0"
"01:52","0"
"01:53","11076"
"01:54","11644"
"01:55","8094"
"01:56","0"
"01:57","0"
"01:58","5396"
"01:59","18176"
"02:00","5254"
"02:01","2556"
"02:02","0"
"02:03","5112"
"02:04","10650"
"02:05","15336"
"02:06","0"
"02:07","0"
"02:08","2414"
"02:09","7242"
"02:10","14484"
"02:11","7242"
"02:12","0"
"02:13","2272"
"02:14","6816"
"02:15","6816"
"02:16","13632"
"02:17","0"
"02:18","2272"
"02:19","6816"
"02:20","4544"
"02:21","11360"
"02:22","6532"
"02:23","2130"
"02:24","4260"
"02:25","4260"
"02:26","8094"
"02:27","10224"
"02:28","0"
"02:29","5964"
"02:30","3976"
"02:31","12922"
"02:32","0"
"02:33","5964"
"02:34","4118"
"02:35","4260"
"02:36","10366"
"02:37","5964"
"02:38","5964"
"02:39","4118"
"02:40","4260"
"02:41","18318"
"02:42","0"
"02:43","5964"
"02:44","3976"
"02:45","3976"
"02:46","5964"
"02:47","5964"
"02:48","11502"
"02:49","3976"
"02:50","1988"
"02:51","3976"
"02:52","17892"
"02:53","1846"
"02:54","5254"
"02:55","3976"
"02:56","1988"
"02:57","7952"
"02:58","5822"
"02:59","13774"
"03:00","1846"
"03:01","1846"
"03:02","3692"
"03:03","16614"
"03:04","9514"
"03:05","1846"
"03:06","3692"
"03:07","0"
"03:08","3408"
"03:09","8520"
"03:10","15620"
"03:11","1846"
"03:12","1846"
"03:13","3550"
"03:14","17040"
"03:15","6248"
"03:16","3124"
"03:17","3266"
"03:18","3408"
"03:19","6816"
"03:20","6532"
"03:21","11076"
"03:22","1704"
"03:23","1704"
"03:24","3408"
"03:25","15336"
"03:26","13632"
"03:27","0"
"03:28","1704"
"03:29","3408"
"03:30","6816"
"03:31","20448"
"03:32","1704"
"03:33","0"
"03:34","3408"
"03:35","3266"
"03:36","6390"
"03:37","21868"
"03:38","0"
"03:39","1562"
"03:40","3124"
"03:41","4260"
"03:42","7100"
"03:43","12780"
"03:44","1278"
"03:45","1420"
"03:46","4260"
"03:47","12780"
"03:48","14200"
"03:49","0"
"03:50","1420"
"03:51","1420"
"03:52","7100"
"03:53","5680"
"03:54","15620"
"03:55","1420"
"03:56","1420"
"03:57","1420"
"03:58","7100"
"03:59","17040"
"04:00","5680"
"04:01","1420"
"04:02","1420"
"04:03","5680"
"04:04","4260"
"04:05","18318"
"04:06","2556"
"04:07","1278"
"04:08","1278"
"04:09","5112"
"04:10","13916"
"04:11","12354"
"04:12","1278"
"04:13","0"
"04:14","6390"
"04:15","2556"
"04:16","2840"
"04:17","19880"
"04:18","1420"
"04:19","2840"
"04:20","5680"
"04:21","1420"
"04:22","10934"
"04:23","14200"
"04:24","1420"
"04:25","2840"
"04:26","5680"
"04:27","0"
"04:28","6816"
"04:29","17040"
"04:30","0"
"04:31","2840"
"04:32","4260"
"04:33","7100"
"04:34","4260"
"04:35","17040"
"04:36","1278"
"04:37","5538"
"04:38","2840"
"04:39","2840"
"04:40","9940"
"04:41","11360"
"04:42","1278"
"04:43","1420"
"04:44","7100"
"04:45","4260"
"04:46","2840"
"04:47","21300"
"04:48","0"
"04:49","4260"
"04:50","3834"
"04:51","1278"
"04:52","8946"
"04:53","11502"
"04:54","0"
"04:55","2840"
"04:56","8946"
"04:57","0"
"04:58","11502"
"04:59","10224"
"05:00","0"
"05:01","5680"
"05:02","4260"
"05:03","7100"
"05:04","15620"
"05:05","0"
"05:06","0"
"05:07","9940"
"05:08","2840"
"05:09","17608"
"05:10","5112"
"05:11","0"
"05:12","0"
"05:13","6958"
"05:14","2556"
"05:15","10792"
"05:16","9798"
"05:17","0"
"05:18","0"
"05:19","6532"
"05:20","10366"
"05:21","18034"
"05:22","0"
"05:23","0"
"05:24","0"
"05:25","7100"
"05:26","8520"
"05:27","17040"
"05:28","0"
"05:29","0"
"05:30","5254"
"05:31","14058"
"05:32","1420"
"05:33","12780"
"05:34","1420"
"05:35","0"
"05:36","3834"
"05:37","10224"
"05:38","0"
"05:39","17040"
"05:40","0"
"05:41","4260"
"05:42","17040"
"05:43","0"
"05:44","0"
"05:45","8094"
"05:46","6390"
"05:47","3834"
"05:48","10224"
"05:49","0"
"05:50","0"
"05:51","14626"
"05:52","0"
"05:53","8946"
"05:54","10224"
"05:55","0"
"05:56","0"
"05:57","12780"
"05:58","1278"
"05:59","5680"
"06:00","9940"
"06:01","0"
"06:02","9940"
"06:03","7100"
"06:04","0"
"06:05","11786"
"06:06","8520"
"06:07","4260"
"06:08","11360"
"06:09","0"
"06:10","1278"
"06:11","5112"
"06:12","7668"
"06:13","5680"
"06:14","4260"
"06:15","9940"
"06:16","7100"
"06:17","1278"
"06:18","9230"
"06:19","0"
"06:20","14200"
"06:21","1420"
"06:22","6816"
"06:23","8520"
"06:24","0"
"06:25","1420"
"06:26","8378"
"06:27","7100"
"06:28","11360"
"06:29","7100"
"06:30","2840"
"06:31","0"
"06:32","12780"
"06:33","5396"
"06:34","3834"
"06:35","7668"
"06:36","0"
"06:37","3976"
"06:38","6958"
"06:39","7952"
"06:40","14058"
"06:41","0"
"06:42","2840"
"06:43","0"
"06:44","15620"
"06:45","7100"
"06:46","7668"
"06:47","0"
"06:48","0"
"06:49","6390"
"06:50","12212"
"06:51","15052"
"06:52","0"
"06:53","0"
"06:54","2556"
"06:55","2556"
"06:56","11502"
"06:57","15336"
"06:58","0"
"06:59","0"
"07:00","5680"
"07:01","7100"
"07:02","7668"
"07:03","12496"
"07:04","0"
"07:05","2556"
"07:06","0"
"07:07","15620"
"07:08","2556"
"07:09","11502"
"07:10","0"
"07:11","0"
"07:12","5112"
"07:13","6390"
"07:14","20448"
"07:15","0"
"07:16","2272"
"07:17","0"
"07:18","0"
"07:19","19170"
"07:20","8946"
"07:21","0"
"07:22","0"
"07:23","5538"
"07:24","4260"
"07:25","22720"
"07:26","5396"
"07:27","0"
"07:28","0"
"07:29","0"
"07:30","7100"
"07:31","24140"
"07:32","0"
"07:33","0"
"07:34","1420"
"07:35","4260"
"07:36","5680"
"07:37","24140"
"07:38","2840"
"07:39","0"
"07:40","0"
"07:41","0"
"07:42","18460"
"07:43","12780"
"07:44","0"
"07:45","0"
"07:46","1420"
"07:47","4260"
"07:48","9940"
"07:49","22720"
"07:50","0"
"07:51","0"
"07:52","0"
"07:53","0"
"07:54","19880"
"07:55","11360"
"07:56","0"
"07:57","1420"
"07:58","2840"
"07:59","7100"
"08:00","26980"
"08:01","0"
"08:02","0"
"08:03","0"
"08:04","0"
"08:05","17892"
"08:06","10224"
"08:07","0"
"08:08","1136"
"08:09","1136"
"08:10","2272"
"08:11","19170"
"08:12","10224"
"08:13","0"
"08:14","0"
"08:15","0"
"08:16","1420"
"08:17","29820"
"08:18","0"
"08:19","1278"
"08:20","2556"
"08:21","1278"
"08:22","2840"
"08:23","29820"
"08:24","0"
"08:25","0"
"08:26","0"
"08:27","0"
"08:28","2556"
"08:29","25560"
"08:30","1278"
"08:31","3692"
"08:32","0"
"08:33","0"
"08:34","3834"
"08:35","23004"
"08:36","2556"
"08:37","0"
"08:38","0"
"08:39","0"
"08:40","19880"
"08:41","14200"
"08:42","2840"
"08:43","0"
"08:44","0"
"08:45","0"
"08:46","26980"
"08:47","5680"
"08:48","0"
"08:49","0"
"08:50","0"
"08:51","12780"
"08:52","16614"
"08:53","1278"
"08:54","2840"
"08:55","0"
"08:56","0"
"08:57","6390"
"08:58","23004"
"08:59","0"
"09:00","0"
"09:01","0"
"09:02","7100"
"09:03","25560"
"09:04","1278"
"09:05","0"
"09:06","2556"
"09:07","0"
"09:08","2840"
"09:09","26838"
"09:10","2556"
"09:11","0"
"09:12","0"
"09:13","0"
"09:14","9940"
"09:15","23998"
"09:16","0"
"09:17","2556"
"09:18","0"
"09:19","0"
"09:20","5680"
"09:21","19880"
"09:22","7100"
"09:23","0"
"09:24","0"
"09:25","0"
"09:26","4260"
"09:27","29820"
"09:28","2840"
"09:29","0"
"09:30","0"
"09:31","0"
"09:32","10224"
"09:33","19312"
"09:34","0"
"09:35","0"
"09:36","0"
"09:37","0"
"09:38","17892"
"09:39","15762"
"09:40","0"
"09:41","0"
"09:42","0"
"09:43","11360"
"09:44","19880"
"09:45","1420"
"09:46","0"
"09:47","0"
"09:48","0"
"09:49","19170"
"09:50","10224"
"09:51","4118"
"09:52","0"
"09:53","0"
"09:54","0"
"09:55","10224"
"09:56","17892"
"09:57","1278"
"09:58","0"
"09:59","0"
"10:00","6390"
"10:01","23004"
"10:02","300"
"10:03","2414"
"10:04","1278"
"10:05","0"
"10:06","6390"
"10:07","21726"
"10:08","0"
"10:09","1420"
"10:10","0"
"10:11","0"
"10:12","21300"
"10:13","12780"
"10:14","0"
"10:15","2698"
"10:16","0"
"10:17","0"
"10:18","28542"
"10:19","0"
"10:20","0"
"10:21","1278"
"10:22","0"
"10:23","3550"
"10:24","21584"
"10:25","2556"
"10:26","1278"
"10:27","1136"
