"Relative Time","acker","acker_showstopper","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:02","0.072","","0.074","","0"
"00:03","0.058","","0.059","",""
"00:04","0.069","","0.07","",""
"00:05","0.076","","0.077","",""
"00:06","0.068","","0.069","","0"
"00:07","0.061","","0.063","",""
"00:08","0.062","","0.063","",""
"00:09","0.065","","0.066","",""
"00:10","0.064","","0.065","",""
"00:11","0.07","","0.071","","0"
"00:12","0.065","","0.067","",""
"00:13","0.07","","0.072","",""
"00:14","0.071","","0.073","",""
"00:15","0.071","","0.072","",""
"00:16","0.082","","0.083","","0"
"00:17","0.092","","0.093","",""
"00:18","0.098","","0.099","",""
"00:19","0.085","","0.086","",""
"00:20","0.089","","0.091","",""
"00:21","0.102","","0.104","","0"
"00:22","0.111","","0.112","",""
"00:23","0.122","","0.124","",""
"00:24","0.155","","0.157","",""
"00:25","0.106","","0.107","",""
"00:26","0.11","","0.111","","0"
"00:27","0.137","","0.138","",""
"00:28","0.142","","0.143","",""
"00:29","0.131","","0.132","",""
"00:30","0.125","","0.127","",""
"00:31","0.132","","0.133","","0"
"00:32","0.161","","0.161","",""
"00:33","0.152","","0.153","",""
"00:34","0.155","","0.155","",""
"00:35","0.155","","0.155","",""
"00:36","0.169","","0.169","","0"
"00:37","0.179","","0.179","",""
"00:38","0.195","","0.195","",""
"00:39","0.176","","0.176","",""
"00:40","0.177","","0.177","",""
"00:41","0.219","","0.219","","0"
"00:42","0.199","","0.199","",""
"00:43","0.206","","0.206","",""
"00:44","0.198","","0.199","",""
"00:45","0.212","","0.212","",""
"00:46","0.214","","0.215","","0"
"00:47","0.219","","0.219","",""
"00:48","0.22","","0.22","",""
"00:49","0.22","","0.22","",""
"00:50","0.218","","0.218","",""
"00:51","0.256","","0.256","","0"
"00:52","0.308","","0.309","",""
"00:53","0.249","","0.25","",""
"00:54","0.241","","0.242","",""
"00:55","0.252","","0.252","",""
"00:56","0.248","","0.248","",""
"00:57","0.276","","0.276","","0"
"00:58","0.276","","0.276","",""
"00:59","0.272","","0.272","",""
"01:00","0.267","","0.267","",""
"01:01","0.266","","0.266","",""
"01:02","0.282","","0.283","","0"
"01:03","0.338","","0.338","",""
"01:04","0.291","","0.291","",""
"01:05","0.284","","0.284","",""
"01:06","0.286","","0.286","",""
"01:07","0.32","","0.32","","0"
"01:08","0.361","","0.361","",""
"01:09","0.445","","0.446","",""
"01:10","0.307","","0.307","",""
"01:11","0.307","","0.308","",""
"01:12","0.377","","0.378","","0"
"01:13","0.39","","0.39","",""
"01:14","0.341","","0.341","",""
"01:15","0.329","","0.329","",""
"01:16","0.326","","0.327","",""
"01:17","0.362","","0.363","","0"
"01:18","0.451","","0.451","",""
"01:19","0.47","","0.47","",""
"01:20","0.469","","0.469","",""
"01:21","0.447","","0.448","",""
"01:22","0.389","","0.389","","0"
"01:23","0.383","","0.384","",""
"01:24","0.371","","0.371","",""
"01:25","0.374","","0.375","",""
"01:26","0.369","","0.369","",""
"01:27","0.375","","0.375","","0"
"01:28","0.503","","0.503","",""
"01:29","0.394","","0.395","",""
"01:30","0.394","","0.394","",""
"01:31","0.589","","0.589","",""
"01:32","0.43","","0.43","","0"
"01:33","0.452","","0.452","",""
"01:34","0.573","","0.574","",""
"01:35","0.431","","0.431","",""
"01:36","0.413","","0.413","",""
"01:37","0.416","","0.416","","0"
"01:38","0.472","","0.472","",""
"01:39","0.438","","0.438","",""
"01:40","0.443","","0.443","",""
"01:41","0.526","","0.526","",""
"01:42","0.575","","0.575","","0"
"01:43","0.463","","0.463","",""
"01:44","0.613","","0.613","",""
"01:45","0.609","","0.609","",""
"01:46","0.547","","0.547","",""
"01:47","0.572","","0.573","","0"
"01:48","0.511","","0.511","",""
"01:49","0.617","","0.617","",""
"01:50","0.482","","0.482","",""
"01:51","0.523","","0.523","",""
"01:52","0.484","","0.484","","0"
"01:53","0.5","","0.5","",""
"01:54","0.511","","0.511","",""
"01:55","0.647","","0.647","",""
"01:56","0.516","","0.516","",""
"01:57","0.514","","0.514","","0"
"01:58","0.568","","0.569","",""
"01:59","0.664","","0.664","",""
"02:00","0.552","","0.552","",""
"02:01","0.599","","0.599","",""
"02:02","0.529","","0.53","",""
"02:03","0.547","","0.547","","0"
"02:04","0.558","","0.559","",""
"02:05","0.793","","0.793","",""
"02:06","0.566","","0.566","",""
"02:07","0.553","","0.553","",""
"02:08","0.557","","0.558","","0"
"02:09","0.592","","0.593","",""
"02:10","0.593","","0.593","",""
"02:11","0.722","","0.722","",""
"02:12","0.623","","0.623","",""
"02:13","0.632","","0.632","","0"
"02:14","0.648","","0.648","",""
"02:15","0.791","","0.791","",""
"02:16","0.774","","0.774","",""
"02:17","0.627","","0.627","",""
"02:18","0.597","","0.597","","0"
"02:19","0.72","","0.721","",""
"02:20","0.668","","0.668","",""
"02:21","0.62","","0.621","",""
"02:22","0.613","","0.613","",""
"02:23","0.767","","0.767","","0"
"02:24","0.638","","0.638","",""
"02:25","0.804","","0.804","",""
"02:26","0.636","","0.636","",""
"02:27","0.94","","0.941","",""
"02:28","1.007","","1.007","","0"
"02:29","0.704","","0.704","",""
"02:30","0.806","","0.807","",""
"02:31","0.809","","0.809","",""
"02:32","0.659","","0.659","",""
"02:33","0.685","","0.685","","0"
"02:34","0.801","","0.801","",""
"02:35","0.786","","0.786","",""
"02:36","0.688","","0.688","",""
"02:37","0.683","","0.683","",""
"02:38","0.71","","0.71","","0"
"02:39","0.696","","0.697","",""
"02:40","0.718","","0.718","",""
"02:41","0.748","","0.748","",""
"02:42","0.931","","0.931","",""
"02:43","0.757","","0.757","","0"
"02:44","0.803","","0.804","",""
"02:45","0.739","","0.739","",""
"02:46","0.75","","0.75","",""
"02:47","0.81","","0.81","",""
"02:48","0.725","","0.725","","0"
"02:49","0.756","","0.756","",""
"02:50","1.046","","1.046","",""
"02:51","0.772","","0.772","",""
"02:52","0.742","","0.742","",""
"02:53","0.781","","0.781","","0"
"02:54","0.866","","0.866","",""
"02:55","0.974","","0.975","",""
"02:56","0.805","","0.805","",""
"02:57","0.765","","0.765","",""
"02:58","0.765","","0.765","","0"
"02:59","0.918","","0.918","",""
"03:00","0.82","","0.82","",""
"03:01","0.8","","0.8","",""
"03:02","0.81","","0.81","",""
"03:03","0.783","","0.783","","0"
"03:04","0.884","","0.885","",""
"03:05","0.914","","0.915","",""
"03:06","0.894","","0.895","",""
"03:07","0.828","","0.829","",""
"03:08","0.815","","0.815","","0"
"03:09","0.818","","0.818","",""
"03:10","0.827","","0.827","",""
"03:11","0.863","","0.863","",""
"03:12","0.845","","0.845","",""
"03:13","0.829","","0.829","",""
"03:14","0.938","","0.939","","0"
"03:15","0.902","","0.903","",""
"03:16","0.952","","0.952","",""
"03:17","0.931","","0.931","",""
"03:18","0.913","","0.913","",""
"03:19","0.965","","0.965","","0"
"03:20","1.338","","1.338","",""
"03:21","0.931","","0.931","",""
"03:22","0.88","","0.88","",""
"03:23","0.917","","0.917","",""
"03:24","0.893","","0.893","","0"
"03:25","0.917","","0.917","",""
"03:26","0.908","","0.908","",""
"03:27","0.908","","0.908","",""
"03:28","0.908","","0.908","",""
"03:29","1.019","","1.019","","0"
"03:30","0.939","","0.939","",""
"03:31","1.128","","1.128","",""
"03:32","0.991","","0.991","",""
"03:33","0.929","","0.929","",""
"03:34","0.938","","0.938","","0"
"03:35","0.949","","0.949","",""
"03:36","0.95","","0.95","",""
"03:37","1.006","","1.006","",""
"03:38","0.983","","0.983","",""
"03:39","0.951","","0.951","","0"
"03:40","0.975","","0.976","",""
"03:41","1.11","","1.111","",""
"03:42","1.058","","1.058","",""
"03:43","0.984","","0.985","",""
"03:44","0.961","","0.961","","0"
"03:45","1.392","","1.392","",""
"03:46","1.294","","1.294","",""
"03:47","1.494","","1.494","",""
"03:48","1.168","","1.168","",""
"03:49","1.115","","1.115","","0"
"03:50","1.152","","1.152","",""
"03:51","1.195","","1.196","",""
"03:52","1.056","","1.056","",""
"03:53","1.05","","1.05","",""
"03:54","1.102","","1.102","","0"
"03:55","1.365","","1.365","",""
"03:56","1.491","","1.491","",""
"03:57","1.154","","1.154","",""
"03:58","1.039","","1.04","",""
"03:59","1.024","","1.024","","0"
"04:00","1.045","","1.045","",""
"04:01","1.051","","1.051","",""
"04:02","1.071","","1.071","",""
"04:03","1.249","","1.249","",""
"04:04","1.185","","1.185","","0"
"04:05","1.051","","1.051","",""
"04:06","1.076","","1.077","",""
"04:07","1.201","","1.201","",""
"04:08","1.226","","1.226","",""
"04:09","1.096","","1.096","",""
"04:10","1.109","","1.109","",""
"04:11","1.548","","1.548","",""
"04:12","1.774","","1.774","",""
"04:13","1.088","","1.088","",""
"04:14","1.129","","1.129","",""
"04:15","1.107","","1.107","",""
"04:16","1.202","","1.202","",""
"04:17","1.113","","1.113","",""
"04:18","1.133","","1.133","",""
"04:19","1.15","","1.151","",""
"04:20","1.266","","1.266","",""
"04:21","1.138","","1.138","",""
"04:22","1.072","","1.072","",""
"04:23","1.193","","1.193","",""
"04:24","1.528","","1.529","",""
"04:25","1.252","","1.252","",""
"04:26","1.17","","1.17","",""
"04:27","1.244","","1.244","",""
"04:28","1.165","","1.166","",""
"04:29","1.093","","1.093","",""
"04:30","1.163","","1.163","",""
"04:31","1.102","","1.102","",""
"04:32","1.135","","1.135","",""
"04:33","1.238","","1.238","",""
"04:34","1.325","","1.326","",""
"04:35","1.07","","1.07","",""
"04:36","1.173","","1.173","",""
"04:37","1.139","","1.139","",""
"04:38","1.164","","1.164","",""
"04:39","1.2","","1.2","",""
"04:40","1.098","","1.099","",""
"04:41","1.364","","1.364","",""
"04:42","1.481","","1.481","",""
"04:43","1.07","","1.07","",""
"04:44","1.067","","1.067","",""
"04:45","1.141","","1.141","",""
"04:46","1.205","","1.205","",""
"04:47","1.163","","1.164","",""
"04:48","1.185","","1.186","",""
"04:49","1.219","","1.219","",""
"04:50","1.084","","1.084","",""
"04:51","1.077","","1.078","",""
