"Relative Time","acker:Pass","acker_showstopper:Pass","Action_Transaction:Pass","vuser_end_Transaction:Pass","vuser_init_Transaction:Pass"
"00:00","0","0","0","0","0"
"00:01","0","0","0","0","0"
"00:02","1","0","1","0","1"
"00:03","16","0","16","0","0"
"00:04","13","0","13","0","0"
"00:05","12","0","12","0","0"
"00:06","23","0","23","0","1"
"00:07","31","0","31","0","0"
"00:08","29","0","29","0","0"
"00:09","29","0","29","0","0"
"00:10","28","0","28","0","0"
"00:11","34","0","34","0","1"
"00:12","42","0","42","0","0"
"00:13","39","0","39","0","0"
"00:14","39","0","39","0","0"
"00:15","40","0","40","0","0"
"00:16","40","0","40","0","1"
"00:17","41","0","41","0","0"
"00:18","39","0","39","0","0"
"00:19","43","0","43","0","0"
"00:20","42","0","42","0","0"
"00:21","40","0","40","0","1"
"00:22","44","0","44","0","0"
"00:23","34","0","34","0","0"
"00:24","34","0","34","0","0"
"00:25","46","0","46","0","0"
"00:26","45","0","45","0","1"
"00:27","41","0","41","0","0"
"00:28","41","0","41","0","0"
"00:29","45","0","45","0","0"
"00:30","46","0","46","0","0"
"00:31","45","0","45","0","1"
"00:32","43","0","43","0","0"
"00:33","46","0","46","0","0"
"00:34","44","0","44","0","0"
"00:35","46","0","46","0","0"
"00:36","41","0","41","0","1"
"00:37","44","0","44","0","0"
"00:38","42","0","42","0","0"
"00:39","45","0","45","0","0"
"00:40","45","0","45","0","0"
"00:41","36","0","36","0","1"
"00:42","44","0","44","0","0"
"00:43","45","0","45","0","0"
"00:44","45","0","45","0","0"
"00:45","38","0","38","0","0"
"00:46","46","0","46","0","1"
"00:47","45","0","45","0","0"
"00:48","45","0","45","0","0"
"00:49","45","0","45","0","0"
"00:50","45","0","45","0","0"
"00:51","36","0","36","0","1"
"00:52","37","0","37","0","0"
"00:53","45","0","45","0","0"
"00:54","44","0","44","0","0"
"00:55","44","0","44","0","0"
"00:56","44","0","44","0","0"
"00:57","42","0","42","0","1"
"00:58","45","0","45","0","0"
"00:59","43","0","43","0","0"
"01:00","45","0","45","0","0"
"01:01","45","0","45","0","0"
"01:02","40","0","40","0","1"
"01:03","42","0","42","0","0"
"01:04","45","0","45","0","0"
"01:05","46","0","46","0","0"
"01:06","44","0","44","0","0"
"01:07","42","0","42","0","1"
"01:08","24","0","24","0","0"
"01:09","44","0","44","0","0"
"01:10","46","0","46","0","0"
"01:11","45","0","45","0","0"
"01:12","38","0","38","0","1"
"01:13","37","0","37","0","0"
"01:14","46","0","46","0","0"
"01:15","45","0","45","0","0"
"01:16","46","0","46","0","0"
"01:17","42","0","42","0","1"
"01:18","28","0","28","0","0"
"01:19","41","0","41","0","0"
"01:20","26","0","26","0","0"
"01:21","43","0","43","0","0"
"01:22","43","0","43","0","1"
"01:23","44","0","44","0","0"
"01:24","46","0","46","0","0"
"01:25","45","0","45","0","0"
"01:26","46","0","46","0","0"
"01:27","44","0","44","0","1"
"01:28","37","0","37","0","0"
"01:29","45","0","45","0","0"
"01:30","46","0","46","0","0"
"01:31","28","0","28","0","0"
"01:32","45","0","45","0","1"
"01:33","36","0","36","0","0"
"01:34","37","0","37","0","0"
"01:35","45","0","45","0","0"
"01:36","46","0","46","0","0"
"01:37","46","0","46","0","1"
"01:38","42","0","42","0","0"
"01:39","46","0","46","0","0"
"01:40","39","0","39","0","0"
