"Relative Time","Run"
"00:00","1"
"00:05","2"
"00:10","3"
"00:15","4"
"00:20","5"
"00:25","6"
"00:30","7"
"00:35","8"
"00:40","9"
"00:46","10"
"00:51","11"
"00:56","12"
"01:01","13"
"01:06","14"
"01:11","15"
"01:16","16"
"01:21","17"
"01:26","18"
"01:31","19"
"01:36","20"
"01:41","21"
"01:46","22"
"01:51","23"
"01:56","24"
"02:02","25"
"02:07","26"
"02:12","27"
"02:17","28"
"02:22","29"
"02:27","30"
"02:32","31"
"02:37","32"
"02:42","33"
"02:47","34"
"02:52","35"
"02:57","36"
"03:02","37"
"03:08","38"
"03:13","39"
"03:18","40"
"03:23","41"
"03:28","42"
"03:33","43"
"03:38","44"
"03:43","45"
"03:48","46"
"03:53","47"
"03:58","48"
"04:03","49"
"10:00","50"
"10:02","49"
"19:03","48"
"19:34","47"
"20:04","46"
"20:34","45"
"21:04","44"
"21:34","43"
"22:04","42"
"22:34","41"
"23:04","40"
"23:34","39"
"24:04","38"
"24:34","37"
"25:04","36"
"25:34","35"
"26:04","34"
"26:34","33"
"27:04","32"
"27:35","31"
"28:04","30"
"28:34","29"
"29:04","28"
"29:34","27"
"30:05","26"
"30:34","25"
"31:05","24"
"31:35","23"
"32:05","22"
"32:31","0"
"32:32","0"
