"Relative Time","acker:Pass","acker_showstopper:Fail"
"00:00","4","0"
"00:01","13","0"
"00:02","17","0"
"00:03","16","0"
"00:04","12","0"
"00:05","23","0"
"00:06","28","0"
"00:07","26","0"
"00:08","31","0"
"00:09","30","0"
"00:10","31","0"
"00:11","40","0"
"00:12","41","0"
"00:13","40","0"
"00:14","36","0"
"00:15","36","0"
"00:16","40","0"
"00:17","36","0"
"00:18","40","0"
"00:19","42","0"
"00:20","42","0"
"00:21","42","0"
"00:22","41","0"
"00:23","37","0"
"00:24","36","0"
"00:25","34","0"
"00:26","25","0"
"00:27","38","0"
"00:28","38","0"
"00:29","36","0"
"00:30","36","0"
"00:31","42","0"
"00:32","42","0"
"00:33","35","0"
"00:34","29","0"
"00:35","36","0"
"00:36","42","0"
"00:37","41","0"
"00:38","41","0"
"00:39","43","0"
"00:40","40","0"
"00:41","38","0"
"00:42","41","0"
"00:43","43","0"
"00:44","40","0"
"00:45","41","0"
"00:46","38","0"
"00:47","38","0"
"00:48","44","0"
"00:49","44","0"
"00:50","34","0"
"00:51","35","0"
"00:52","32","0"
"00:53","37","0"
"00:54","31","0"
"00:55","36","0"
"00:56","40","0"
"00:57","46","0"
"00:58","36","0"
"00:59","24","0"
"01:00","29","0"
"01:01","45","0"
"01:02","45","0"
"01:03","36","0"
"01:04","39","0"
"01:05","45","0"
"01:06","30","0"
"01:07","33","0"
"01:08","46","0"
"01:09","38","0"
"01:10","43","0"
"01:11","46","0"
"01:12","46","0"
"01:13","38","0"
"01:14","28","0"
"01:15","31","0"
"01:16","33","0"
"01:17","39","0"
"01:18","34","0"
"01:19","40","0"
"01:20","40","0"
"01:21","38","0"
"01:22","41","0"
"01:23","38","0"
"01:24","37","0"
"01:25","42","0"
"01:26","31","0"
"01:27","38","0"
"01:28","39","0"
"01:29","43","0"
"01:30","44","0"
"01:31","38","0"
"01:32","43","0"
"01:33","38","0"
"01:34","39","0"
"01:35","39","0"
"01:36","39","0"
"01:37","42","0"
"01:38","39","0"
"01:39","40","0"
"01:40","42","0"
"01:41","33","0"
"01:42","39","0"
"01:43","43","0"
"01:44","45","0"
"01:45","41","0"
"01:46","29","0"
"01:47","45","0"
"01:48","42","0"
"01:49","45","0"
"01:50","45","0"
"01:51","38","0"
"01:52","31","0"
"01:53","36","0"
"01:54","44","0"
"01:55","39","0"
"01:56","43","0"
"01:57","45","0"
"01:58","42","0"
"01:59","39","0"
"02:00","35","0"
"02:01","42","0"
"02:02","45","0"
"02:03","38","0"
"02:04","37","0"
"02:05","27","0"
"02:06","47","0"
"02:07","40","0"
"02:08","25","0"
"02:09","44","0"
"02:10","18","0"
"02:11","42","0"
"02:12","41","0"
"02:13","43","0"
"02:14","39","0"
"02:15","42","0"
"02:16","39","0"
"02:17","40","0"
"02:18","44","0"
"02:19","35","0"
"02:20","43","0"
"02:21","43","0"
"02:22","38","0"
"02:23","42","0"
"02:24","40","0"
"02:25","44","0"
"02:26","46","0"
"02:27","40","0"
"02:28","46","0"
"02:29","39","0"
"02:30","27","0"
"02:31","44","0"
"02:32","42","0"
"02:33","40","0"
"02:34","36","0"
"02:35","44","0"
"02:36","44","0"
"02:37","35","0"
"02:38","39","0"
"02:39","45","0"
"02:40","27","0"
"02:41","45","0"
"02:42","40","0"
"02:43","44","0"
