"Relative Time","acker"
"00:00","0.057"
"00:01","0.071"
"00:02","0.057"
"00:03","0.057"
"00:04","0.073"
"00:05","0.062"
"00:06","0.064"
"00:07","0.069"
"00:08","0.059"
"00:09","0.062"
"00:10","0.073"
"00:11","0.068"
"00:12","0.069"
"00:13","0.069"
"00:14","0.077"
"00:15","0.087"
"00:16","0.092"
"00:17","0.107"
"00:18","0.092"
"00:19","0.089"
"00:20","0.095"
"00:21","0.113"
"00:22","0.115"
"00:23","0.127"
"00:24","0.135"
"00:25","0.134"
"00:26","0.25"
"00:27","0.15"
"00:28","0.146"
"00:29","0.156"
"00:30","0.17"
"00:31","0.164"
"00:32","0.163"
"00:33","0.189"
"00:34","0.253"
"00:35","0.19"
"00:36","0.193"
"00:37","0.193"
"00:38","0.194"
"00:39","0.186"
"00:40","0.192"
"00:41","0.232"
"00:42","0.22"
"00:43","0.214"
"00:44","0.206"
"00:45","0.23"
"00:46","0.261"
"00:47","0.255"
"00:48","0.23"
"00:49","0.23"
"00:50","0.256"
"00:51","0.273"
"00:52","0.412"
"00:53","0.278"
"00:54","0.377"
"00:55","0.289"
"00:56","0.303"
"00:57","0.263"
"00:58","0.329"
"00:59","0.434"
"01:00","0.421"
"01:01","0.306"
"01:02","0.287"
"01:03","0.296"
"01:04","0.394"
"01:05","0.282"
"01:06","0.3"
"01:07","0.554"
"01:08","0.31"
"01:09","0.354"
"01:10","0.332"
"01:11","0.312"
"01:12","0.326"
"01:13","0.344"
"01:14","0.557"
"01:15","0.389"
"01:16","0.57"
"01:17","0.397"
"01:18","0.462"
"01:19","0.419"
"01:20","0.397"
"01:21","0.434"
"01:22","0.399"
"01:23","0.45"
"01:24","0.44"
"01:25","0.419"
"01:26","0.527"
"01:27","0.498"
"01:28","0.43"
"01:29","0.442"
"01:30","0.408"
"01:31","0.48"
"01:32","0.434"
"01:33","0.466"
"01:34","0.502"
"01:35","0.487"
"01:36","0.491"
"01:37","0.479"
"01:38","0.49"
"01:39","0.513"
"01:40","0.474"
"01:41","0.625"
"01:42","0.506"
"01:43","0.5"
"01:44","0.483"
"01:45","0.504"
"01:46","0.566"
"01:47","0.579"
"01:48","0.505"
"01:49","0.513"
"01:50","0.482"
"01:51","0.502"
"01:52","0.682"
"01:53","0.756"
"01:54","0.524"
"01:55","0.594"
"01:56","0.51"
"01:57","0.538"
"01:58","0.527"
"01:59","0.644"
"02:00","0.687"
"02:01","0.568"
"02:02","0.562"
"02:03","0.641"
"02:04","0.583"
"02:05","0.908"
"02:06","0.631"
"02:07","0.628"
"02:08","0.859"
"02:09","0.685"
"02:10","1.082"
"02:11","0.748"
"02:12","0.654"
"02:13","0.631"
"02:14","0.693"
"02:15","0.631"
"02:16","0.7"
"02:17","0.678"
"02:18","0.648"
"02:19","0.752"
"02:20","0.657"
"02:21","0.66"
"02:22","0.655"
"02:23","0.776"
"02:24","0.72"
"02:25","0.662"
"02:26","0.635"
"02:27","0.671"
"02:28","0.698"
"02:29","0.762"
"02:30","0.868"
"02:31","0.836"
"02:32","0.674"
"02:33","0.731"
"02:34","0.87"
"02:35","0.743"
"02:36","0.706"
"02:37","0.715"
"02:38","0.946"
"02:39","0.753"
"02:40","0.785"
"02:41","0.939"
"02:42","0.716"
"02:43","0.81"
"02:44","0.782"
"02:45","0.795"
"02:46","1.14"
"02:47","1.272"
"02:48","0.806"
"02:49","0.857"
"02:50","0.783"
"02:51","0.786"
"02:52","0.748"
"02:53","0.929"
"02:54","0.87"
"02:55","1.014"
"02:56","0.83"
"02:57","0.765"
"02:58","1.264"
"02:59","1.038"
"03:00","0.887"
"03:01","0.841"
"03:02","0.787"
"03:03","0.837"
"03:04","0.849"
"03:05","1.099"
"03:06","1.322"
"03:07","0.873"
"03:08","0.983"
"03:09","1.093"
"03:10","0.926"
"03:11","0.867"
"03:12","1.087"
"03:13","1.103"
"03:14","0.904"
"03:15","1.27"
"03:16","0.989"
"03:17","1.002"
"03:18","1.112"
"03:19","0.942"
"03:20","0.972"
"03:21","1.071"
"03:22","0.931"
"03:23","0.941"
"03:24","0.942"
"03:25","1.144"
"03:26","0.971"
"03:27","1.021"
"03:28","1.318"
"03:29","1.281"
"03:30","1.295"
"03:31","0.915"
"03:32","0.919"
"03:33","1.045"
"03:34","1.212"
"03:35","1.081"
"03:36","0.98"
"03:37","1.432"
"03:38","1.167"
"03:39","1.231"
"03:40","1.067"
"03:41","1.069"
"03:42","1.205"
"03:43","1.576"
"03:44","1.294"
"03:45","1.162"
"03:46","1.175"
"03:47","1.193"
"03:48","1.244"
"03:49","1.148"
"03:50","1.167"
"03:51","1.174"
"03:52","1.191"
"03:53","1.149"
"03:54","1.165"
"03:55","1.276"
"03:56","1.247"
"03:57","1.236"
"03:58","1.145"
"03:59","1.325"
"04:00","1.344"
"04:01","1.232"
"04:02","1.194"
"04:03","1.228"
"04:04","1.322"
"04:05","1.333"
"04:06","1.181"
"04:07","1.133"
"04:08","1.193"
"04:09","1.273"
"04:10","1.257"
"04:11","1.298"
"04:12","1.154"
"04:13","1.157"
"04:14","1.087"
"04:15","1.217"
"04:16","1.121"
"04:17","1.086"
"04:18","1.078"
"04:19","1.068"
"04:20","1.066"
"04:21","1.078"
"04:22","1.139"
"04:23","1.088"
"04:24","1.195"
"04:25","1.356"
"04:26","1.26"
