"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:01","","","","","","","","","79.286","","23.716","30","42.95"
"00:02","36.477","0","1.96","0.392","0.392","99.423","92.364","58.59","","0","","",""
"00:04","","","","","","","","","79.281","","23.716","30","42.95"
"00:05","36.46","0","1.39","0.263","0.263","99.718","96.273","32","","0","","",""
"00:07","","","","","","","","","79.317","","23.716","30","42.95"
"00:08","36.46","0","2.22","0.444","0.444","99.32","95.983","24.9","","0","","",""
"00:10","","","","","","","","","79.316","","23.716","30","42.95"
"00:11","36.464","0","1","0.199","0.199","99.773","94.992","42.36","","0","","",""
"00:13","","","","","","","","","79.303","","23.716","30","42.95"
"00:14","36.466","0","1.08","0.216","0.216","99.712","95.119","34.43","","0","","",""
"00:16","","","","","","","","","79.299","","23.716","30","42.95"
"00:17","36.463","0","0.53","0.106","0.106","99.901","95.707","29.58","","0","","",""
"00:19","","","","","","","","","79.298","","23.716","30","42.95"
"00:20","36.463","0","0.76","0.151","0.151","99.782","94.591","38.64","","0","","",""
"00:22","","","","","","","","","79.298","","23.716","30","42.95"
"00:23","36.469","0","1.16","0.232","0.232","99.8","95.906","34.46","","0","","",""
"00:25","","","","","","","","","79.292","","23.716","30","42.95"
"00:26","36.466","0","0.8","0.161","0.161","99.819","95.839","28.58","","0","","",""
"00:28","","","","","","","","","79.291","","23.716","30","42.95"
"00:29","36.467","0","0.71","0.141","0.141","99.862","95.444","29.96","","0","","",""
"00:31","","","","","","","","","79.288","","23.716","30","42.95"
"00:32","36.477","0","0.84","0.167","0.167","99.742","95.717","33.08","","0","","",""
"00:34","","","","","","","","","79.275","","23.716","30","42.95"
"00:35","36.477","0","0.99","0.165","0.165","99.796","95.397","33.09","","0","","",""
"00:37","","","","","","","","","79.274","","23.716","30","42.95"
"00:38","36.481","0","1.02","0.199","0.199","99.884","95.805","28.34","","0","","",""
"00:40","","","","","","","","","79.269","","23.716","30","42.95"
"00:41","36.482","2.7","1.15","0.231","0.203","99.726","95.274","33.86","","0","","",""
"00:43","","","","","","","","","79.268","","23.716","30","42.95"
"00:44","36.483","0","0.84","0.169","0.169","99.808","95.272","33.55","","0","","",""
"00:46","","","","","","","","","79.266","","23.716","30","42.95"
"00:47","36.475","0","0.81","0.162","0.162","99.832","95.318","35.39","","0","","",""
"00:49","","","","","","","","","79.271","","23.716","30","42.95"
"00:50","36.484","6.1","4.1","0.819","0.758","98.849","95.122","38.7","","0","","",""
"00:52","","","","","","","","","79.264","","23.716","30","42.95"
"00:53","36.487","0","0.86","0.172","0.172","99.947","96.109","24.97","","10","","",""
"00:55","","","","","","","","","79.26","","23.716","30","42.95"
"00:56","36.487","0","1.23","0.245","0.245","99.67","95.426","34.48","","0","","",""
"00:58","","","","","","","","","79.263","","23.716","30","42.95"
"00:59","36.491","1.9","1.27","0.255","0.236","99.82","94.921","37.9","","0","","",""
"01:01","","","","","","","","","79.252","","23.716","30","42.95"
"01:02","36.503","0","1.55","0.309","0.309","99.565","95.098","37.14","","0","","",""
"01:04","","","","","","","","","79.237","","23.716","30","42.95"
"01:05","36.501","3","1.54","0.303","0.273","99.695","95.758","27.82","","0","","",""
"01:07","","","","","","","","","79.238","","23.716","30","42.95"
"01:08","36.501","0.9","1.56","0.313","0.303","99.64","95.794","39.32","","0","","",""
"01:10","","","","","","","","","79.24","","23.716","30","42.95"
"01:11","36.503","0.8","1.45","0.291","0.282","99.655","95.12","36.56","","0","","",""
"01:13","","","","","","","","","79.238","","23.716","30","42.95"
"01:14","36.504","0","1.05","0.211","0.211","99.72","96.254","24.4","","0","","",""
"01:16","","","","","","","","","79.235","","23.716","30","42.95"
"01:17","36.506","0.6","1.17","0.234","0.229","99.713","95.064","32.83","","0","","",""
"01:19","","","","","","","","","79.233","","23.716","30","42.95"
"01:20","36.506","0","0.99","0.198","0.198","99.846","95.288","34.22","","0","","",""
"01:22","","","","","","","","","79.228","","23.716","30","42.95"
"01:23","36.505","0","1.33","0.267","0.267","99.714","95.696","31.11","","0","","",""
"01:25","","","","","","","","","79.227","","23.716","30","42.95"
"01:26","36.504","0","1.08","0.216","0.216","99.796","95.622","34.5","","0","","",""
"01:28","","","","","","","","","79.224","","23.716","30","42.95"
"01:29","36.506","0","0.89","0.178","0.178","99.735","95.693","30.46","","0","","",""
"01:31","","","","","","","","","79.224","","23.716","30","42.95"
"01:32","36.505","0","7.67","1.534","1.534","96.337","94.658","39.78","","0","","",""
"01:34","","","","","","","","","79.225","","23.716","30","42.95"
"01:35","36.509","0","1.31","0.229","0.229","99.733","95.615","32.78","","0","","",""
"01:37","","","","","","","","","79.223","","23.716","30","42.95"
"01:38","36.509","0","1.86","0.365","0.365","99.551","95.582","31.36","","0","","",""
"01:40","","","","","","","","","79.22","","23.716","30","42.95"
"01:41","36.512","0","1.18","0.236","0.236","99.718","95.289","32.82","","0","","",""
"01:43","","","","","","","","","79.21","","23.716","30","42.95"
"01:44","36.507","0","1.09","0.219","0.219","99.688","95.638","30.75","","0","","",""
"01:46","","","","","","","","","79.214","","23.716","30","42.95"
"01:47","36.505","1.8","3.57","0.715","0.697","99.493","95.382","33.35","","0","","",""
"01:49","","","","","","","","","79.215","","23.716","30","42.95"
