"Relative Time","Hits"
"00:00","0"
"00:01","111"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","97"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","175"
"00:12","0"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","162"
"00:17","0"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","193"
"00:22","0"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","137"
"00:27","0"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","136"
"00:32","0"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","118"
"00:37","0"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","104"
"00:42","26"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","118"
"00:47","0"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","44"
"00:52","84"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","60"
"00:57","60"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","0"
"01:02","126"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","0"
"01:07","119"
"01:08","0"
"01:09","0"
"01:10","0"
"01:11","0"
"01:12","128"
"01:13","0"
"01:14","0"
"01:15","0"
"01:16","0"
"01:17","75"
"01:18","45"
"01:19","0"
"01:20","0"
"01:21","0"
"01:22","70"
"01:23","56"
"01:24","0"
"01:25","0"
"01:26","0"
"01:27","0"
"01:28","117"
"01:29","0"
"01:30","0"
"01:31","0"
"01:32","0"
"01:33","130"
"01:34","0"
"01:35","0"
"01:36","0"
"01:37","0"
"01:38","96"
"01:39","24"
"01:40","0"
"01:41","0"
"01:42","0"
"01:43","55"
"01:44","66"
"01:45","0"
"01:46","0"
"01:47","0"
"01:48","44"
"01:49","77"
"01:50","0"
"01:51","0"
"01:52","0"
"01:53","32"
"01:54","90"
"01:55","0"
"01:56","0"
"01:57","0"
"01:58","20"
"01:59","70"
"02:00","30"
"02:01","0"
"02:02","0"
"02:03","20"
"02:04","89"
"02:05","19"
"02:06","0"
"02:07","0"
"02:08","9"
"02:09","45"
"02:10","45"
"02:11","18"
"02:12","0"
"02:13","0"
"02:14","36"
"02:15","81"
"02:16","9"
"02:17","0"
"02:18","0"
"02:19","45"
"02:20","54"
"02:21","27"
"02:22","0"
"02:23","0"
"02:24","17"
"02:25","56"
"02:26","48"
"02:27","0"
