"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","62911"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","54487"
"00:12","0"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","99404"
"00:17","0"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","92093"
"00:22","0"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","73568"
"00:27","34820"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","77528"
"00:32","0"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","57885"
"00:37","19105"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","67438"
"00:42","0"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","45519"
"00:47","29784"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","26974"
"00:52","40464"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","0"
"00:57","61818"
"00:58","11800"
"00:59","0"
"01:00","0"
"01:01","0"
"01:02","67999"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","0"
"01:07","30909"
"01:08","42149"
"01:09","0"
"01:10","0"
"01:11","0"
"01:12","38216"
"01:13","28661"
"01:14","0"
"01:15","0"
"01:16","0"
"01:17","17984"
"01:18","26975"
"01:19","26976"
"01:20","0"
"01:21","0"
"01:22","8430"
"01:23","42150"
"01:24","16860"
"01:25","0"
"01:26","0"
"01:27","7868"
"01:28","31472"
"01:29","15736"
"01:30","15736"
"01:31","0"
"01:32","0"
"01:33","31470"
"01:34","31472"
"01:35","7868"
"01:36","0"
"01:37","0"
"01:38","21918"
"01:39","29224"
"01:40","7306"
"01:41","14611"
"01:42","0"
"01:43","6744"
"01:44","26975"
"01:45","20232"
"01:46","13487"
"01:47","0"
"01:48","13487"
"01:49","13488"
"01:50","26975"
"01:51","6744"
"01:52","13488"
"01:53","13488"
"01:54","12926"
"01:55","18546"
"01:56","18545"
"01:57","6181"
"01:58","6181"
"01:59","12363"
"02:00","11240"
"02:01","16859"
"02:02","11240"
"02:03","16859"
"02:04","5620"
"02:05","11240"
"02:06","28100"
"02:07","11240"
"02:08","11240"
"02:09","5620"
"02:10","16860"
"02:11","16860"
"02:12","11240"
"02:13","11240"
"02:14","16860"
"02:15","16860"
"02:16","5619"
"02:17","22480"
"02:18","11240"
"02:19","16860"
"02:20","5620"
"02:21","11240"
"02:22","22479"
"02:23","11240"
"02:24","10678"
"02:25","20793"
"02:26","0"
"02:27","15173"
"02:28","10115"
"02:29","25290"
"02:30","9554"
"02:31","8991"
"02:32","4496"
"02:33","8992"
"02:34","19668"
"02:35","17983"
"02:36","13488"
"02:37","8992"
"02:38","13488"
"02:39","8992"
"02:40","26976"
"02:41","17984"
"02:42","4496"
"02:43","4496"
"02:44","8992"
"02:45","13488"
"02:46","26976"
"02:47","13488"
"02:48","4496"
"02:49","17984"
"02:50","8992"
"02:51","22480"
"02:52","17984"
"02:53","4496"
"02:54","8992"
"02:55","13488"
"02:56","8992"
"02:57","26976"
"02:58","13488"
"02:59","4496"
"03:00","17984"
"03:01","8992"
"03:02","17984"
"03:03","17984"
"03:04","17984"
"03:05","8992"
"03:06","4496"
"03:07","8992"
"03:08","13488"
"03:09","21356"
"03:10","17984"
"03:11","7867"
"03:12","7868"
"03:13","15736"
"03:14","7868"
"03:15","18546"
"03:16","15736"
"03:17","10116"
"03:18","3372"
"03:19","3372"
"03:20","13487"
"03:21","13488"
"03:22","13487"
"03:23","16860"
"03:24","13488"
"03:25","16860"
"03:26","6744"
"03:27","16860"
"03:28","20232"
"03:29","0"
"03:30","16860"
"03:31","10115"
"03:32","10116"
"03:33","20232"
"03:34","13488"
"03:35","16858"
"03:36","13488"
"03:37","10116"
"03:38","20232"
"03:39","10115"
"03:40","13488"
"03:41","13487"
"03:42","10116"
"03:43","13487"
"03:44","16859"
"03:45","10116"
"03:46","20232"
"03:47","13488"
"03:48","13488"
"03:49","13487"
"03:50","10116"
"03:51","10116"
"03:52","13488"
"03:53","13488"
"03:54","6744"
"03:55","20232"
"03:56","16860"
"03:57","13487"
"03:58","16859"
"03:59","6744"
"04:00","16860"
"04:01","16859"
"04:02","10116"
"04:03","13488"
"04:04","10116"
"04:05","10116"
"04:06","10116"
"04:07","20232"
"04:08","16859"
"04:09","10116"
"04:10","16860"
"04:11","13487"
"04:12","13488"
"04:13","16860"
"04:14","10115"
"04:15","3372"
"04:16","16860"
"04:17","10116"
"04:18","10116"
"04:19","20232"
"04:20","16860"
"04:21","10116"
"04:22","16860"
"04:23","13488"
"04:24","6744"
"04:25","20232"
"04:26","13487"
"04:27","10116"
"04:28","13488"
"04:29","10116"
"04:30","10116"
"04:31","13488"
"04:32","16859"
"04:33","13488"
"04:34","13488"
"04:35","16860"
"04:36","13488"
"04:37","13488"
"04:38","16859"
"04:39","10116"
"04:40","3372"
"04:41","16860"
"04:42","10116"
"04:43","10116"
"04:44","20232"
"04:45","13488"
"04:46","13488"
"04:47","13488"
"04:48","13488"
"04:49","10116"
"04:50","16858"
"04:51","16859"
"04:52","6744"
"04:53","16859"
"04:54","6744"
"04:55","13488"
"04:56","10116"
"04:57","20232"
"04:58","13488"
"04:59","13488"
"05:00","16860"
"05:01","13488"
"05:02","13487"
"05:03","16860"
"05:04","10116"
"05:05","3372"
"05:06","16860"
"05:07","13488"
"05:08","6744"
"05:09","20232"
"05:10","13488"
"05:11","13488"
"05:12","13488"
"05:13","13488"
"05:14","10116"
"05:15","16860"
"05:16","13487"
"05:17","10116"
"05:18","16860"
"05:19","6744"
"05:20","10116"
"05:21","13488"
"05:22","20230"
"05:23","10116"
"05:24","13488"
"05:25","20232"
"05:26","10115"
"05:27","10116"
"05:28","20232"
"05:29","13488"
"05:30","3372"
"05:31","13488"
"05:32","13488"
"05:33","10115"
"05:34","13488"
"05:35","16860"
"05:36","13488"
"05:37","13488"
"05:38","16860"
"05:39","10115"
"05:40","16860"
"05:41","13488"
"05:42","10116"
"05:43","6743"
"05:44","16860"
"05:45","10116"
"05:46","10116"
"05:47","20228"
"05:48","13488"
"05:49","13487"
"05:50","20232"
"05:51","10115"
"05:52","10116"
"05:53","23602"
"05:54","10116"
"05:55","6744"
"05:56","16860"
"05:57","10116"
"05:58","10116"
"05:59","16860"
"06:00","16860"
"06:01","10116"
"06:02","13486"
"06:03","13487"
"06:04","10116"
"06:05","20231"
"06:06","16860"
"06:07","6744"
"06:08","13487"
"06:09","13488"
"06:10","6744"
"06:11","10116"
"06:12","20232"
"06:13","10116"
"06:14","13488"
"06:15","20230"
"06:16","13488"
"06:17","6744"
"06:18","23604"
"06:19","10116"
"06:20","3372"
"06:21","16860"
"06:22","13488"
"06:23","6744"
"06:24","20232"
"06:25","13488"
"06:26","13487"
"06:27","13487"
"06:28","13488"
"06:29","10116"
"06:30","16860"
"06:31","16860"
"06:32","10116"
"06:33","10116"
"06:34","10116"
"06:35","10115"
"06:36","10116"
"06:37","20232"
"06:38","13488"
"06:39","10116"
"06:40","16860"
"06:41","16860"
"06:42","6744"
"06:43","20232"
"06:44","16860"
"06:45","3371"
"06:46","13488"
"06:47","13488"
"06:48","6744"
"06:49","13488"
"06:50","16860"
"06:51","13488"
"06:52","16860"
"06:53","13488"
"06:54","13488"
"06:55","16860"
"06:56","13488"
"06:57","10116"
"06:58","3372"
"06:59","20231"
"07:00","10116"
"07:01","6743"
"07:02","20232"
"07:03","16860"
"07:04","10116"
"07:05","13487"
"07:06","16859"
"07:07","6744"
"07:08","16860"
"07:09","20232"
"07:10","6744"
"07:11","13488"
"07:12","10116"
"07:13","10116"
"07:14","10116"
"07:15","20232"
"07:16","10116"
"07:17","13488"
"07:18","20232"
"07:19","13488"
"07:20","6743"
"07:21","23604"
"07:22","10115"
"07:23","3372"
"07:24","16860"
"07:25","13488"
"07:26","6744"
"07:27","20232"
"07:28","13488"
"07:29","10116"
"07:30","13488"
"07:31","16860"
"07:32","10116"
"07:33","16860"
"07:34","13488"
"07:35","13488"
"07:36","6744"
"07:37","13488"
"07:38","10116"
"07:39","6744"
"07:40","20232"
"07:41","16859"
"07:42","10116"
"07:43","13488"
"07:44","16860"
"07:45","6744"
"07:46","20230"
"07:47","20232"
"07:48","3372"
"07:49","13488"
"07:50","13488"
"07:51","6744"
"07:52","13488"
"07:53","16860"
"07:54","13488"
"07:55","13488"
"07:56","16860"
"07:57","13488"
"07:58","13488"
"07:59","16860"
"08:00","10115"
"08:01","3372"
"08:02","20232"
"08:03","10116"
"08:04","6744"
"08:05","20231"
"08:06","13488"
"08:07","10116"
"08:08","16860"
"08:09","16859"
"08:10","6744"
"08:11","16860"
"08:12","13488"
"08:13","13488"
"08:14","13488"
"08:15","6744"
"08:16","10116"
"08:17","10116"
"08:18","23603"
"08:19","10116"
"08:20","13487"
"08:21","20232"
"08:22","10116"
"08:23","10115"
"08:24","20231"
"08:25","13486"
"08:26","3372"
"08:27","16860"
"08:28","10116"
"08:29","10116"
"08:30","16860"
"08:31","13488"
"08:32","13488"
"08:33","13488"
"08:34","16860"
"08:35","10116"
"08:36","16860"
"08:37","13488"
"08:38","13488"
"08:39","6744"
"08:40","13488"
"08:41","10116"
"08:42","10116"
"08:43","20231"
"08:44","13488"
"08:45","10116"
"08:46","20232"
"08:47","10116"
"08:48","10116"
"08:49","16860"
"08:50","20232"
"08:51","3372"
"08:52","13485"
"08:53","13488"
"08:54","6744"
"08:55","10116"
"08:56","20230"
"08:57","13488"
"08:58","13488"
"08:59","16859"
"09:00","13488"
"09:01","6744"
"09:02","23603"
"09:03","10116"
"09:04","3372"
"09:05","16858"
"09:06","10116"
"09:07","10116"
"09:08","20232"
"09:09","13487"
"09:10","10116"
"09:11","16859"
"09:12","13488"
"09:13","13488"
"09:14","16859"
"09:15","20232"
"09:16","3372"
"09:17","13488"
"09:18","13488"
"09:19","10116"
"09:20","10116"
"09:21","16860"
"09:22","13488"
"09:23","16860"
"09:24","16860"
"09:25","10116"
"09:26","16860"
"09:27","13488"
"09:28","13488"
"09:29","0"
"09:30","20232"
"09:31","10116"
"09:32","6744"
"09:33","20232"
"09:34","13488"
"09:35","10116"
"09:36","16860"
"09:37","16860"
"09:38","6744"
"09:39","16860"
"09:40","13488"
"09:41","13488"
"09:42","10116"
"09:43","10116"
"09:44","10116"
"09:45","10116"
"09:46","20231"
"09:47","13487"
"09:48","10116"
"09:49","20232"
"09:50","13488"
"09:51","6744"
"09:52","20231"
"09:53","16860"
"09:54","3372"
"09:55","13488"
"09:56","13488"
"09:57","10116"
"09:58","8430"
"09:59","14050"
"10:00","9553"
"10:01","11240"
"10:02","6744"
"10:03","6744"
"10:04","4496"
"10:05","5620"
"10:06","3933"
"10:07","562"
"10:08","1686"
"10:09","0"
"10:10","0"
"10:11","0"
