"Relative Time","acker","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:01","0.073","0.074","","0"
"00:02","0.077","0.078","",""
"00:03","0.084","0.086","",""
"00:04","0.068","0.069","",""
"00:05","0.075","0.076","","0"
"00:06","0.094","0.095","",""
"00:07","0.092","0.094","",""
"00:08","0.094","0.096","",""
"00:09","0.089","0.091","",""
"00:10","0.091","0.092","",""
"00:11","0.102","0.103","","0"
"00:12","0.107","0.109","",""
"00:13","0.101","0.102","",""
"00:14","0.103","0.104","",""
"00:15","0.104","0.105","",""
"00:16","0.111","0.112","","0"
"00:17","0.114","0.115","",""
"00:18","0.111","0.113","",""
"00:19","0.111","0.111","",""
"00:20","0.114","0.116","",""
"00:21","0.124","0.126","","0"
"00:22","0.126","0.127","",""
"00:23","0.135","0.136","",""
"00:24","0.135","0.136","",""
"00:25","0.141","0.142","",""
"00:26","0.147","0.148","","0"
"00:27","0.168","0.17","",""
"00:28","0.167","0.168","",""
"00:29","0.154","0.155","",""
"00:30","0.219","0.219","",""
"00:31","0.243","0.244","","0"
"00:32","0.291","0.292","",""
"00:33","0.277","0.277","",""
"00:34","0.287","0.287","",""
"00:35","0.275","0.275","",""
"00:36","0.275","0.275","","0"
"00:37","0.323","0.324","",""
"00:38","0.325","0.325","",""
"00:39","0.322","0.323","",""
"00:40","0.323","0.323","",""
"00:41","0.331","0.331","","0"
"00:42","0.366","0.366","",""
"00:43","0.368","0.369","",""
"00:44","0.376","0.376","",""
"00:45","0.365","0.365","",""
"00:46","0.38","0.38","","0"
"00:47","0.412","0.413","",""
"00:48","0.416","0.417","",""
"00:49","0.401","0.401","",""
"00:50","0.415","0.416","",""
"00:51","0.412","0.412","","0"
"00:52","0.44","0.441","",""
"00:53","0.456","0.456","",""
"00:54","0.467","0.467","",""
"00:55","0.484","0.484","",""
"00:56","0.445","0.445","","0"
"00:57","0.478","0.478","",""
"00:58","0.493","0.493","",""
"00:59","0.492","0.492","",""
"01:00","0.504","0.504","",""
"01:01","0.513","0.513","","0"
"01:02","0.452","0.452","",""
"01:03","0.552","0.552","",""
"01:04","0.534","0.534","",""
"01:05","0.554","0.555","",""
"01:06","0.546","0.546","","0"
"01:07","0.59","0.59","",""
"01:08","0.568","0.569","",""
"01:09","0.605","0.605","",""
"01:10","0.597","0.598","",""
"01:11","0.603","0.603","","0"
"01:12","0.617","0.617","",""
"01:13","0.636","0.636","",""
"01:14","0.631","0.631","",""
"01:15","0.64","0.64","",""
"01:16","0.64","0.64","",""
"01:17","0.625","0.626","","0"
"01:18","0.675","0.675","",""
"01:19","0.68","0.68","",""
"01:20","0.683","0.684","",""
"01:21","0.663","0.664","",""
"01:22","0.684","0.685","","0"
"01:23","0.716","0.716","",""
"01:24","0.725","0.725","",""
"01:25","0.735","0.735","",""
"01:26","0.727","0.727","",""
"01:27","0.729","0.729","","0"
"01:28","0.754","0.754","",""
"01:29","0.782","0.783","",""
"01:30","0.758","0.758","",""
"01:31","0.777","0.777","",""
"01:32","0.769","0.769","","0"
"01:33","0.803","0.803","",""
"01:34","0.787","0.787","",""
"01:35","0.804","0.804","",""
"01:36","0.777","0.778","",""
"01:37","0.785","0.786","","0"
"01:38","0.825","0.826","",""
"01:39","0.834","0.834","",""
"01:40","0.836","0.837","",""
"01:41","0.858","0.859","",""
"01:42","0.839","0.839","","0"
"01:43","0.87","0.871","",""
"01:44","0.904","0.904","",""
"01:45","0.925","0.925","",""
"01:46","0.907","0.907","",""
"01:47","0.919","0.919","","0"
"01:48","0.919","0.919","",""
"01:49","0.921","0.922","",""
"01:50","0.867","0.867","",""
"01:51","0.918","0.918","",""
"01:52","0.994","0.994","","0"
"01:53","0.972","0.972","",""
"01:54","0.918","0.918","",""
"01:55","0.943","0.944","",""
"01:56","0.994","0.995","",""
"01:57","0.99","0.991","","0"
"01:58","1.002","1.002","",""
"01:59","1.033","1.033","",""
"02:00","1.057","1.057","",""
"02:01","1.027","1.028","",""
"02:02","1.025","1.026","","0"
"02:03","1.014","1.014","",""
"02:04","1.046","1.046","",""
"02:05","1.085","1.086","",""
"02:06","1.083","1.083","",""
"02:07","1.093","1.093","","0"
"02:08","1.067","1.067","",""
"02:09","1.081","1.081","",""
"02:10","1.09","1.09","",""
"02:11","1.108","1.109","",""
"02:12","1.1","1.1","","0"
"02:13","1.139","1.139","",""
"02:14","1.179","1.179","",""
"02:15","1.155","1.155","",""
"02:16","1.139","1.139","",""
"02:17","1.148","1.149","","0"
"02:18","1.125","1.125","",""
"02:19","1.158","1.159","",""
"02:20","1.187","1.187","",""
"02:21","1.162","1.162","",""
"02:22","1.218","1.218","",""
"02:23","1.207","1.207","","0"
"02:24","1.195","1.195","",""
"02:25","1.218","1.219","",""
"02:26","1.236","1.236","",""
"02:27","1.239","1.239","",""
"02:28","1.256","1.256","","0"
"02:29","1.24","1.241","",""
"02:30","1.277","1.278","",""
"02:31","1.259","1.259","",""
"02:32","1.244","1.244","",""
"02:33","1.251","1.251","","0"
"02:34","1.23","1.23","",""
"02:35","1.348","1.348","",""
"02:36","1.324","1.324","",""
"02:37","1.367","1.367","",""
"02:38","1.388","1.388","","0"
"02:39","1.354","1.354","",""
"02:40","1.391","1.391","",""
"02:41","1.36","1.36","",""
"02:42","1.386","1.386","",""
"02:43","1.374","1.374","","0"
"02:44","1.413","1.414","",""
"02:45","1.417","1.417","",""
"02:46","1.412","1.412","",""
"02:47","1.406","1.406","",""
"02:48","1.393","1.393","","0"
"02:49","1.412","1.412","",""
"02:50","1.432","1.433","",""
"02:51","1.439","1.439","",""
"02:52","1.47","1.47","",""
"02:53","1.46","1.46","","0"
"02:54","1.44","1.44","",""
"02:55","1.484","1.484","",""
"02:56","1.492","1.492","",""
"02:57","1.482","1.482","",""
"02:58","1.487","1.487","","0"
"02:59","1.513","1.514","",""
"03:00","1.579","1.579","",""
"03:01","1.588","1.588","",""
"03:02","1.568","1.568","",""
"03:03","1.595","1.595","","0"
"03:04","1.55","1.55","",""
"03:05","1.552","1.552","",""
