"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:00","35.122","","","","","","","","","","","",""
"00:01","","0.082","0.165","0.33","0.247","99.658","95.97","2.211","","0","","",""
"00:02","","","","","","","","","81857","","","",""
"00:03","","","","","","","","","","","2342912","3","4294967000"
"00:04","35.073","0.024","0.311","0.622","0.598","99.153","95.157","3.221","","0","","",""
"00:06","","","","","","","","","81950","","2342912","3","4294967000"
"00:07","34.245","0","0.155","0.31","0.31","99.563","96.567","2.193","","0","","",""
"00:09","34.216","","","","","","","","83185","","2342912","3","4294967000"
"00:10","","0.008","0.273","0.546","0.537","99.348","95.804","1.772","","0","","",""
"00:11","","","","","","","","","83189","","","",""
"00:12","","","","","","","","","","","2342912","3","4294967000"
"00:13","34.221","0","0.462","0.925","0.925","99.035","96.35","1.87","","0","","",""
"00:15","","","","","","","","","83190","","2342912","3","4294967000"
"00:16","34.223","0.072","0.212","0.424","0.352","99.476","96.02","2.286","","0","","",""
"00:18","","","","","","","","","83192","","2342912","3","4294967000"
"00:19","34.225","0.017","0.111","0.221","0.204","99.761","96.539","1.764","","0","","",""
"00:21","","","","","","","","","83191","","2342912","3","4294967000"
"00:22","34.227","0","0.146","0.292","0.292","99.539","94.817","2.772","","0","","",""
"00:24","","","","","","","","","83189","","2342912","3","4294967000"
"00:25","34.228","0","0.107","0.213","0.213","99.742","96.118","1.613","","0","","",""
"00:27","","","","","","","","","83180","","2342912","3","4294967000"
"00:28","34.232","0","0.073","0.147","0.147","99.82","96.379","1.875","","0","","",""
"00:30","","","","","","","","","83178","","2342912","3","4294967000"
"00:31","34.232","0.006","0.172","0.344","0.337","99.618","96.597","1.839","","0","","",""
"00:33","","","","","","","","","83180","","2342912","3","4294967000"
"00:34","34.237","0.041","0.106","0.193","0.152","99.79","97.22","1.583","","0","","",""
"00:36","","","","","","","","","83174","","2342912","3","4294967000"
"00:37","34.241","0.009","0.112","0.224","0.215","99.764","96.456","1.915","","0","","",""
"00:39","","","","","","","","","83166","","2342912","3","4294967000"
"00:40","34.239","0.012","0.117","0.234","0.222","99.715","96.162","2.542","","0","","",""
"00:42","","","","","","","","","83164","","2342912","3","4294967000"
"00:43","34.236","0.016","0.117","0.224","0.208","99.72","96.693","1.868","","0","","",""
"00:45","","","","","","","","","83168","","2342912","3","4294967000"
"00:46","34.237","0.023","0.22","0.436","0.413","99.479","96.706","1.458","","0","","",""
"00:48","","","","","","","","","83170","","2342912","3","4294967000"
"00:49","34.245","0.028","0.12","0.235","0.207","99.805","97.408","1.483","","0","","",""
"00:51","","","","","","","","","83156","","2342912","3","4294967000"
"00:52","34.246","0.008","0.094","0.189","0.18","99.784","96.357","2.249","","0","","",""
