"Relative Time","Run"
"00:00","0"
"00:01","1"
"00:06","2"
"00:11","3"
"00:16","4"
"00:21","5"
"00:26","6"
"00:31","7"
"00:36","8"
"00:41","9"
"00:46","10"
"00:51","11"
"00:56","12"
"01:01","13"
"01:06","14"
"01:11","15"
"01:17","16"
"01:22","17"
"01:27","18"
"01:32","19"
"01:37","20"
"01:42","21"
"01:47","22"
"01:52","23"
"01:57","24"
"02:02","25"
"02:07","26"
"02:12","27"
"02:17","28"
"02:23","29"
"02:28","30"
"02:33","31"
"02:38","32"
"02:43","33"
"02:48","34"
"02:53","35"
"02:58","36"
"03:03","37"
"03:08","38"
"03:13","39"
"03:18","40"
"03:23","41"
"03:29","42"
"03:34","43"
"03:39","44"
"03:44","45"
"03:49","46"
"03:54","47"
"03:59","48"
"04:04","49"
"05:01","50"
"07:01","49"
"10:04","41"
"10:05","17"
"10:06","0"
"10:07","0"
