"Relative Time","Hits"
"00:00","0"
"00:01","0"
"00:02","58"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","53"
"00:07","51"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","95"
"00:12","46"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","123"
"00:17","38"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","118"
"00:22","29"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","117"
"00:27","23"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","109"
"00:32","17"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","106"
"00:37","15"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","112"
"00:42","0"
"00:43","13"
"00:44","0"
"00:45","0"
"00:46","0"
"00:47","108"
"00:48","12"
"00:49","0"
"00:50","0"
"00:51","0"
"00:52","110"
"00:53","11"
"00:54","0"
"00:55","0"
"00:56","0"
"00:57","110"
"00:58","10"
"00:59","0"
"01:00","0"
"01:01","0"
"01:02","120"
"01:03","9"
"01:04","0"
"01:05","0"
"01:06","0"
"01:07","45"
"01:08","72"
"01:09","9"
"01:10","0"
"01:11","0"
"01:12","16"
"01:13","96"
"01:14","8"
"01:15","0"
"01:16","0"
"01:17","16"
"01:18","88"
"01:19","24"
"01:20","0"
"01:21","0"
"01:22","7"
"01:23","21"
"01:24","84"
"01:25","7"
"01:26","0"
"01:27","7"
"01:28","28"
"01:29","77"
"01:30","14"
"01:31","0"
"01:32","0"
"01:33","35"
"01:34","20"
"01:35","67"
"01:36","6"
"01:37","0"
"01:38","12"
"01:39","30"
"01:40","36"
"01:41","42"
"01:42","0"
"01:43","18"
"01:44","24"
"01:45","36"
"01:46","48"
"01:47","0"
"01:48","18"
"01:49","18"
"01:50","36"
"01:51","36"
"01:52","24"
"01:53","6"
"01:54","16"
"01:55","15"
"01:56","35"
"01:57","30"
"01:58","20"
"01:59","15"
"02:00","20"
"02:01","30"
"02:02","20"
"02:03","40"
"02:04","15"
"02:05","15"
"02:06","20"
"02:07","30"
"02:08","35"
"02:09","15"
"02:10","20"
"02:11","15"
"02:12","30"
"02:13","15"
"02:14","45"
"02:15","20"
"02:16","15"
"02:17","15"
"02:18","30"
"02:19","30"
"02:20","35"
"02:21","15"
"02:22","15"
"02:23","14"
"02:24","31"
"02:25","13"
"02:26","39"
"02:27","16"
"02:28","16"
"02:29","28"
"02:30","16"
"02:31","32"
"02:32","24"
"02:33","16"
"02:34","32"
"02:35","16"
"02:36","28"
"02:37","24"
"02:38","16"
"02:39","24"
"02:40","32"
"02:41","24"
"02:42","20"
"02:43","20"
"02:44","16"
"02:45","40"
"02:46","16"
"02:47","24"
"02:48","20"
"02:49","24"
"02:50","20"
"02:51","32"
"02:52","16"
"02:53","24"
"02:54","20"
"02:55","28"
"02:56","20"
"02:57","32"
"02:58","16"
"02:59","24"
"03:00","24"
"03:01","28"
"03:02","16"
"03:03","36"
"03:04","16"
"03:05","28"
"03:06","20"
"03:07","20"
"03:08","20"
"03:09","32"
"03:10","23"
"03:11","16"
"03:12","18"
"03:13","18"
"03:14","18"
"03:15","24"
"03:16","45"
"03:17","34"
"03:18","18"
"03:19","6"
"03:20","3"
"03:21","21"
"03:22","39"
"03:23","45"
"03:24","12"
"03:25","6"
"03:26","21"
"03:27","30"
"03:28","45"
"03:29","21"
"03:30","3"
"03:31","21"
"03:32","15"
"03:33","42"
"03:34","42"
"03:35","6"
"03:36","9"
"03:37","21"
"03:38","39"
"03:39","42"
"03:40","15"
"03:41","9"
"03:42","18"
"03:43","18"
"03:44","33"
"03:45","42"
"03:46","18"
"03:47","12"
"03:48","18"
"03:49","15"
"03:50","39"
"03:51","45"
"03:52","9"
"03:53","12"
"03:54","18"
"03:55","12"
"03:56","45"
"03:57","45"
"03:58","9"
"03:59","12"
"04:00","18"
"04:01","15"
"04:02","42"
"04:03","39"
"04:04","18"
"04:05","6"
"04:06","21"
"04:07","15"
"04:08","39"
"04:09","45"
"04:10","18"
"04:11","6"
"04:12","12"
"04:13","21"
"04:14","27"
"04:15","42"
"04:16","36"
"04:17","6"
"04:18","12"
"04:19","21"
"04:20","15"
"04:21","39"
"04:22","42"
"04:23","15"
"04:24","9"
"04:25","15"
"04:26","15"
"04:27","42"
"04:28","45"
"04:29","21"
"04:30","6"
"04:31","9"
"04:32","24"
"04:33","27"
"04:34","39"
"04:35","36"
"04:36","9"
"04:37","12"
"04:38","21"
"04:39","15"
"04:40","36"
"04:41","45"
"04:42","15"
"04:43","9"
"04:44","12"
"04:45","18"
"04:46","39"
"04:47","42"
"04:48","27"
"04:49","6"
"04:50","9"
"04:51","24"
"04:52","24"
"04:53","36"
"04:54","42"
"04:55","9"
"04:56","12"
"04:57","18"
"04:58","18"
"04:59","30"
"05:00","30"
"05:01","10"
"05:02","3"
"05:03","2"
"05:04","0"
"05:05","1"
"05:06","0"
"05:07","1"
"05:08","2"
"05:09","0"
"05:10","0"
"05:11","0"
"05:12","0"
"05:13","0"
"05:14","0"
"05:15","0"
"05:16","0"
"05:17","0"
"05:18","0"
"05:19","0"
"05:20","0"
"05:21","0"
"05:22","0"
"05:23","0"
"05:24","0"
"05:25","0"
"05:26","0"
"05:27","0"
"05:28","0"
"05:29","1"
"05:30","0"
"05:31","0"
"05:32","0"
"05:33","3"
"05:34","0"
"05:35","0"
"05:36","0"
"05:37","0"
"05:38","0"
"05:39","0"
"05:40","0"
"05:41","0"
"05:42","0"
"05:43","0"
"05:44","0"
"05:45","0"
"05:46","0"
"05:47","0"
"05:48","0"
"05:49","0"
"05:50","0"
"05:51","0"
"05:52","0"
"05:53","0"
"05:54","1"
"05:55","0"
"05:56","0"
"05:57","1"
"05:58","1"
"05:59","1"
"06:00","0"
"06:01","0"
"06:02","0"
"06:03","0"
"06:04","0"
"06:05","0"
"06:06","0"
"06:07","0"
"06:08","0"
"06:09","0"
"06:10","0"
"06:11","0"
"06:12","0"
"06:13","0"
"06:14","0"
"06:15","0"
"06:16","0"
"06:17","0"
"06:18","0"
"06:19","1"
"06:20","0"
"06:21","0"
"06:22","1"
"06:23","1"
"06:24","1"
"06:25","0"
"06:26","0"
"06:27","0"
"06:28","0"
"06:29","0"
"06:30","0"
"06:31","0"
"06:32","0"
"06:33","0"
"06:34","0"
"06:35","0"
"06:36","0"
"06:37","0"
"06:38","0"
"06:39","0"
"06:40","0"
"06:41","0"
"06:42","0"
"06:43","0"
"06:44","1"
"06:45","0"
"06:46","0"
"06:47","1"
"06:48","1"
"06:49","1"
"06:50","0"
"06:51","0"
"06:52","0"
"06:53","0"
"06:54","0"
"06:55","0"
"06:56","0"
"06:57","0"
"06:58","0"
"06:59","0"
"07:00","0"
"07:01","0"
"07:02","0"
"07:03","0"
"07:04","0"
"07:05","0"
"07:06","0"
"07:07","0"
"07:08","0"
"07:09","0"
"07:10","0"
"07:11","0"
"07:12","0"
"07:13","0"
"07:14","0"
"07:15","0"
"07:16","0"
"07:17","0"
"07:18","0"
"07:19","0"
"07:20","0"
"07:21","0"
"07:22","0"
"07:23","0"
"07:24","0"
"07:25","0"
"07:26","0"
"07:27","0"
"07:28","0"
"07:29","0"
"07:30","0"
"07:31","0"
"07:32","0"
"07:33","0"
"07:34","0"
"07:35","0"
"07:36","0"
"07:37","0"
"07:38","0"
"07:39","0"
"07:40","0"
"07:41","0"
"07:42","0"
"07:43","0"
"07:44","0"
"07:45","0"
"07:46","0"
"07:47","0"
"07:48","0"
"07:49","0"
"07:50","0"
"07:51","0"
"07:52","0"
"07:53","0"
"07:54","0"
"07:55","0"
"07:56","0"
"07:57","0"
"07:58","0"
"07:59","0"
"08:00","0"
"08:01","0"
"08:02","0"
"08:03","0"
"08:04","21"
"08:05","69"
"08:06","57"
"08:07","0"
"08:08","0"
"08:09","0"
"08:10","0"
"08:11","60"
"08:12","69"
"08:13","18"
"08:14","0"
"08:15","0"
"08:16","0"
"08:17","36"
"08:18","69"
"08:19","42"
"08:20","0"
"08:21","0"
"08:22","0"
"08:23","12"
"08:24","75"
"08:25","60"
"08:26","0"
"08:27","0"
"08:28","0"
"08:29","0"
"08:30","63"
"08:31","69"
"08:32","15"
"08:33","0"
"08:34","0"
"08:35","0"
"08:36","39"
"08:37","69"
"08:38","39"
"08:39","0"
"08:40","0"
"08:41","0"
"08:42","18"
"08:43","69"
"08:44","60"
"08:45","0"
"08:46","0"
"08:47","0"
"08:48","0"
"08:49","57"
"08:50","72"
"08:51","18"
"08:52","0"
"08:53","0"
"08:54","0"
"08:55","33"
"08:56","69"
"08:57","45"
"08:58","0"
"08:59","0"
"09:00","0"
"09:01","6"
"09:02","72"
"09:03","69"
"09:04","0"
"09:05","0"
"09:06","0"
"09:07","0"
"09:08","48"
"09:09","69"
"09:10","30"
"09:11","0"
"09:12","0"
"09:13","0"
"09:14","23"
"09:15","134"
"09:16","0"
"09:17","0"
"09:18","0"
"09:19","15"
"09:20","57"
"09:21","63"
"09:22","12"
"09:23","0"
"09:24","0"
"09:25","27"
"09:26","78"
"09:27","42"
"09:28","0"
"09:29","0"
"09:30","6"
"09:31","51"
"09:32","63"
"09:33","27"
"09:34","0"
"09:35","0"
"09:36","0"
"09:37","30"
"09:38","75"
"09:39","42"
"09:40","0"
"09:41","0"
"09:42","0"
"09:43","15"
"09:44","66"
"09:45","57"
"09:46","9"
"09:47","0"
"09:48","0"
"09:49","12"
"09:50","42"
"09:51","63"
"09:52","30"
"09:53","0"
"09:54","0"
"09:55","0"
"09:56","30"
"09:57","69"
"09:58","48"
"09:59","0"
"10:00","0"
"10:01","0"
"10:02","12"
"10:03","40"
"10:04","32"
"10:05","6"
"10:06","0"
"10:07","0"
