"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","0"
"00:07","32615"
"00:08","0"
"00:09","0"
"00:10","0"
"00:11","29778"
"00:12","28658"
"00:13","0"
"00:14","0"
"00:15","0"
"00:16","53358"
"00:17","25835"
"00:18","0"
"00:19","0"
"00:20","0"
"00:21","69073"
"00:22","21344"
"00:23","0"
"00:24","0"
"00:25","0"
"00:26","66306"
"00:27","16295"
"00:28","0"
"00:29","0"
"00:30","0"
"00:31","65747"
"00:32","12924"
"00:33","0"
"00:34","0"
"00:35","0"
"00:36","60691"
"00:37","9553"
"00:38","0"
"00:39","0"
"00:40","0"
"00:41","59572"
"00:42","8430"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","62943"
"00:47","0"
"00:48","7306"
"00:49","0"
"00:50","0"
"00:51","6744"
"00:52","53952"
"00:53","6744"
"00:54","0"
"00:55","0"
"00:56","6182"
"00:57","55636"
"00:58","6182"
"00:59","0"
"01:00","0"
"01:01","5620"
"01:02","56199"
"01:03","5619"
"01:04","0"
"01:05","0"
"01:06","5619"
"01:07","61818"
"01:08","5058"
"01:09","0"
"01:10","0"
"01:11","0"
"01:12","25290"
"01:13","40463"
"01:14","5058"
"01:15","0"
"01:16","0"
"01:17","8992"
"01:18","53950"
"01:19","4496"
"01:20","0"
"01:21","0"
"01:22","13488"
"01:23","40461"
"01:24","17984"
"01:25","0"
"01:26","0"
"01:27","3934"
"01:28","15736"
"01:29","43273"
"01:30","3934"
"01:31","0"
"01:32","3934"
"01:33","19670"
"01:34","39340"
"01:35","7868"
"01:36","0"
"01:37","0"
"01:38","19669"
"01:39","11240"
"01:40","38215"
"01:41","3372"
"01:42","0"
"01:43","6744"
"01:44","20231"
"01:45","13488"
"01:46","26975"
"01:47","0"
"01:48","10116"
"01:49","16859"
"01:50","13487"
"01:51","30347"
"01:52","0"
"01:53","10116"
"01:54","10116"
"01:55","23604"
"01:56","16860"
"01:57","13488"
"01:58","3372"
"01:59","8992"
"02:00","8430"
"02:01","19670"
"02:02","14050"
"02:03","14050"
"02:04","8430"
"02:05","11240"
"02:06","19670"
"02:07","2810"
"02:08","28100"
"02:09","8430"
"02:10","8430"
"02:11","14050"
"02:12","11240"
"02:13","22480"
"02:14","8430"
"02:15","8430"
"02:16","11240"
"02:17","19670"
"02:18","2810"
"02:19","28100"
"02:20","11240"
"02:21","8428"
"02:22","8430"
"02:23","16860"
"02:24","11240"
"02:25","25288"
"02:26","8430"
"02:27","8430"
"02:28","10678"
"02:29","15736"
"02:30","5058"
"02:31","24727"
"02:32","8992"
"02:33","8992"
"02:34","11240"
"02:35","11240"
"02:36","17984"
"02:37","15736"
"02:38","8992"
"02:39","15736"
"02:40","8992"
"02:41","15736"
"02:42","15736"
"02:43","8992"
"02:44","11240"
"02:45","15736"
"02:46","15736"
"02:47","11240"
"02:48","13488"
"02:49","8992"
"02:50","20232"
"02:51","8992"
"02:52","13488"
"02:53","11240"
"02:54","15736"
"02:55","11239"
"02:56","15736"
"02:57","8992"
"02:58","13488"
"02:59","11240"
"03:00","17984"
"03:01","11240"
"03:02","15736"
"03:03","8992"
"03:04","13487"
"03:05","13486"
"03:06","17983"
"03:07","8992"
"03:08","17982"
"03:09","8992"
"03:10","15736"
"03:11","11240"
"03:12","13488"
"03:13","11240"
"03:14","15736"
"03:15","11240"
"03:16","8992"
"03:17","12926"
"03:18","10678"
"03:19","12926"
"03:20","11239"
"03:21","25851"
"03:22","15735"
"03:23","10114"
"03:24","3372"
"03:25","6744"
"03:26","10116"
"03:27","16859"
"03:28","25289"
"03:29","8429"
"03:30","6744"
"03:31","11802"
"03:32","13488"
"03:33","23604"
"03:34","13488"
"03:35","3372"
"03:36","15174"
"03:37","6744"
"03:38","20232"
"03:39","23604"
"03:40","5058"
"03:41","8430"
"03:42","10116"
"03:43","16859"
"03:44","23604"
"03:45","10116"
"03:46","6744"
"03:47","13488"
"03:48","8430"
"03:49","13486"
"03:50","23604"
"03:51","11802"
"03:52","10116"
"03:53","10116"
"03:54","6744"
"03:55","20232"
"03:56","23604"
"03:57","6743"
"03:58","10116"
"03:59","10116"
"04:00","6744"
"04:01","21918"
"04:02","21918"
"04:03","8430"
"04:04","10115"
"04:05","10116"
"04:06","8430"
"04:07","18546"
"04:08","21918"
"04:09","10115"
"04:10","6744"
"04:11","15174"
"04:12","6744"
"04:13","16860"
"04:14","25290"
"04:15","11802"
"04:16","5058"
"04:17","10116"
"04:18","10116"
"04:19","11802"
"04:20","21918"
"04:21","21918"
"04:22","3372"
"04:23","10116"
"04:24","11802"
"04:25","8430"
"04:26","15174"
"04:27","25290"
"04:28","10115"
"04:29","6744"
"04:30","11802"
"04:31","6744"
"04:32","18546"
"04:33","25290"
"04:34","13488"
"04:35","5058"
"04:36","8430"
"04:37","11802"
"04:38","11801"
"04:39","20232"
"04:40","21918"
"04:41","5058"
"04:42","10116"
"04:43","11802"
"04:44","8430"
"04:45","15174"
"04:46","25290"
"04:47","10116"
"04:48","6744"
"04:49","10116"
"04:50","8430"
"04:51","16859"
"04:52","23603"
"04:53","15174"
"04:54","6744"
"04:55","6744"
"04:56","13488"
"04:57","8430"
"04:58","21918"
"04:59","21918"
"05:00","6744"
"05:01","8430"
"05:02","13487"
"05:03","8430"
"05:04","12363"
"05:05","16860"
"05:06","6182"
"05:07","2248"
"05:08","2248"
"05:09","0"
"05:10","562"
"05:11","0"
"05:12","562"
"05:13","1124"
"05:14","0"
"05:15","0"
"05:16","0"
"05:17","0"
"05:18","0"
"05:19","0"
"05:20","0"
"05:21","0"
"05:22","0"
"05:23","0"
"05:24","0"
"05:25","0"
"05:26","0"
"05:27","0"
"05:28","0"
"05:29","0"
"05:30","0"
"05:31","0"
"05:32","0"
"05:33","0"
"05:34","563"
"05:35","0"
"05:36","0"
"05:37","0"
"05:38","1689"
"05:39","0"
"05:40","0"
"05:41","0"
"05:42","0"
"05:43","0"
"05:44","0"
"05:45","0"
"05:46","0"
"05:47","0"
"05:48","0"
"05:49","0"
"05:50","0"
"05:51","0"
"05:52","0"
"05:53","0"
"05:54","0"
"05:55","0"
"05:56","0"
"05:57","0"
"05:58","0"
"05:59","563"
"06:00","0"
"06:01","0"
"06:02","563"
"06:03","563"
"06:04","563"
"06:05","0"
"06:06","0"
"06:07","0"
"06:08","0"
"06:09","0"
"06:10","0"
"06:11","0"
"06:12","0"
"06:13","0"
"06:14","0"
"06:15","0"
"06:16","0"
"06:17","0"
"06:18","0"
"06:19","0"
"06:20","0"
"06:21","0"
"06:22","0"
"06:23","0"
"06:24","563"
"06:25","0"
"06:26","0"
"06:27","563"
"06:28","563"
"06:29","563"
"06:30","0"
"06:31","0"
"06:32","0"
"06:33","0"
"06:34","0"
"06:35","0"
"06:36","0"
"06:37","0"
"06:38","0"
"06:39","0"
"06:40","0"
"06:41","0"
"06:42","0"
"06:43","0"
"06:44","0"
"06:45","0"
"06:46","0"
"06:47","0"
"06:48","0"
"06:49","563"
"06:50","0"
"06:51","0"
"06:52","563"
"06:53","563"
"06:54","563"
"06:55","0"
"06:56","0"
"06:57","0"
"06:58","0"
"06:59","0"
"07:00","0"
"07:01","0"
"07:02","0"
"07:03","0"
"07:04","0"
"07:05","0"
"07:06","0"
"07:07","0"
"07:08","0"
"07:09","0"
"07:10","0"
"07:11","0"
"07:12","0"
"07:13","0"
"07:14","0"
"07:15","0"
"07:16","0"
"07:17","0"
"07:18","0"
"07:19","0"
"07:20","0"
"07:21","0"
"07:22","0"
"07:23","0"
"07:24","0"
"07:25","0"
"07:26","0"
"07:27","0"
"07:28","0"
"07:29","0"
"07:30","0"
"07:31","0"
"07:32","0"
"07:33","0"
"07:34","0"
"07:35","0"
"07:36","0"
"07:37","0"
"07:38","0"
"07:39","0"
"07:40","0"
"07:41","0"
"07:42","0"
"07:43","0"
"07:44","0"
"07:45","0"
"07:46","0"
"07:47","0"
"07:48","0"
"07:49","0"
"07:50","0"
"07:51","0"
"07:52","0"
"07:53","0"
"07:54","0"
"07:55","0"
"07:56","0"
"07:57","0"
"07:58","0"
"07:59","0"
"08:00","0"
"08:01","0"
"08:02","0"
"08:03","0"
"08:04","0"
"08:05","0"
"08:06","0"
"08:07","0"
"08:08","0"
"08:09","10116"
"08:10","38778"
"08:11","33720"
"08:12","0"
"08:13","0"
"08:14","0"
"08:15","0"
"08:16","33720"
"08:17","38777"
"08:18","10115"
"08:19","0"
"08:20","0"
"08:21","0"
"08:22","20231"
"08:23","38777"
"08:24","23604"
"08:25","0"
"08:26","0"
"08:27","0"
"08:28","6744"
"08:29","42149"
"08:30","33720"
"08:31","0"
"08:32","0"
"08:33","0"
"08:34","0"
"08:35","35405"
"08:36","38778"
"08:37","8430"
"08:38","0"
"08:39","0"
"08:40","0"
"08:41","21918"
"08:42","38777"
"08:43","21918"
"08:44","0"
"08:45","0"
"08:46","0"
"08:47","10116"
"08:48","38778"
"08:49","33719"
"08:50","0"
"08:51","0"
"08:52","0"
"08:53","0"
"08:54","32033"
"08:55","38778"
"08:56","11802"
"08:57","0"
"08:58","0"
"08:59","0"
"09:00","18546"
"09:01","38778"
"09:02","25290"
"09:03","0"
"09:04","0"
"09:05","0"
"09:06","3372"
"09:07","40463"
"09:08","38778"
"09:09","0"
"09:10","0"
"09:11","0"
"09:12","0"
"09:13","25290"
"09:14","40464"
"09:15","16859"
"09:16","0"
"09:17","0"
"09:18","0"
"09:19","13487"
"09:20","75277"
"09:21","0"
"09:22","0"
"09:23","0"
"09:24","6744"
"09:25","32033"
"09:26","37092"
"09:27","6744"
"09:28","0"
"09:29","0"
"09:30","11802"
"09:31","45521"
"09:32","25290"
"09:33","0"
"09:34","0"
"09:35","3372"
"09:36","25290"
"09:37","37092"
"09:38","16860"
"09:39","0"
"09:40","0"
"09:41","0"
"09:42","15174"
"09:43","42150"
"09:44","25290"
"09:45","0"
"09:46","0"
"09:47","0"
"09:48","6744"
"09:49","35406"
"09:50","35406"
"09:51","5058"
"09:52","0"
"09:53","0"
"09:54","5058"
"09:55","23604"
"09:56","35406"
"09:57","18546"
"09:58","0"
"09:59","0"
"10:00","0"
"10:01","23042"
"10:02","64629"
"10:03","41587"
"10:04","0"
"10:05","0"
"10:06","3372"
"10:07","0"
