"Relative Time","acker"
"00:02","0.14"
"00:03","0.081"
"00:04","0.076"
"00:05","0.083"
"00:06","0.093"
"00:07","0.087"
"00:08","0.093"
"00:09","0.094"
"00:10","0.088"
"00:11","0.098"
"00:12","0.1"
"00:13","0.101"
"00:14","0.103"
"00:15","0.103"
"00:16","0.112"
"00:17","0.116"
"00:18","0.117"
"00:19","0.121"
"00:20","0.118"
"00:21","0.144"
"00:22","0.172"
"00:23","0.164"
"00:24","0.169"
"00:25","0.16"
"00:26","0.178"
"00:27","0.219"
"00:28","0.209"
"00:29","0.216"
"00:30","0.23"
"00:31","0.194"
"00:32","0.251"
"00:33","0.289"
"00:34","0.292"
"00:35","0.294"
"00:36","0.304"
"00:37","0.331"
"00:38","0.346"
"00:39","0.333"
"00:40","0.338"
"00:41","0.334"
"00:42","0.369"
"00:43","0.382"
"00:44","0.381"
"00:45","0.375"
"00:46","0.376"
"00:47","0.422"
"00:48","0.417"
"00:49","0.422"
"00:50","0.435"
"00:51","0.414"
"00:52","0.455"
"00:53","0.459"
"00:54","0.467"
"00:55","0.453"
"00:56","0.467"
"00:57","0.504"
"00:58","0.524"
"00:59","0.516"
"01:00","0.507"
"01:01","0.515"
"01:02","0.525"
"01:03","0.534"
"01:04","0.561"
"01:05","0.543"
"01:06","0.569"
"01:07","0.553"
"01:08","0.62"
"01:09","0.621"
"01:10","0.596"
"01:11","0.603"
"01:12","0.609"
"01:13","0.62"
"01:14","0.652"
"01:15","0.628"
"01:16","0.647"
"01:17","0.639"
"01:18","0.676"
"01:19","0.683"
"01:20","0.696"
"01:21","0.684"
"01:22","0.683"
"01:23","0.716"
"01:24","0.713"
"01:25","0.731"
"01:26","0.739"
"01:27","0.755"
"01:28","0.773"
"01:29","0.777"
"01:30","0.771"
"01:31","0.754"
"01:32","0.793"
"01:33","0.814"
"01:34","0.819"
"01:35","0.83"
"01:36","0.841"
"01:37","0.8"
"01:38","0.804"
"01:39","0.858"
"01:40","0.85"
"01:41","0.847"
"01:42","0.828"
"01:43","0.831"
"01:44","0.894"
"01:45","0.913"
"01:46","0.901"
"01:47","0.906"
"01:48","0.915"
"01:49","0.898"
"01:50","0.952"
"01:51","0.953"
"01:52","0.945"
"01:53","0.982"
"01:54","0.98"
"01:55","0.999"
"01:56","0.987"
"01:57","0.995"
"01:58","1.016"
"01:59","1.048"
"02:00","1.039"
"02:01","1.055"
"02:02","1.027"
"02:03","1.035"
"02:04","1.08"
"02:05","1.078"
"02:06","1.093"
"02:07","1.064"
"02:08","1.089"
"02:09","1.152"
"02:10","1.137"
"02:11","1.114"
"02:12","1.127"
"02:13","1.152"
"02:14","1.187"
"02:15","1.183"
"02:16","1.176"
"02:17","1.162"
"02:18","1.105"
"02:19","1.174"
"02:20","1.215"
"02:21","1.219"
"02:22","1.221"
"02:23","1.187"
"02:24","1.163"
"02:25","1.271"
"02:26","1.283"
"02:27","1.211"
"02:28","1.22"
"02:29","1.258"
"02:30","1.295"
"02:31","1.284"
"02:32","1.286"
"02:33","1.281"
"02:34","1.314"
"02:35","1.38"
"02:36","1.409"
"02:37","1.342"
"02:38","1.33"
"02:39","1.373"
"02:40","1.387"
"02:41","1.399"
"02:42","1.416"
"02:43","1.369"
"02:44","1.393"
"02:45","1.432"
"02:46","1.462"
"02:47","1.447"
"02:48","1.452"
"02:49","1.433"
"02:50","1.465"
"02:51","1.465"
"02:52","1.473"
"02:53","1.482"
"02:54","1.486"
"02:55","1.505"
"02:56","1.506"
"02:57","1.516"
"02:58","1.518"
"02:59","1.515"
"03:00","1.529"
"03:01","1.559"
"03:02","1.589"
"03:03","1.559"
"03:04","1.502"
"03:05","1.49"
"03:06","1.603"
"03:07","1.638"
"03:08","1.577"
"03:09","1.586"
"03:10","1.625"
"03:11","1.638"
"03:12","1.641"
"03:13","1.652"
"03:14","1.659"
"03:15","1.683"
"03:16","1.698"
"03:17","1.684"
"03:18","1.685"
"03:19","1.592"
"03:20","1.606"
"03:21","1.733"
"03:22","1.721"
"03:23","1.756"
"03:24","1.706"
"03:25","1.676"
"03:26","1.725"
"03:27","1.758"
"03:28","1.797"
"03:29","1.785"
"03:30","1.762"
"03:31","1.817"
"03:32","1.82"
"03:33","1.827"
"03:34","1.792"
"03:35","1.785"
"03:36","1.813"
"03:37","1.822"
"03:38","1.836"
"03:39","1.819"
"03:40","1.902"
"03:41","1.94"
"03:42","1.87"
"03:43","1.889"
"03:44","1.921"
"03:45","1.929"
"03:46","1.941"
"03:47","1.907"
"03:48","1.918"
"03:49","1.931"
"03:50","1.914"
"03:51","1.967"
"03:52","2.004"
"03:53","2.044"
"03:54","2.048"
"03:55","1.979"
"03:56","1.981"
"03:57","2.001"
"03:58","2.006"
"03:59","1.988"
"04:00","1.981"
"04:01","2.058"
"04:02","2.113"
"04:03","2.102"
"04:04","2.093"
"04:05","2.073"
"04:06","2.062"
"04:07","2.087"
"04:08","2.089"
"04:09","2.097"
"04:10","2.11"
"04:11","2.114"
"04:12","2.093"
"04:13","2.142"
"04:14","2.181"
"04:15","2.121"
"04:16","2.083"
"04:17","2.096"
"04:18","2.105"
"04:19","2.146"
"04:20","2.15"
"04:21","2.136"
"04:22","2.141"
"04:23","2.156"
"04:24","2.095"
"04:25","2.08"
"04:26","2.146"
"04:27","2.12"
"04:28","2.081"
"04:29","2.094"
"04:30","2.11"
"04:31","2.112"
"04:32","2.1"
"04:33","2.111"
"04:34","2.151"
"04:35","2.173"
"04:36","2.113"
"04:37","2.06"
"04:38","2.099"
"04:39","2.136"
"04:40","2.128"
"04:41","2.121"
"04:42","2.097"
"04:43","2.093"
"04:44","2.115"
"04:45","2.129"
"04:46","2.131"
"04:47","2.133"
"04:48","2.141"
"04:49","2.117"
"04:50","2.117"
"04:51","2.116"
"04:52","2.111"
"04:53","2.111"
"04:54","2.122"
"04:55","2.136"
"04:56","2.139"
"04:57","2.102"
"04:58","2.051"
"04:59","2.061"
"05:00","2.091"
"05:01","2.074"
"05:02","2.046"
"05:03","2.029"
"05:05","3.671"
"05:07","6.25"
"05:08","6.499"
"05:29","27.905"
"05:33","31.815"
"05:54","52.592"
"05:57","56.003"
"05:58","56.817"
"05:59","57.223"
"06:19","77.291"
"06:22","80.709"
"06:23","81.721"
"06:24","82.123"
"06:44","101.972"
"06:47","105.391"
"06:48","106.627"
"06:49","107.027"
"08:04","91.823"
"08:05","63.262"
"08:06","38.824"
"08:07","2.152"
"08:08","2.138"
"08:09","2.12"
"08:10","2.137"
"08:11","2.163"
"08:12","2.144"
"08:13","2.106"
"08:14","2.111"
"08:15","2.108"
"08:16","2.087"
"08:17","2.114"
"08:18","2.138"
"08:19","2.118"
"08:20","2.13"
"08:21","2.14"
"08:22","2.109"
"08:23","2.076"
"08:24","2.048"
"08:25","2.065"
"08:26","2.123"
"08:27","2.118"
"08:28","2.095"
"08:29","2.097"
"08:30","2.097"
"08:31","2.098"
"08:32","2.121"
"08:33","2.162"
"08:34","2.182"
"08:35","2.111"
"08:36","2.047"
"08:37","2.072"
"08:38","2.093"
"08:39","2.092"
"08:40","2.072"
"08:41","2.064"
"08:42","2.098"
"08:43","2.135"
"08:44","2.161"
"08:45","2.145"
"08:46","2.139"
"08:47","2.151"
"08:48","2.181"
"08:49","2.145"
"08:50","2.09"
"08:51","2.093"
"08:52","2.114"
"08:53","2.13"
"08:54","2.119"
"08:55","2.108"
"08:56","2.139"
"08:57","2.151"
"08:58","2.132"
"08:59","2.105"
"09:00","2.104"
"09:01","2.137"
"09:02","2.153"
"09:03","2.102"
"09:04","2.097"
"09:05","2.114"
"09:06","2.108"
"09:07","2.147"
"09:08","2.197"
"09:09","2.17"
"09:10","2.125"
"09:11","2.106"
"09:12","2.102"
"09:13","2.099"
"09:14","2.114"
"09:15","1.797"
"09:16","1.28"
"09:17","1.673"
"09:18","1.882"
"09:19","1.875"
"09:20","1.884"
"09:21","1.873"
"09:22","1.881"
"09:23","1.887"
"09:24","1.844"
"09:25","1.838"
"09:26","1.858"
"09:27","1.854"
"09:28","1.871"
"09:29","1.871"
"09:30","1.859"
"09:31","1.867"
"09:32","1.922"
"09:33","2.029"
"09:34","2.093"
"09:35","2.111"
"09:36","2.12"
"09:37","2.155"
"09:38","2.151"
"09:39","2.047"
"09:40","2.036"
"09:41","2.085"
"09:42","2.119"
"09:43","2.162"
"09:44","2.144"
"09:45","2.106"
"09:46","2.113"
"09:47","2.114"
"09:48","2.103"
"09:49","2.103"
"09:50","2.126"
"09:51","2.169"
"09:52","2.174"
"09:53","2.135"
"09:54","2.108"
"09:55","2.1"
"09:56","2.108"
"09:57","2.119"
"09:58","2.125"
"09:59","2.116"
"10:00","2.081"
"10:01","2.067"
"10:02","2.112"
"10:03","2.122"
"10:04","2.124"
"10:05","2.125"
"10:06","2.097"
