"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:01","","","","","","","","","103498","","2457600","6","4294967000"
"00:02","20.3","2.025","1.338","2.676","0.651","97.162","93.425","4.372","","0","","",""
"00:04","","","","","","","","","103512","","2457600","6","4294967000"
"00:05","20.117","0","0.233","0.466","0.466","99.286","95.689","4.106","","0","","",""
"00:07","","","","","","","","","103783","","2457600","6","4294967000"
"00:08","20.121","0","0.198","0.396","0.396","99.481","95.136","2.912","","0","","",""
"00:10","","","","","","","","","103785","","2457600","6","4294967000"
"00:11","20.121","0","0.164","0.328","0.328","99.663","93.279","4.915","","0","","",""
"00:13","","","","","","","","","103773","","2457600","6","4294967000"
"00:14","20.12","0","0.109","0.218","0.218","99.741","93.103","5.345","","0","","",""
"00:16","","","","","","","","","103769","","2457600","6","4294967000"
"00:17","20.122","0.012","0.127","0.254","0.242","99.697","92.313","5.447","","0","","",""
"00:19","","","","","","","","","103769","","2404352","4","4294967000"
"00:20","20.127","0","0.085","0.17","0.17","99.808","92.16","5.898","","0","","",""
"00:22","","","","","","","","","103754","","2404352","4","4294967000"
"00:23","20.132","0.015","0.101","0.203","0.188","99.756","91.957","6.067","","0","","",""
"00:25","","","","","","","","","103749","","2404352","4","4294967000"
"00:26","20.129","0","0.144","0.289","0.289","99.731","91.964","6.073","","0","","",""
"00:28","","","","","","","","","103751","","2404352","4","4294967000"
"00:29","20.131","0","0.113","0.226","0.226","99.711","91.683","5.893","","0","","",""
"00:31","","","","","","","","","103751","","2404352","4","4294967000"
"00:32","20.133","0","0.112","0.224","0.224","99.83","92.786","5.315","","0","","",""
"00:34","","","","","","","","","103749","","2404352","4","4294967000"
"00:35","20.136","0","0.128","0.255","0.255","99.724","92.596","5.913","","0","","",""
"00:37","","","","","","","","","103745","","2404352","4","4294967000"
"00:38","20.138","0","0.074","0.148","0.148","99.835","92.783","5.572","","0","","",""
"00:40","","","","","","","","","103739","","2404352","4","4294967000"
"00:41","20.138","0","0.152","0.303","0.303","99.686","92.667","5.612","","0","","",""
"00:43","","","","","","","","","103736","","2461696","6","4294967000"
"00:44","20.135","0","0.08","0.159","0.159","99.819","92.803","6.07","","0","","",""
"00:46","","","","","","","","","103735","","2461696","6","4294967000"
"00:47","20.138","0","0.137","0.275","0.275","99.74","92.839","5.801","","0","","",""
"00:49","","","","","","","","","103731","","2461696","6","4294967000"
"00:50","20.139","0","0.092","0.184","0.184","99.819","92.613","6.195","","0","","",""
"00:52","","","","","","","","","103729","","2461696","6","4294967000"
"00:53","20.141","0","0.094","0.189","0.189","99.677","92.874","5.189","","0","","",""
"00:55","","","","","","","","","103728","","2461696","6","4294967000"
"00:56","20.143","0","0.19","0.38","0.38","99.647","92.845","5.642","","0","","",""
"00:58","","","","","","","","","103728","","2461696","6","4294967000"
"00:59","20.142","0","0.089","0.178","0.178","99.869","93.079","4.895","","0","","",""
"01:01","","","","","","","","","103728","","2461696","6","4294967000"
"01:02","20.143","0","0.14","0.28","0.28","99.705","93.328","5.223","","0","","",""
"01:04","","","","","","","","","103727","","2461696","6","4294967000"
"01:05","20.148","0","0.097","0.195","0.195","99.781","93.592","4.596","","0","","",""
"01:07","","","","","","","","","103724","","2461696","6","4294967000"
"01:08","20.151","0","0.097","0.195","0.195","99.802","93.94","4.79","","0","","",""
"01:10","","","","","","","","","103719","","2461696","6","4294967000"
"01:11","20.149","0","0.13","0.26","0.26","99.703","93.565","4.749","","0","","",""
"01:13","","","","","","","","","103717","","2461696","6","4294967000"
"01:14","20.144","0","0.588","1.176","1.176","97.412","93.873","4.429","","0","","",""
"01:16","","","","","","","","","103721","","2461696","6","4294967000"
"01:17","20.144","0","0.201","0.402","0.402","99.45","93.472","4.994","","0","","",""
"01:19","","","","","","","","","103727","","2461696","6","4294967000"
"01:20","20.146","0","0.122","0.244","0.244","99.743","93.768","4.807","","0","","",""
"01:22","","","","","","","","","103720","","2461696","6","4294967000"
"01:23","20.15","0","0.137","0.274","0.274","99.729","93.812","4.528","","0","","",""
"01:25","","","","","","","","","103715","","2461696","6","4294967000"
"01:26","20.152","0","0.182","0.363","0.363","99.652","93.754","4.838","","0","","",""
"01:28","","","","","","","","","103715","","2461696","6","4294967000"
"01:29","20.157","0","0.082","0.164","0.164","99.834","93.863","5.103","","0","","",""
"01:31","","","","","","","","","103715","","2461696","6","4294967000"
"01:32","20.158","0","0.117","0.235","0.235","99.703","93.712","5.296","","0","","",""
"01:34","","","","","","","","","103713","","2461696","6","4294967000"
"01:35","20.161","0","0.134","0.268","0.268","99.725","93.811","4.732","","0","","",""
"01:37","","","","","","","","","103711","","2461696","6","4294967000"
"01:38","20.161","0","0.18","0.361","0.361","99.619","93.613","5.24","","0","","",""
"01:40","","","","","","","","","103710","","2461696","6","4294967000"
"01:41","20.162","0","0.342","0.244","0.244","99.793","93.507","4.742","","0","","",""
"01:43","","","","","","","","","103706","","2461696","6","4294967000"
"01:44","20.163","0","0.189","0.378","0.378","99.524","94.007","4.88","","0","","",""
"01:46","","","","","","","","","103701","","2461696","6","4294967000"
"01:47","20.166","0","0.147","0.274","0.274","99.659","93.358","5.064","","0","","",""
"01:49","","","","","","","","","103701","","2461696","6","4294967000"
"01:50","20.167","0","0.114","0.218","0.218","99.801","93.822","5.256","","0","","",""
"01:52","","","","","","","","","103696","","2461696","6","4294967000"
"01:53","20.168","0.018","0.172","0.344","0.326","99.633","93.837","3.771","","0","","",""
"01:55","","","","","","","","","103696","","2461696","6","4294967000"
"01:56","20.167","0","0.147","0.295","0.295","99.659","93.708","4.955","","0","","",""
"01:58","","","","","","","","","103696","","2461696","6","4294967000"
"01:59","20.168","0","0.109","0.218","0.218","99.787","93.895","4.906","","0","","",""
"02:01","","","","","","","","","103693","","2461696","6","4294967000"
"02:02","20.169","0","0.098","0.195","0.195","99.793","93.646","5.328","","0","","",""
"02:04","","","","","","","","","103692","","2461696","6","4294967000"
"02:05","20.172","0","0.123","0.246","0.246","99.729","93.879","4.665","","0","","",""
"02:07","","","","","","","","","103687","","2461696","6","4294967000"
"02:08","20.172","0","0.18","0.36","0.36","99.577","93.325","5.462","","0","","",""
"02:10","","","","","","","","","103686","","2461696","6","4294967000"
"02:11","20.181","0","0.162","0.241","0.241","99.802","93.725","4.694","","0","","",""
"02:13","","","","","","","","","103663","","2428928","5","4294967000"
"02:14","20.183","0","1.842","3.684","3.684","97.059","93.406","5.127","","0","","",""
"02:16","","","","","","","","","103659","","2428928","5","4294967000"
"02:17","20.182","0","0.064","0.115","0.115","99.85","93.426","4.956","","0","","",""
"02:19","","","","","","","","","103656","","2428928","5","4294967000"
"02:20","20.184","0","0.065","0.124","0.124","99.92","94.052","4.591","","0","","",""
"02:22","","","","","","","","","103657","","2428928","5","4294967000"
"02:23","20.185","0","0.168","0.332","0.332","99.642","93.632","5.129","","0","","",""
"02:25","","","","","","","","","103657","","2428928","5","4294967000"
"02:26","20.187","0","0.136","0.268","0.268","99.757","93.765","4.643","","0","","",""
"02:28","","","","","","","","","103656","","2428928","5","4294967000"
"02:29","20.188","0","0.112","0.224","0.224","99.752","93.776","5.021","","0","","",""
"02:31","","","","","","","","","103653","","2371584","3","4294967000"
"02:32","20.189","0","0.148","0.297","0.297","99.641","93.605","4.813","","0","","",""
"02:34","","","","","","","","","103652","","2371584","3","4294967000"
"02:35","20.191","0","0.15","0.3","0.3","99.694","93.946","4.653","","0","","",""
"02:37","","","","","","","","","103651","","2371584","3","4294967000"
"02:38","20.191","0.012","0.356","0.713","0.701","99.259","93.373","5.267","","0","","",""
"02:40","","","","","","","","","103649","","2371584","3","4294967000"
"02:41","20.194","0","0.081","0.161","0.161","99.851","93.796","4.63","","0","","",""
"02:43","","","","","","","","","103636","","2371584","3","4294967000"
"02:44","20.196","0","0.023","0.046","0.046","99.906","93.792","5.065","","0","","",""
"02:46","","","","","","","","","103638","","2371584","3","4294967000"
"02:47","20.197","0","0.025","0.045","0.045","99.948","93.659","4.943","","0","","",""
"02:49","","","","","","","","","103637","","2371584","3","4294967000"
