"Relative Time","Hits"
"00:00","0"
"00:01","60"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","23"
"00:06","17"
"00:07","13"
"00:08","25"
"00:09","24"
"00:10","28"
"00:11","27"
"00:12","27"
"00:13","27"
"00:14","24"
"00:15","27"
"00:16","28"
"00:17","28"
"00:18","48"
"00:19","54"
"00:20","45"
"00:21","50"
"00:22","45"
"00:23","40"
"00:24","42"
"00:25","52"
"00:26","52"
"00:27","61"
"00:28","48"
"00:29","48"
"00:30","55"
"00:31","42"
"00:32","42"
"00:33","42"
"00:34","42"
"00:35","49"
"00:36","40"
"00:37","56"
"00:38","49"
"00:39","54"
"00:40","50"
"00:41","54"
"00:42","54"
"00:43","45"
"00:44","55"
"00:45","46"
"00:46","91"
"00:47","69"
"00:48","38"
"00:49","30"
"00:50","35"
"00:51","36"
"00:52","22"
"00:53","55"
"00:54","55"
"00:55","44"
"00:56","47"
"00:57","36"
"00:58","48"
"00:59","48"
"01:00","44"
"01:01","42"
"01:02","52"
"01:03","40"
"01:04","54"
"01:05","39"
"01:06","42"
"01:07","56"
"01:08","56"
"01:09","51"
"01:10","42"
"01:11","59"
"01:12","46"
"01:13","46"
"01:14","49"
"01:15","60"
"01:16","46"
"01:17","51"
"01:18","53"
"01:19","58"
"01:20","63"
"01:21","52"
"01:22","55"
"01:23","65"
"01:24","57"
"01:25","48"
"01:26","0"
