"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","46980"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","46357"
"00:11","46881"
"00:12","0"
"00:13","0"
"00:14","0"
"00:15","65648"
"00:16","32078"
"00:17","0"
"00:18","0"
"00:19","0"
"00:20","111900"
"00:21","38792"
"00:22","0"
"00:23","0"
"00:24","0"
"00:25","138010"
"00:26","34316"
"00:27","0"
"00:28","0"
"00:29","0"
"00:30","164866"
"00:31","31332"
"00:32","0"
"00:33","0"
"00:34","0"
"00:35","143232"
"00:36","23126"
"00:37","0"
"00:38","0"
"00:39","0"
"00:40","96234"
"00:41","96234"
"00:42","0"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","193807"
"00:47","0"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","184619"
"00:52","0"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","164558"
"00:57","16486"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","141740"
"01:02","28348"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","149946"
"01:07","27602"
"01:08","0"
"01:09","0"
"01:10","0"
"01:11","71616"
"01:12","124582"
"01:13","0"
"01:14","0"
"01:15","0"
"01:16","76092"
"01:17","118614"
"01:18","0"
"01:19","0"
"01:20","0"
"01:21","46998"
"01:22","290194"
"01:23","19396"
"01:24","0"
"01:25","10444"
"01:26","0"
