"Relative Time","acker","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:01","0.078","0.079","","0"
"00:02","0.073","0.073","",""
"00:03","0.079","0.08","",""
"00:04","0.089","0.089","",""
"00:05","0.09","0.091","","0"
"00:06","0.076","0.077","",""
"00:07","0.086","0.087","",""
"00:10","","","","0"
"00:15","","","","0"
"00:20","","","","0"
"00:25","","","","0"
"00:30","","","","0"
"00:35","","","","0"
"00:41","","","","0"
"00:46","0.238","0.238","","0"
"00:47","0.246","0.247","",""
"00:48","0.287","0.287","",""
"00:49","0.328","0.329","",""
"00:50","0.249","0.249","",""
"00:51","0.331","0.332","","0"
"00:52","0.42","0.42","",""
"00:56","","","","0"
"01:01","","","","0"
"01:06","","","","0"
"01:11","","","","0"
"01:16","","","","0"
"01:21","","","","0"
"01:25","","","0",""
