"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:00","33.809","0","2.11","4.22","4.22","99.616","95.06","36.27","","0","","",""
"00:02","","","","","","","","","83.715","","23.429","30","42.95"
"00:03","33.771","0","1.63","3.26","3.26","99.557","95.407","29.64","","0","","",""
"00:05","","","","","","","","","83.752","","23.429","30","42.95"
"00:06","33.707","0.13","4.39","8.78","8.64","98.571","95.206","31.12","","0","","",""
"00:08","","","","","","","","","83.82","","23.429","30","42.95"
"00:09","33.728","0","1.34","2.68","2.68","99.766","94.551","39","","0","","",""
"00:11","","","","","","","","","83.784","","23.429","30","42.95"
"00:12","33.727","0.1","1.78","3.46","3.36","99.599","95.023","36.58","","0","","",""
"00:14","","","","","","","","","83.784","","23.429","30","42.95"
"00:15","33.738","0.05","3.61","7.22","7.17","98.007","93.533","46.91","","0","","",""
"00:17","","","","","","","","","83.764","","23.429","30","42.95"
"00:18","33.75","10.26","20.43","40.85","30.59","90.896","95.146","26.94","","0","","",""
"00:20","","","","","","","","","83.749","","23.429","30","42.95"
"00:21","33.774","0.41","10.87","21.74","21.32","92.703","95.382","33.02","","0","","",""
"00:23","","","","","","","","","83.71","","23.429","30","42.95"
"00:24","33.818","0.17","17.07","34.04","33.87","96.488","95.689","27.58","","0","","",""
"00:26","","","","","","","","","83.647","","23.429","30","42.95"
"00:27","33.822","0.7","2.35","4.65","3.95","99.608","96.337","24.97","","0","","",""
"00:29","","","","","","","","","83.632","","23.429","30","42.95"
"00:30","33.823","44.78","28.57","57.12","12.33","92.045","95.625","22.95","","0","","",""
"00:32","","","","","","","","","83.631","","23.429","30","42.95"
"00:33","33.834","0.39","13.59","27.15","26.77","91.402","96.159","16.55","","0","","",""
"00:35","","","","","","","","","83.497","","23.429","30","42.95"
"00:36","33.874","13.41","35.52","70.98","57.57","87.625","89.629","42.07","","0","","",""
"00:38","","","","","","","","","83.595","","23.429","30","42.95"
"00:39","34.194","15.28","20.56","41.11","25.83","91.253","88.752","51.92","","0","","",""
"00:41","","","","","","","","","83.324","","23.429","30","42.95"
"00:42","34.419","1.15","10.93","21.87","20.72","92.877","90.029","39.27","","0","","",""
"00:44","","","","","","","","","83.124","","23.429","30","42.95"
"00:45","34.474","0.48","5.07","10.14","9.66","97.216","90.003","54.12","","0","","",""
"00:47","","","","","","","","","83.03","","23.429","30","42.95"
"00:48","34.517","0","1.13","2.26","2.26","99.642","92.29","41.57","","0","","",""
"00:50","","","","","","","","","82.946","","23.429","30","42.95"
"00:51","34.521","0.85","15.31","30.63","29.78","92.832","91.112","36.44","","0","","",""
"00:53","","","","","","","","","82.954","","23.429","30","42.95"
"00:54","34.547","6.61","14.88","29.7","23.09","92.167","92.322","36.6","","0","","",""
"00:56","","","","","","","","","82.926","","23.429","30","42.95"
"00:57","34.083","0.08","10.44","20.87","20.79","92.863","95.258","26.7","","0","","",""
"00:59","","","","","","","","","83.253","","23.429","30","42.95"
"01:00","34.14","2.74","19.83","39.66","36.92","92.808","96.252","20.84","","0","","",""
"01:02","","","","","","","","","83.192","","23.429","30","42.95"
"01:03","34.155","0.22","10.11","20.22","20.01","94.209","96.243","20.03","","0","","",""
"01:05","","","","","","","","","83.133","","23.429","30","42.95"
"01:06","34.206","1.03","11.6","23.19","22.17","93.989","94.511","32.9","","0","","",""
"01:08","","","","","","","","","83.077","","23.429","30","42.95"
"01:09","34.285","0.59","10.17","20.33","19.75","94.67","96.218","21.28","","0","","",""
"01:11","","","","","","","","","82.973","","23.429","30","42.95"
"01:12","34.342","0.39","9.4","18.81","18.42","94.699","96.579","18.69","","0","","",""
"01:14","","","","","","","","","82.889","","23.429","30","42.95"
"01:15","34.413","0.11","6.79","13.59","13.48","95.298","96.213","19.87","","0","","",""
"01:17","","","","","","","","","82.777","","23.429","30","42.95"
"01:18","34.492","0","6.69","13.39","13.39","95.512","96.828","16.45","","0","","",""
"01:20","","","","","","","","","82.654","","23.429","30","42.95"
"01:21","34.548","0.09","","","","","","","","","","",""
"01:22","","","13.2","26.39","26.3","91.84","95.758","25.28","","0","","",""
"01:23","","","","","","","","","82.565","","","",""
"01:24","34.561","","","","","","","","","","23.429","30","42.95"
"01:25","","0","7.15","14.29","14.29","95.334","96.502","16.1","","0","","",""
"01:26","","","","","","","","","82.536","","","",""
