"Relative Time","Run"
"00:00","0"
"00:01","1"
"00:05","2"
"00:10","3"
"00:15","4"
"00:21","5"
"00:26","6"
"00:31","7"
"00:36","8"
"00:41","9"
"00:46","10"
"00:51","11"
"00:56","12"
"01:01","13"
"01:06","14"
"01:11","15"
"01:16","16"
"01:21","17"
"01:26","18"
"01:31","19"
"01:36","20"
"01:42","21"
"01:47","22"
"01:52","23"
"01:57","24"
"02:02","25"
"02:07","26"
"02:12","27"
"02:17","28"
"02:22","29"
"02:27","30"
"02:32","31"
"02:37","32"
"02:42","33"
"02:47","34"
"02:53","35"
"02:58","36"
"03:03","37"
"03:08","38"
"03:13","39"
"03:18","40"
"03:23","41"
"03:28","42"
"03:33","43"
"03:38","44"
"03:43","45"
"03:48","46"
"03:53","47"
"03:59","48"
"04:04","49"
"05:01","50"
"05:02","49"
"10:04","0"
"10:06","0"
