"Relative Time","Hits"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","56"
"00:04","0"
"00:05","35"
"00:06","0"
"00:07","0"
"00:08","9"
"00:09","12"
"00:10","28"
"00:11","27"
"00:12","24"
"00:13","27"
"00:14","27"
"00:15","24"
"00:16","28"
"00:17","32"
"00:18","28"
"00:19","28"
"00:20","44"
"00:21","40"
"00:22","53"
"00:23","42"
"00:24","45"
"00:25","40"
"00:26","47"
"00:27","42"
"00:28","48"
"00:29","51"
"00:30","36"
"00:31","48"
"00:32","49"
"00:33","42"
"00:34","50"
"00:35","41"
"00:36","47"
"00:37","48"
"00:38","40"
"00:39","48"
"00:40","40"
"00:41","41"
"00:42","39"
"00:43","45"
"00:44","45"
"00:45","45"
"00:46","39"
"00:47","40"
"00:48","55"
"00:49","90"
"00:50","36"
"00:51","11"
"00:52","12"
"00:53","5"
"00:54","22"
"00:55","44"
"00:56","46"
"00:57","48"
"00:58","48"
"00:59","36"
"01:00","48"
"01:01","38"
"01:02","39"
"01:03","53"
"01:04","39"
"01:05","42"
"01:06","51"
"01:07","42"
"01:08","56"
"01:09","42"
"01:10","42"
"01:11","63"
"01:12","55"
"01:13","45"
"01:14","47"
"01:15","60"
"01:16","46"
"01:17","48"
"01:18","49"
"01:19","46"
"01:20","50"
"01:21","49"
"01:22","46"
"01:23","56"
"01:24","52"
"01:25","45"
"01:26","45"
"01:27","50"
"01:28","54"
"01:29","71"
"01:30","41"
"01:31","72"
"01:32","58"
"01:33","38"
"01:34","88"
"01:35","47"
"01:36","38"
"01:37","12"
"01:38","12"
"01:39","21"
"01:40","36"
"01:41","60"
"01:42","42"
"01:43","65"
"01:44","43"
"01:45","42"
"01:46","64"
"01:47","44"
"01:48","45"
"01:49","44"
"01:50","45"
"01:51","57"
"01:52","45"
"01:53","49"
"01:54","68"
"01:55","27"
"01:56","42"
"01:57","70"
"01:58","49"
"01:59","48"
"02:00","50"
"02:01","48"
"02:02","49"
"02:03","50"
"02:04","50"
"02:05","75"
"02:06","50"
"02:07","51"
"02:08","31"
"02:09","52"
"02:10","52"
"02:11","58"
"02:12","54"
"02:13","54"
"02:14","54"
"02:15","54"
"02:16","54"
"02:17","28"
"02:18","60"
"02:19","31"
"02:20","76"
"02:21","48"
"02:22","48"
"02:23","18"
"02:24","8"
"02:25","26"
"02:26","30"
"02:27","59"
"02:28","60"
"02:29","30"
"02:30","60"
"02:31","30"
"02:32","58"
"02:33","33"
"02:34","58"
"02:35","35"
"02:36","47"
"02:37","62"
"02:38","66"
"02:39","64"
"02:40","32"
"02:41","64"
"02:42","33"
"02:43","67"
"02:44","33"
"02:45","66"
"02:46","65"
"02:47","34"
"02:48","34"
"02:49","68"
"02:50","34"
"02:51","70"
"02:52","34"
"02:53","70"
"02:54","35"
"02:55","36"
"02:56","70"
"02:57","35"
"02:58","36"
"02:59","71"
"03:00","37"
"03:01","37"
"03:02","37"
"03:03","74"
"03:04","37"
"03:05","71"
"03:06","68"
"03:07","35"
"03:08","39"
"03:09","27"
"03:10","20"
"03:11","8"
"03:12","32"
"03:13","77"
"03:14","39"
"03:15","77"
"03:16","40"
"03:17","39"
"03:18","39"
"03:19","53"
"03:20","40"
"03:21","42"
"03:22","69"
"03:23","50"
"03:24","42"
"03:25","41"
"03:26","47"
"03:27","77"
"03:28","41"
"03:29","43"
"03:30","43"
"03:31","47"
"03:32","61"
"03:33","61"
"03:34","35"
"03:35","43"
"03:36","54"
"03:37","51"
"03:38","60"
"03:39","44"
"03:40","44"
"03:41","44"
"03:42","89"
"03:43","45"
"03:44","46"
"03:45","46"
"03:46","45"
"03:47","45"
"03:48","45"
"03:49","46"
"03:50","54"
"03:51","52"
"03:52","48"
"03:53","45"
"03:54","40"
"03:55","43"
"03:56","31"
"03:57","17"
"03:58","42"
"03:59","48"
"04:00","45"
"04:01","31"
"04:02","48"
"04:03","66"
"04:04","36"
"04:05","76"
"04:06","49"
"04:07","43"
"04:08","42"
"04:09","38"
"04:10","49"
"04:11","69"
"04:12","48"
"04:13","51"
"04:14","49"
"04:15","51"
"04:16","52"
"04:17","83"
"04:18","18"
"04:19","95"
"04:20","12"
"04:21","84"
"04:22","53"
"04:23","50"
"04:24","49"
"04:25","49"
"04:26","5"
"04:27","93"
"04:28","50"
"04:29","47"
"04:30","52"
"04:31","50"
"04:32","50"
"04:33","50"
"04:34","50"
"04:35","55"
"04:36","51"
"04:37","49"
"04:38","56"
"04:39","48"
"04:40","48"
"04:41","32"
"04:42","18"
"04:43","39"
"04:44","44"
"04:45","50"
"04:46","51"
"04:47","50"
"04:48","49"
"04:49","49"
"04:50","51"
"04:51","50"
"04:52","49"
"04:53","49"
"04:54","49"
"04:55","50"
"04:56","51"
"04:57","65"
"04:58","33"
"04:59","89"
"05:00","9"
"05:01","50"
"05:02","60"
"05:03","40"
"05:04","51"
"05:05","52"
"05:06","49"
"05:07","49"
"05:08","50"
"05:09","49"
"05:10","50"
"05:11","49"
"05:12","49"
"05:13","49"
"05:14","49"
"05:15","50"
"05:16","49"
"05:17","49"
"05:18","50"
"05:19","49"
"05:20","50"
"05:21","61"
"05:22","45"
"05:23","49"
"05:24","50"
"05:25","46"
"05:26","52"
"05:27","59"
"05:28","26"
"05:29","9"
"05:30","44"
"05:31","48"
"05:32","50"
"05:33","49"
"05:34","48"
"05:35","50"
"05:36","50"
"05:37","49"
"05:38","50"
"05:39","51"
"05:40","52"
"05:41","49"
"05:42","53"
"05:43","50"
"05:44","50"
"05:45","49"
"05:46","50"
"05:47","50"
"05:48","49"
"05:49","49"
"05:50","51"
"05:51","50"
"05:52","50"
"05:53","50"
"05:54","50"
"05:55","50"
"05:56","51"
"05:57","50"
"05:58","50"
"05:59","50"
"06:00","50"
"06:01","98"
"06:02","49"
"06:03","49"
"06:04","49"
"06:05","49"
"06:06","49"
"06:07","54"
"06:08","50"
"06:09","53"
"06:10","53"
"06:11","44"
"06:12","57"
"06:13","48"
"06:14","23"
"06:15","14"
"06:16","45"
"06:17","51"
"06:18","102"
"06:19","49"
"06:20","45"
"06:21","61"
"06:22","49"
"06:23","49"
"06:24","55"
"06:25","50"
"06:26","49"
"06:27","49"
"06:28","49"
"06:29","49"
"06:30","50"
"06:31","52"
"06:32","49"
"06:33","71"
"06:34","78"
"06:35","49"
"06:36","19"
"06:37","80"
"06:38","62"
"06:39","49"
"06:40","47"
"06:41","90"
"06:42","49"
"06:43","49"
"06:44","50"
"06:45","49"
"06:46","99"
"06:47","50"
"06:48","0"
"06:49","50"
"06:50","98"
"06:51","49"
"06:52","47"
"06:53","52"
"06:54","53"
"06:55","47"
"06:56","50"
"06:57","62"
"06:58","49"
"06:59","51"
"07:00","38"
"07:01","42"
"07:02","48"
"07:03","49"
"07:04","50"
"07:05","52"
"07:06","48"
"07:07","51"
"07:08","49"
"07:09","50"
"07:10","52"
"07:11","50"
"07:12","56"
"07:13","91"
"07:14","49"
"07:15","49"
"07:16","51"
"07:17","49"
"07:18","87"
"07:19","60"
"07:20","49"
"07:21","49"
"07:22","49"
"07:23","49"
"07:24","55"
"07:25","50"
"07:26","91"
"07:27","49"
"07:28","49"
"07:29","56"
"07:30","69"
"07:31","51"
"07:32","49"
"07:33","50"
"07:34","48"
"07:35","49"
"07:36","98"
"07:37","49"
"07:38","55"
"07:39","50"
"07:40","50"
"07:41","51"
"07:42","53"
"07:43","48"
"07:44","88"
"07:45","15"
"07:46","39"
"07:47","45"
"07:48","46"
"07:49","49"
"07:50","49"
"07:51","50"
"07:52","49"
"07:53","49"
"07:54","50"
"07:55","50"
"07:56","49"
"07:57","97"
"07:58","7"
"07:59","96"
"08:00","49"
"08:01","49"
"08:02","49"
"08:03","54"
"08:04","49"
"08:05","49"
"08:06","49"
"08:07","49"
"08:08","49"
"08:09","49"
"08:10","49"
"08:11","49"
"08:12","49"
"08:13","65"
"08:14","99"
"08:15","49"
"08:16","52"
"08:17","50"
"08:18","49"
"08:19","59"
"08:20","51"
"08:21","49"
"08:22","50"
"08:23","41"
"08:24","52"
"08:25","54"
"08:26","46"
"08:27","23"
"08:28","38"
"08:29","46"
"08:30","50"
"08:31","50"
"08:32","40"
"08:33","5"
"08:34","45"
"08:35","49"
"08:36","49"
"08:37","49"
"08:38","55"
"08:39","49"
"08:40","49"
"08:41","49"
"08:42","50"
"08:43","49"
"08:44","49"
"08:45","50"
"08:46","51"
"08:47","49"
"08:48","49"
"08:49","49"
"08:50","49"
"08:51","50"
"08:52","50"
"08:53","68"
"08:54","79"
"08:55","53"
"08:56","49"
"08:57","49"
"08:58","49"
"08:59","51"
"09:00","49"
"09:01","49"
"09:02","62"
"09:03","85"
"09:04","59"
"09:05","49"
"09:06","49"
"09:07","49"
"09:08","69"
"09:09","38"
"09:10","44"
"09:11","64"
"09:12","57"
"09:13","49"
"09:14","51"
"09:15","45"
"09:16","48"
"09:17","52"
"09:18","36"
"09:19","47"
"09:20","5"
"09:21","49"
"09:22","58"
"09:23","78"
"09:24","63"
"09:25","49"
"09:26","52"
"09:27","49"
"09:28","49"
"09:29","49"
"09:30","50"
"09:31","50"
"09:32","49"
"09:33","49"
"09:34","49"
"09:35","49"
"09:36","49"
"09:37","50"
"09:38","49"
"09:39","50"
"09:40","50"
"09:41","49"
"09:42","49"
"09:43","50"
"09:44","49"
"09:45","50"
"09:46","49"
"09:47","50"
"09:48","53"
"09:49","97"
"09:50","49"
"09:51","49"
"09:52","50"
"09:53","51"
"09:54","52"
"09:55","53"
"09:56","47"
"09:57","52"
"09:58","53"
"09:59","54"
"10:00","54"
"10:01","79"
"10:02","8"
"10:03","55"
"10:04","86"
"10:05","0"
"10:06","0"
