"Relative Time","acker:Fail","acker:Pass","acker_showstopper:Fail"
"00:00","0","0","0"
"00:01","0","0","0"
"00:02","0","0","0"
"00:03","0","3","0"
"00:04","0","10","0"
"00:05","0","14","0"
"00:06","0","19","0"
"00:07","0","20","0"
"00:08","0","22","0"
"00:09","10","12","0"
"00:10","30","0","0"
"00:11","24","0","0"
"00:12","27","0","0"
"00:13","27","0","0"
"00:14","24","0","0"
"00:15","27","0","0"
"00:16","28","0","0"
"00:17","28","0","0"
"00:18","32","0","0"
"00:19","28","0","0"
"00:20","44","0","0"
"00:21","40","0","0"
"00:22","50","0","0"
"00:23","42","0","0"
"00:24","48","0","0"
"00:25","40","0","0"
"00:26","47","0","0"
"00:27","42","0","0"
"00:28","48","0","0"
"00:29","51","0","0"
"00:30","36","0","0"
"00:31","48","0","0"
"00:32","44","0","0"
"00:33","47","0","0"
"00:34","49","0","0"
"00:35","42","0","0"
"00:36","47","0","0"
"00:37","46","0","0"
"00:38","42","0","0"
"00:39","48","0","0"
"00:40","40","0","0"
"00:41","35","0","0"
"00:42","45","0","0"
"00:43","45","0","0"
"00:44","45","0","0"
"00:45","45","0","0"
"00:46","39","0","0"
"00:47","40","0","0"
"00:48","40","1","0"
"00:49","29","10","0"
"00:50","27","13","0"
"00:51","11","15","0"
"00:52","6","22","0"
"00:53","5","19","0"
"00:54","13","20","0"
"00:55","44","0","0"
"00:56","46","0","0"
"00:57","48","0","0"
"00:58","43","0","0"
"00:59","41","0","0"
"01:00","36","0","0"
"01:01","50","0","0"
"01:02","39","0","0"
"01:03","53","0","0"
"01:04","39","0","0"
"01:05","39","0","0"
"01:06","54","0","0"
"01:07","42","0","0"
"01:08","50","0","0"
"01:09","48","0","0"
"01:10","42","0","0"
"01:11","58","0","0"
"01:12","60","0","0"
"01:13","45","0","0"
"01:14","47","0","0"
"01:15","60","0","0"
"01:16","46","0","0"
"01:17","48","0","0"
"01:18","49","0","0"
"01:19","33","0","0"
"01:20","63","0","0"
"01:21","35","0","0"
"01:22","49","0","0"
"01:23","67","0","0"
"01:24","52","0","0"
"01:25","34","0","0"
"01:26","52","0","0"
"01:27","54","0","0"
"01:28","54","0","0"
"01:29","61","0","0"
"01:30","51","0","0"
"01:31","72","0","0"
"01:32","44","0","0"
"01:33","52","0","0"
"01:34","48","9","0"
"01:35","26","6","0"
"01:36","9","16","0"
"01:37","12","15","0"
"01:38","9","24","0"
"01:39","19","21","0"
"01:40","31","9","0"
"01:41","60","0","0"
"01:42","42","0","0"
"01:43","65","0","0"
"01:44","43","0","0"
"01:45","42","0","0"
"01:46","64","0","0"
"01:47","44","0","0"
"01:48","45","0","0"
"01:49","44","0","0"
"01:50","36","0","0"
"01:51","66","0","0"
"01:52","45","0","0"
"01:53","48","0","0"
"01:54","68","0","0"
"01:55","24","0","0"
"01:56","46","0","0"
"01:57","55","0","0"
"01:58","64","0","0"
"01:59","48","0","0"
"02:00","50","0","0"
"02:01","48","0","0"
"02:02","49","0","0"
"02:03","50","0","0"
"02:04","50","0","0"
"02:05","75","0","0"
"02:06","50","0","0"
"02:07","30","0","0"
"02:08","52","0","0"
"02:09","52","0","0"
"02:10","52","0","0"
"02:11","58","0","0"
"02:12","54","0","0"
"02:13","30","0","0"
"02:14","52","0","0"
"02:15","80","0","0"
"02:16","53","0","0"
"02:17","29","0","0"
"02:18","60","0","0"
"02:19","26","2","0"
"02:20","44","10","0"
"02:21","21","9","0"
"02:22","33","19","0"
"02:23","8","13","0"
"02:24","0","21","0"
"02:25","24","21","0"
"02:26","29","5","0"
"02:27","59","0","0"
"02:28","60","0","0"
"02:29","30","0","0"
"02:30","60","0","0"
"02:31","30","0","0"
"02:32","56","0","0"
"02:33","33","0","0"
"02:34","43","0","0"
"02:35","52","0","0"
"02:36","47","0","0"
"02:37","62","0","0"
"02:38","66","0","0"
"02:39","64","0","0"
"02:40","32","0","0"
"02:41","64","0","0"
"02:42","32","0","0"
"02:43","37","0","0"
"02:44","64","0","0"
"02:45","66","0","0"
"02:46","37","0","0"
"02:47","62","0","0"
"02:48","34","0","0"
"02:49","68","0","0"
"02:50","34","0","0"
"02:51","69","0","0"
"02:52","35","0","0"
"02:53","70","0","0"
"02:54","35","0","0"
"02:55","36","0","0"
"02:56","40","0","0"
"02:57","65","0","0"
"02:58","36","0","0"
"02:59","59","0","0"
"03:00","44","0","0"
"03:01","42","0","0"
"03:02","36","0","0"
"03:03","75","0","0"
"03:04","36","1","0"
"03:05","32","6","0"
"03:06","57","14","0"
"03:07","29","7","0"
"03:08","24","17","0"
"03:09","17","12","0"
"03:10","11","11","0"
"03:11","1","24","0"
"03:12","30","8","0"
"03:13","77","0","0"
"03:14","39","0","0"
"03:15","46","0","0"
"03:16","70","0","0"
"03:17","40","0","0"
"03:18","39","0","0"
"03:19","53","0","0"
"03:20","40","0","0"
"03:21","40","0","0"
"03:22","70","0","0"
"03:23","51","0","0"
"03:24","42","0","0"
"03:25","41","0","0"
"03:26","41","0","0"
"03:27","83","0","0"
"03:28","41","0","0"
"03:29","42","0","0"
"03:30","43","0","0"
"03:31","45","0","0"
"03:32","61","0","0"
"03:33","55","0","0"
"03:34","41","0","0"
"03:35","46","0","0"
"03:36","43","0","0"
"03:37","56","0","0"
"03:38","58","0","0"
"03:39","52","0","0"
"03:40","44","0","0"
"03:41","44","0","0"
"03:42","89","0","0"
"03:43","45","0","0"
"03:44","46","0","0"
"03:45","46","0","0"
"03:46","45","0","0"
"03:47","45","0","0"
"03:48","45","0","0"
"03:49","46","0","0"
"03:50","40","6","0"
"03:51","40","6","0"
"03:52","37","9","0"
"03:53","36","10","0"
"03:54","33","9","0"
"03:55","26","13","0"
