"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","0"
"00:07","0"
"00:08","43848"
"00:09","0"
"00:10","39341"
"00:11","0"
"00:12","0"
"00:13","41363"
"00:14","0"
"00:15","66394"
"00:16","0"
"00:17","0"
"00:18","29840"
"00:19","0"
"00:20","0"
"00:21","89520"
"00:22","0"
"00:23","0"
"00:24","34316"
"00:25","0"
"00:26","136796"
"00:27","0"
"00:28","0"
"00:29","30586"
"00:30","0"
"00:31","139970"
"00:32","0"
"00:33","0"
"00:34","26110"
"00:35","0"
"00:36","147708"
"00:37","0"
"00:38","0"
"00:39","22380"
"00:40","0"
"00:41","146216"
"00:42","0"
"00:43","0"
"00:44","18650"
"00:45","0"
"00:46","148264"
"00:47","0"
"00:48","0"
"00:49","17158"
"00:50","0"
"00:51","130395"
"00:52","0"
"00:53","0"
"00:54","12269"
"00:55","0"
"00:56","84397"
"00:57","36437"
"00:58","0"
"00:59","0"
"01:00","14174"
"01:01","99218"
"01:02","53712"
"01:03","0"
"01:04","0"
"01:05","12682"
"01:06","50728"
"01:07","102202"
"01:08","0"
"01:09","0"
"01:10","12682"
"01:11","65648"
"01:12","107424"
"01:13","0"
"01:14","0"
"01:15","14174"
"01:16","53712"
"01:17","127566"
"01:18","0"
"01:19","0"
"01:20","12682"
"01:21","33570"
"01:22","134280"
"01:23","0"
"01:24","0"
"01:25","11190"
"01:26","34316"
"01:27","155168"
"01:28","0"
"01:29","0"
"01:30","11936"
"01:31","0"
"01:32","108170"
"01:33","98472"
"01:34","0"
"01:35","0"
"01:36","10481"
"01:37","82874"
"01:38","60494"
"01:39","0"
"01:40","0"
"01:41","7608"
"01:42","40950"
"01:43","123097"
"01:44","0"
"01:45","0"
"01:46","8952"
"01:47","55204"
"01:48","127288"
"01:49","0"
"01:50","0"
"01:51","8952"
"01:52","60426"
"01:53","43268"
"01:54","78330"
"01:55","0"
"01:56","0"
"01:57","41776"
"01:58","66394"
"01:59","82060"
"02:00","0"
"02:01","0"
"02:02","49236"
"02:03","64902"
"02:04","75346"
"02:05","0"
"02:06","0"
"02:07","25364"
"02:08","84298"
"02:09","99218"
"02:10","0"
"02:11","0"
"02:12","14920"
"02:13","46998"
"02:14","69378"
"02:15","67886"
"02:16","0"
"02:17","7460"
"02:18","59680"
"02:19","67140"
"02:20","61246"
"02:21","0"
"02:22","0"
"02:23","35506"
"02:24","21184"
"02:25","79527"
"02:26","4587"
"02:27","4550"
"02:28","5296"
"02:29","42257"
"02:30","114976"
"02:31","20253"
"02:32","5968"
"02:33","11936"
"02:34","17904"
"02:35","76180"
"02:36","65648"
"02:37","6714"
"02:38","13428"
"02:39","20698"
"02:40","52878"
"02:41","77584"
"02:42","41776"
"02:43","25364"
"02:44","11380"
"02:45","23872"
"02:46","69188"
"02:47","66394"
"02:48","29840"
"02:49","5968"
"02:50","29840"
"02:51","59124"
"02:52","72362"
"02:53","11936"
"02:54","30586"
"02:55","5968"
"02:56","52220"
"02:57","26856"
"02:58","73108"
"02:59","20888"
"03:00","5222"
"03:01","57442"
"03:02","26110"
"03:03","67886"
"03:04","26856"
"03:05","10481"
"03:06","26856"
"03:07","31480"
"03:08","97498"
"03:09","9100"
"03:10","16671"
"03:11","22041"
"03:12","22787"
"03:13","41506"
"03:14","40913"
"03:15","26369"
"03:16","21036"
"03:17","20962"
"03:18","67330"
"03:19","20888"
"03:20","69378"
"03:21","18650"
"03:22","19396"
"03:23","26856"
"03:24","37300"
"03:25","44760"
"03:26","40372"
"03:27","38324"
"03:28","36554"
"03:29","40372"
"03:30","47642"
"03:31","19308"
"03:32","56506"
"03:33","8952"
"03:34","40196"
"03:35","58290"
"03:36","14174"
"03:37","53434"
"03:38","22380"
"03:39","23126"
"03:40","80846"
"03:41","19396"
"03:42","41776"
"03:43","34506"
"03:44","14174"
"03:45","62386"
"03:46","41030"
"03:47","49236"
"03:48","31332"
"03:49","17904"
"03:50","45543"
"03:51","58336"
"03:52","31480"
"03:53","17232"
"03:54","29988"
"03:55","15142"
"03:56","34686"
"03:57","46209"
"03:58","24668"
"03:59","36400"
"04:00","9063"
"04:01","30025"
"04:02","26369"
"04:03","66565"
"04:04","49514"
"04:05","13428"
"04:06","22380"
"04:07","12492"
"04:08","95678"
"04:09","23960"
"04:10","34126"
"04:11","24150"
"04:12","18372"
"04:13","57076"
"04:14","65194"
"04:15","44204"
"04:16","12404"
"04:17","32078"
"04:18","4944"
"04:19","99218"
"04:20","64156"
"04:21","13428"
"04:22","40284"
"04:23","0"
"04:24","76092"
"04:25","31332"
"04:26","70870"
"04:27","7460"
"04:28","26856"
"04:29","7460"
"04:30","94742"
"04:31","4476"
"04:32","82060"
"04:33","31332"
"04:34","8952"
"04:35","0"
"04:36","94964"
"04:37","77769"
"04:38","8989"
"04:39","30975"
"04:40","8280"
"04:41","0"
"04:42","73626"
"04:43","61277"
"04:44","6079"
"04:45","24895"
"04:46","3021"
"04:47","33940"
"04:48","69187"
"04:49","57516"
"04:50","29840"
"04:51","4476"
"04:52","31332"
"04:53","32078"
"04:54","117122"
"04:55","36554"
"04:56","0"
"04:57","4476"
"04:58","30118"
"04:59","31332"
"05:00","117122"
"05:01","35808"
"05:02","746"
"05:03","18372"
"05:04","42800"
"05:05","0"
"05:06","102202"
"05:07","27602"
"05:08","0"
"05:09","30308"
"05:10","26110"
"05:11","98472"
"05:12","29840"
"05:13","0"
"05:14","29840"
"05:15","26110"
"05:16","97726"
"05:17","33468"
"05:18","0"
"05:19","35808"
"05:20","32078"
"05:21","103842"
"05:22","18094"
"05:23","12098"
"05:24","0"
"05:25","30377"
"05:26","138296"
"05:27","17964"
"05:28","10504"
"05:29","0"
"05:30","26554"
"05:31","20183"
"05:32","107579"
"05:33","11973"
"05:34","3767"
"05:35","18409"
"05:36","37300"
"05:37","41980"
"05:38","76282"
"05:39","17904"
"05:40","22380"
"05:41","46998"
"05:42","0"
"05:43","138756"
"05:44","0"
"05:45","17904"
"05:46","23872"
"05:47","41674"
"05:48","0"
"05:49","114138"
"05:50","0"
"05:51","18650"
"05:52","49338"
"05:53","14920"
"05:54","113480"
"05:55","0"
"05:56","0"
"05:57","15666"
"05:58","58188"
"05:59","129132"
"06:00","0"
"06:01","0"
"06:02","17904"
"06:03","67140"
"06:04","63994"
"06:05","67140"
"06:06","0"
"06:07","17941"
"06:08","67325"
"06:09","56172"
"06:10","56172"
"06:11","0"
"06:12","0"
"06:13","14994"
"06:14","112751"
"06:15","56764"
"06:16","0"
"06:17","0"
"06:18","16597"
"06:19","61440"
"06:20","72954"
"06:21","73256"
"06:22","0"
"06:23","8952"
"06:24","35164"
"06:25","111154"
"06:26","58934"
"06:27","8206"
"06:28","0"
"06:29","17904"
"06:30","40284"
"06:31","94742"
"06:32","63410"
"06:33","4476"
"06:34","0"
"06:35","18650"
"06:36","41030"
"06:37","90062"
"06:38","68164"
"06:39","0"
"06:40","17904"
"06:41","5222"
"06:42","144914"
"06:43","72172"
"06:44","4944"
"06:45","0"
"06:46","19396"
"06:47","102962"
"06:48","49426"
"06:49","49236"
"06:50","4476"
"06:51","17904"
"06:52","96243"
"06:53","0"
"06:54","49347"
"06:55","53860"
"06:56","8952"
"06:57","29659"
"06:58","76869"
"06:59","46437"
"07:00","48675"
"07:01","4513"
"07:02","13335"
"07:03","31044"
"07:04","82336"
"07:05","35993"
"07:06","44945"
"07:07","4476"
"07:08","49894"
"07:09","38060"
"07:10","41776"
"07:11","26110"
"07:12","41776"
"07:13","4476"
"07:14","50728"
"07:15","89140"
"07:16","35808"
"07:17","45506"
"07:18","8952"
"07:19","49236"
"07:20","74980"
"07:21","45506"
"07:22","0"
"07:23","49236"
"07:24","49236"
"07:25","76370"
"07:26","45038"
"07:27","0"
"07:28","48768"
"07:29","23126"
"07:30","32824"
"07:31","133256"
"07:32","0"
"07:33","22102"
"07:34","44014"
"07:35","35808"
"07:36","76560"
"07:37","45506"
"07:38","0"
"07:39","22417"
"07:40","40395"
"07:41","112381"
"07:42","40506"
"07:43","4476"
"07:44","22380"
"07:45","41326"
"07:46","34612"
"07:47","72838"
"07:48","35038"
"07:49","18835"
"07:50","3767"
"07:51","46659"
"07:52","51251"
"07:53","85697"
"07:54","8952"
"07:55","22380"
"07:56","17904"
"07:57","44760"
"07:58","40284"
"07:59","88028"
"08:00","8952"
"08:01","22380"
"08:02","63410"
"08:03","0"
"08:04","129058"
"08:05","8952"
"08:06","22380"
"08:07","17904"
"08:08","41030"
"08:09","40284"
"08:10","78330"
"08:11","7460"
"08:12","18650"
"08:13","42420"
"08:14","17904"
"08:15","85790"
"08:16","55204"
"08:17","23872"
"08:18","47100"
"08:19","18182"
"08:20","72362"
"08:21","53888"
"08:22","21634"
"08:23","20888"
"08:24","24340"
"08:25","78626"
"08:26","20281"
"08:27","33792"
"08:28","14994"
"08:29","22880"
"08:30","78959"
"08:31","32226"
"08:32","19692"
"08:33","18835"
"08:34","14827"
"08:35","21147"
"08:36","60105"
"08:37","30136"
"08:38","0"
"08:39","53392"
"08:40","27602"
"08:41","75624"
"08:42","0"
"08:43","36554"
"08:44","63132"
"08:45","31332"
"08:46","91480"
"08:47","0"
"08:48","0"
"08:49","35808"
"08:50","63410"
"08:51","31332"
"08:52","90266"
"08:53","0"
"08:54","0"
"08:55","36554"
"08:56","63410"
"08:57","32078"
"08:58","90266"
"08:59","0"
"09:00","37300"
"09:01","63410"
"09:02","31332"
"09:03","91012"
"09:04","0"
"09:05","0"
"09:06","37578"
"09:07","67886"
"09:08","114884"
"09:09","9698"
"09:10","0"
"09:11","33213"
"09:12","52720"
"09:13","54119"
"09:14","56320"
"09:15","9063"
"09:16","28723"
"09:17","20772"
"09:18","60402"
"09:19","60346"
"09:20","14994"
"09:21","15105"
"09:22","29191"
"09:23","46168"
"09:24","66185"
"09:25","13539"
"09:26","17904"
"09:27","24618"
"09:28","88130"
"09:29","76560"
"09:30","13428"
"09:31","17904"
"09:32","14920"
"09:33","56696"
"09:34","26110"
"09:35","71616"
"09:36","17904"
"09:37","31332"
"09:38","67140"
"09:39","31332"
"09:40","0"
"09:41","73854"
"09:42","14920"
"09:43","26110"
"09:44","67140"
"09:45","31332"
"09:46","0"
"09:47","90266"
"09:48","32824"
"09:49","0"
"09:50","67886"
"09:51","31332"
"09:52","0"
"09:53","91012"
"09:54","31332"
"09:55","67061"
"09:56","30192"
"09:57","0"
"09:58","92202"
"09:59","30039"
"10:00","15893"
"10:01","121462"
"10:02","27078"
"10:03","0"
"10:04","139143"
"10:05","0"
"10:06","0"
