"Relative Time","acker"
"00:03","0.877"
"00:04","0.092"
"00:05","0.079"
"00:06","0.101"
"00:07","0.097"
"00:08","0.09"
"00:09","0.092"
"00:48","0.214"
"00:49","0.338"
"00:50","0.354"
"00:51","0.414"
"00:52","0.451"
"00:53","0.476"
"00:54","0.464"
"01:34","0.432"
"01:35","0.635"
"01:36","0.812"
"01:37","0.785"
"01:38","0.774"
"01:39","0.602"
"01:40","0.766"
"02:19","0.642"
"02:20","0.716"
"02:21","0.712"
"02:22","0.804"
"02:23","1.184"
"02:24","1.317"
"02:25","1.128"
"02:26","1.142"
"03:04","0.856"
"03:05","0.737"
"03:06","0.735"
"03:07","1.021"
"03:08","1.139"
"03:09","1.177"
"03:10","1.785"
"03:11","1.633"
"03:12","1.503"
"03:50","1.013"
"03:51","0.931"
"03:52","1.18"
"03:53","1.061"
"03:54","1.155"
"03:55","1.329"
"03:56","1.691"
"03:57","1.716"
"03:58","1.513"
"04:35","1.051"
"04:36","0.96"
"04:37","0.93"
"04:38","1.089"
"04:39","0.982"
"04:40","1.131"
"04:41","1.186"
"04:42","1.868"
"04:43","1.899"
"04:44","1.667"
"04:45","2.031"
"05:21","1.091"
"05:22","1.121"
"05:23","0.842"
"05:24","0.937"
"05:25","1.232"
"05:26","1.045"
"05:27","1.33"
"05:28","2.168"
"05:29","1.563"
"05:30","1.829"
"06:07","1.031"
"06:08","1.219"
"06:09","1.113"
"06:10","1.064"
"06:11","1.189"
"06:12","1.244"
"06:13","1.036"
"06:14","1.312"
"06:15","1.78"
"06:16","1.673"
"06:52","0.998"
"06:53","1.208"
"06:54","1.234"
"06:55","0.77"
"06:56","1.068"
"06:57","1.043"
"06:59","1.095"
"07:00","1.11"
"07:01","1.219"
"07:02","1.34"
"07:38","0.848"
"07:39","1.029"
"07:40","0.945"
"07:41","1.166"
"07:42","0.944"
"07:43","0.87"
"07:45","0.939"
"07:46","1.503"
"07:47","1.276"
"07:48","1.119"
"08:23","1.029"
"08:24","1.344"
"08:25","1.195"
"08:26","1.138"
"08:27","1.097"
"08:28","0.924"
"08:29","1.013"
"08:30","1.34"
"08:31","1.229"
"08:32","1.425"
"08:33","2.467"
"08:34","1.686"
"09:08","0.73"
"09:09","1.003"
"09:10","1.243"
"09:11","1.071"
"09:12","0.934"
"09:13","0.895"
"09:14","1.175"
"09:15","1.218"
"09:16","0.993"
"09:17","0.806"
"09:18","1"
"09:19","1.561"
"09:20","2.248"
"09:54","1.016"
"09:55","1.109"
"09:56","1.039"
"09:57","1.184"
"09:58","0.793"
"09:59","0.973"
"10:00","1.085"
"10:01","0.885"
"10:02","1.116"
"10:03","1.131"
"10:04","0.925"
