"Relative Time","Error -26608:Action.c(9) Error -26608 HTTP Status-Code=503 (Service Unavailable) for ""http//127.0.0.13838/?m=3&n=14""","Error -26608:Action.c(9) Error -26608 HTTP Status-Code=503 (Service Unavailable) for ""http//127.0.0.13838/?m=3&n=6"""
"00:00","0","0"
"00:01","0","0"
"00:02","0","0"
"00:03","0","0"
"00:04","0","0"
"00:05","0","0"
"00:06","0","0"
"00:07","0","0"
"00:08","0","0"
"00:09","0","10"
"00:10","0","30"
"00:11","0","24"
"00:12","0","27"
"00:13","0","27"
"00:14","0","24"
"00:15","0","27"
"00:16","0","28"
"00:17","0","28"
"00:18","0","32"
"00:19","0","28"
"00:20","0","44"
"00:21","0","40"
"00:22","0","50"
"00:23","0","42"
"00:24","0","48"
"00:25","0","40"
"00:26","0","47"
"00:27","0","42"
"00:28","0","48"
"00:29","0","51"
"00:30","0","36"
"00:31","0","48"
"00:32","0","44"
"00:33","0","47"
"00:34","0","49"
"00:35","0","42"
"00:36","0","47"
"00:37","0","46"
"00:38","0","42"
"00:39","0","48"
"00:40","0","40"
"00:41","0","35"
"00:42","0","45"
"00:43","0","45"
"00:44","0","45"
"00:45","0","45"
"00:46","0","39"
"00:47","0","40"
"00:48","0","40"
"00:49","0","29"
"00:50","0","27"
"00:51","0","11"
"00:52","0","6"
"00:53","0","5"
"00:54","0","13"
"00:55","0","44"
"00:56","0","46"
"00:57","0","48"
"00:58","0","44"
"00:59","0","40"
"01:00","0","37"
"01:01","0","49"
"01:02","0","39"
"01:03","0","53"
"01:04","0","39"
"01:05","0","39"
"01:06","0","54"
"01:07","0","42"
"01:08","0","53"
"01:09","0","45"
"01:10","0","42"
"01:11","0","58"
"01:12","0","60"
"01:13","0","45"
"01:14","0","47"
"01:15","0","60"
"01:16","0","46"
"01:17","0","48"
"01:18","0","49"
"01:19","0","33"
"01:20","0","63"
"01:21","0","35"
"01:22","0","49"
"01:23","0","67"
"01:24","0","52"
"01:25","0","34"
"01:26","0","52"
"01:27","0","54"
"01:28","0","54"
"01:29","0","61"
"01:30","0","51"
"01:31","0","72"
"01:32","0","45"
"01:33","0","51"
"01:34","0","48"
"01:35","0","26"
"01:36","0","9"
"01:37","0","12"
"01:38","0","9"
"01:39","0","19"
"01:40","0","31"
"01:41","0","60"
"01:42","0","42"
"01:43","0","65"
"01:44","0","43"
"01:45","0","42"
"01:46","0","64"
"01:47","0","44"
"01:48","0","45"
"01:49","0","44"
"01:50","0","36"
"01:51","0","66"
"01:52","0","45"
"01:53","0","48"
"01:54","0","69"
"01:55","0","23"
"01:56","0","46"
"01:57","0","55"
"01:58","0","64"
"01:59","0","48"
"02:00","0","50"
"02:01","0","48"
"02:02","0","49"
"02:03","0","50"
"02:04","0","50"
"02:05","0","75"
"02:06","0","50"
"02:07","0","30"
"02:08","0","52"
"02:09","0","52"
"02:10","0","52"
"02:11","0","58"
"02:12","0","54"
"02:13","0","31"
"02:14","0","51"
"02:15","0","80"
"02:16","0","53"
"02:17","0","29"
"02:18","0","60"
"02:19","0","26"
"02:20","0","44"
"02:21","0","21"
"02:22","0","33"
"02:23","0","8"
"02:24","0","0"
"02:25","0","24"
"02:26","0","29"
"02:27","0","59"
"02:28","0","60"
"02:29","0","30"
"02:30","0","60"
"02:31","0","30"
"02:32","0","56"
"02:33","0","33"
"02:34","0","43"
"02:35","0","52"
"02:36","0","47"
"02:37","0","62"
"02:38","0","66"
"02:39","0","64"
"02:40","0","32"
"02:41","0","64"
"02:42","0","32"
"02:43","0","38"
"02:44","0","63"
"02:45","0","66"
"02:46","0","39"
"02:47","0","60"
"02:48","0","34"
"02:49","0","68"
"02:50","0","34"
"02:51","0","69"
"02:52","0","35"
"02:53","0","70"
"02:54","0","35"
"02:55","0","36"
"02:56","0","43"
"02:57","0","62"
"02:58","0","36"
"02:59","0","59"
"03:00","0","44"
"03:01","0","42"
"03:02","0","36"
"03:03","0","75"
"03:04","0","36"
"03:05","0","32"
"03:06","0","57"
"03:07","0","29"
"03:08","0","24"
"03:09","0","17"
"03:10","0","11"
"03:11","0","1"
"03:12","0","30"
"03:13","0","77"
"03:14","0","39"
"03:15","0","46"
"03:16","0","70"
"03:17","0","40"
"03:18","0","39"
"03:19","0","53"
"03:20","0","40"
"03:21","0","40"
