"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:01","","","","","","","","","102780","","2371584","3","4294967000"
"00:02","20.958","4.754","2.615","5.229","0.475","94.455","92.286","5.83","","0","","",""
"00:04","","","","","","","","","102742","","2371584","3","4294967000"
"00:05","20.797","0","0.195","0.389","0.389","99.643","95.906","2.757","","0","","",""
"00:07","","","","","","","","","103001","","2371584","3","4294967000"
"00:08","20.804","0.026","0.255","0.509","0.483","99.357","94.543","3.699","","0","","",""
"00:10","","","","","","","","","102968","","2371584","3","4294967000"
"00:11","20.814","0","0.198","0.395","0.395","99.591","93.631","4.731","","0","","",""
"00:13","","","","","","","","","102946","","2371584","3","4294967000"
"00:14","20.818","0","0.214","0.428","0.428","99.515","93.547","5.158","","0","","",""
"00:16","","","","","","","","","102940","","2371584","3","4294967000"
"00:17","20.835","0","0.119","0.237","0.237","99.85","93.165","5.457","","0","","",""
"00:19","","","","","","","","","102916","","2371584","3","4294967000"
"00:20","20.835","0.013","2.107","4.214","4.201","89.019","92.305","5.913","","0","","",""
"00:22","","","","","","","","","102912","","2371584","3","4294967000"
"00:23","20.864","0.016","1.559","3.117","3.101","90.639","92.27","6.281","","0","","",""
"00:25","","","","","","","","","102870","","2371584","3","4294967000"
"00:26","20.89","0","1.118","2.236","2.236","93.833","92.697","5.296","","0","","",""
"00:28","","","","","","","","","102830","","2371584","3","4294967000"
"00:29","20.929","0","0.172","0.344","0.344","99.666","95.096","3.061","","0","","",""
"00:31","","","","","","","","","102769","","2371584","3","4294967000"
"00:32","20.931","0","0.119","0.237","0.237","99.87","95.492","3.263","","0","","",""
"00:34","","","","","","","","","102764","","2371584","3","4294967000"
"00:35","20.931","0","1.761","3.522","3.522","89.76","91.908","5.889","","0","","",""
"00:37","","","","","","","","","102765","","2371584","3","4294967000"
"00:38","20.956","0.013","1.624","3.248","3.236","91.365","92.83","5.586","","0","","",""
"00:40","","","","","","","","","102732","","2371584","3","4294967000"
"00:41","20.978","0","2.739","5.478","5.478","89.468","95.215","3.092","","0","","",""
"00:43","","","","","","","","","102699","","2371584","3","4294967000"
"00:44","21.023","0","1.878","3.755","3.755","92.183","93.847","5.034","","0","","",""
"00:46","","","","","","","","","102645","","2371584","3","4294967000"
"00:47","21.072","0","1.354","2.708","2.708","93.373","94.49","3.789","","0","","",""
"00:49","","","","","","","","","102555","","2371584","3","4294967000"
"00:50","21.118","0","0.218","0.435","0.435","99.333","96.916","1.263","","0","","",""
"00:52","","","","","","","","","102487","","2371584","3","4294967000"
"00:53","21.118","0","0.078","0.133","0.133","99.878","97.134","1.392","","0","","",""
"00:55","","","","","","","","","102485","","2371584","3","4294967000"
"00:56","21.114","0","0.15","0.296","0.296","99.762","96.14","2.194","","0","","",""
"00:58","","","","","","","","","102495","","2371584","3","4294967000"
"00:59","21.119","0","1.663","3.312","3.312","93.259","95.154","2.993","","0","","",""
"01:01","","","","","","","","","102488","","2371584","3","4294967000"
"01:02","21.138","0","1.915","3.831","3.831","91.8","93.318","4.193","","0","","",""
"01:04","","","","","","","","","102468","","2371584","3","4294967000"
"01:05","21.157","0","1.269","2.536","2.536","92.847","94.587","3.637","","0","","",""
"01:07","","","","","","","","","102430","","2371584","3","4294967000"
"01:08","21.198","0","2.523","5.046","5.046","92.171","93.743","4.84","","0","","",""
"01:10","","","","","","","","","102371","","2371584","3","4294967000"
"01:11","21.235","0","1.53","3.06","3.06","93.106","94.315","3.634","","0","","",""
"01:13","","","","","","","","","102319","","2371584","3","4294967000"
"01:14","21.282","0","1.024","2.049","2.049","94.054","94.669","3.35","","0","","",""
"01:16","","","","","","","","","102253","","2371584","3","4294967000"
"01:17","21.339","0","1.025","2.05","2.05","94.398","94.233","3.7","","0","","",""
"01:19","","","","","","","","","102157","","2371584","3","4294967000"
"01:20","21.397","0","0.965","1.929","1.929","94.49","94.705","3.522","","0","","",""
"01:22","","","","","","","","","102074","","2371584","3","4294967000"
"01:23","21.45","0.024","0.965","1.93","1.906","94.679","93.711","4.878","","0","","",""
"01:25","","","","","","","","","101992","","2371584","3","4294967000"
"01:26","21.513","0","1.09","2.18","2.18","94.409","94.512","4.249","","0","","",""
"01:28","","","","","","","","","101887","","2371584","3","4294967000"
"01:29","21.589","0.08","1.149","2.297","2.217","94.121","92.864","4.284","","0","","",""
"01:31","","","","","","","","","101781","","2371584","3","4294967000"
"01:32","21.62","0.008","1.163","2.325","2.318","93.972","93.989","4.327","","0","","",""
"01:34","","","","","","","","","101738","","2371584","3","4294967000"
"01:35","21.621","0","1.327","2.655","2.655","95.646","97.026","1.31","","0","","",""
"01:37","","","","","","","","","101736","","2371584","3","4294967000"
