"Relative Time","Hits"
"00:00","0"
"00:01","134"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","95"
"00:06","92"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","144"
"00:11","73"
"00:12","0"
"00:13","0"
"00:14","0"
"00:15","165"
"00:16","54"
"00:17","0"
"00:18","0"
"00:19","0"
"00:20","184"
"00:21","46"
"00:22","0"
"00:23","0"
"00:24","0"
"00:25","210"
"00:26","41"
"00:27","0"
"00:28","0"
"00:29","0"
"00:30","143"
"00:31","107"
"00:32","0"
"00:33","0"
"00:34","0"
"00:35","58"
"00:36","172"
"00:37","0"
"00:38","0"
"00:39","0"
"00:40","26"
"00:41","208"
"00:42","0"
"00:43","0"
"00:44","0"
"00:45","24"
"00:46","214"
"00:47","0"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","242"
"00:52","0"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","252"
"00:57","0"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","228"
"01:02","19"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","180"
"01:07","72"
"01:08","0"
"01:09","0"
"01:10","0"
"01:11","64"
"01:12","176"
"01:13","0"
"01:14","0"
"01:15","0"
"01:16","64"
"01:17","186"
"01:18","0"
"01:19","0"
"01:20","0"
"01:21","0"
"01:22","250"
"01:23","0"
"01:24","0"
"01:25","0"
"01:26","0"
"01:27","252"
"01:28","0"
"01:29","0"
"01:30","0"
"01:31","0"
"01:32","234"
"01:33","13"
"01:34","0"
"01:35","0"
"01:36","0"
"01:37","166"
"01:38","91"
"01:39","0"
"01:40","0"
"01:41","0"
"01:42","84"
"01:43","168"
"01:44","0"
"01:45","0"
"01:46","0"
"01:47","22"
"01:48","209"
"01:49","11"
"01:50","0"
"01:51","0"
"01:52","33"
"01:53","209"
"01:54","11"
"01:55","0"
"01:56","0"
"01:57","44"
"01:58","110"
"01:59","106"
"02:00","0"
"02:01","0"
"02:02","10"
"02:03","80"
"02:04","160"
