"Relative Time","Throughput"
"00:00","0"
"00:01","0"
"00:02","0"
"00:03","0"
"00:04","0"
"00:05","0"
"00:06","30686"
"00:07","0"
"00:08","0"
"00:09","0"
"00:10","21755"
"00:11","21068"
"00:12","0"
"00:13","0"
"00:14","0"
"00:15","32976"
"00:16","16717"
"00:17","0"
"00:18","0"
"00:19","0"
"00:20","38243"
"00:21","12366"
"00:22","0"
"00:23","0"
"00:24","0"
"00:25","42136"
"00:26","10534"
"00:27","0"
"00:28","0"
"00:29","0"
"00:30","38472"
"00:31","19007"
"00:32","0"
"00:33","0"
"00:34","0"
"00:35","24732"
"00:36","32747"
"00:37","0"
"00:38","0"
"00:39","0"
"00:40","6641"
"00:41","45800"
"00:42","0"
"00:43","0"
"00:44","0"
"00:45","0"
"00:46","53586"
"00:47","0"
"00:48","0"
"00:49","0"
"00:50","0"
"00:51","54502"
"00:52","0"
"00:53","0"
"00:54","0"
"00:55","0"
"00:56","55418"
"00:57","0"
"00:58","0"
"00:59","0"
"01:00","0"
"01:01","57708"
"01:02","0"
"01:03","0"
"01:04","0"
"01:05","0"
"01:06","52212"
"01:07","4351"
"01:08","0"
"01:09","0"
"01:10","0"
"01:11","37098"
"01:12","20610"
"01:13","0"
"01:14","0"
"01:15","0"
"01:16","10992"
"01:17","43968"
"01:18","0"
"01:19","0"
"01:20","0"
"01:21","10992"
"01:22","46945"
"01:23","0"
"01:24","0"
"01:25","0"
"01:26","0"
"01:27","58395"
"01:28","0"
"01:29","0"
"01:30","0"
"01:31","0"
"01:32","51296"
"01:33","6412"
"01:34","0"
"01:35","0"
"01:36","0"
"01:37","26793"
"01:38","29770"
"01:39","0"
"01:40","0"
"01:41","0"
"01:42","20839"
"01:43","37098"
"01:44","0"
"01:45","0"
"01:46","0"
"01:47","10992"
"01:48","46716"
"01:49","0"
"01:50","0"
"01:51","0"
"01:52","5267"
"01:53","45342"
"01:54","5038"
"01:55","0"
"01:56","0"
"01:57","5038"
"01:58","45342"
"01:59","7557"
"02:00","0"
"02:01","0"
"02:02","7557"
"02:03","15114"
"02:04","37327"
"02:05","0"
"02:06","0"
"02:07","2290"
"02:08","16030"
"02:09","38930"
"02:10","0"
"02:11","0"
"02:12","2290"
"02:13","9160"
"02:14","36640"
"02:15","11450"
"02:16","0"
"02:17","0"
"02:18","8244"
"02:19","12366"
"02:20","35037"
"02:21","0"
"02:22","0"
"02:23","8244"
"02:24","14427"
"02:25","35037"
"02:26","0"
"02:27","0"
"02:28","10305"
"02:29","8244"
"02:30","27709"
"02:31","10992"
"02:32","0"
"02:33","7557"
"02:34","7328"
"02:35","14885"
"02:36","27022"
"02:37","0"
"02:38","7328"
"02:39","7328"
"02:40","12824"
"02:41","21984"
"02:42","7328"
"02:43","7328"
"02:44","7328"
"02:45","10992"
"02:46","21984"
"02:47","10992"
"02:48","5496"
"02:49","10992"
"02:50","5496"
"02:51","25648"
"02:52","12824"
"02:53","1832"
"02:54","10305"
"02:55","4809"
"02:56","9618"
"02:57","19236"
"02:58","11221"
"02:59","8015"
"03:00","8015"
"03:01","8015"
"03:02","19236"
"03:03","14427"
"03:04","3206"
"03:05","12824"
"03:06","4809"
"03:07","22442"
"03:08","12824"
"03:09","4809"
"03:10","12824"
"03:11","6412"
"03:12","11221"
"03:13","12824"
"03:14","16030"
"03:15","9618"
"03:16","6412"
"03:17","6412"
"03:18","20839"
"03:19","16030"
"03:20","4351"
"03:21","10992"
"03:22","4580"
"03:23","8015"
"03:24","19236"
"03:25","17633"
"03:26","14198"
"03:27","1374"
"03:28","4122"
"03:29","10992"
"03:30","15114"
"03:31","13740"
"03:32","12366"
"03:33","2748"
"03:34","9618"
"03:35","17862"
"03:36","13740"
"03:37","13740"
"03:38","1374"
"03:39","9618"
"03:40","17862"
"03:41","13740"
"03:42","12366"
"03:43","4122"
"03:44","5496"
"03:45","19236"
"03:46","10992"
"03:47","12366"
"03:48","12366"
"03:49","4122"
"03:50","12366"
"03:51","15114"
"03:52","15114"
"03:53","13740"
"03:54","2748"
"03:55","6870"
"03:56","13740"
"03:57","13740"
"03:58","13740"
"03:59","15114"
"04:00","1374"
"04:01","8244"
"04:02","20610"
"04:03","8015"
"04:04","10763"
"04:05","13282"
"04:06","1374"
"04:07","9618"
"04:08","20381"
"04:09","14198"
"04:10","12595"
"04:11","3435"
"04:12","1145"
"04:13","10305"
"04:14","26335"
"04:15","13740"
"04:16","3435"
"04:17","2290"
"04:18","5725"
"04:19","27480"
"04:20","17175"
"04:21","3435"
"04:22","2290"
"04:23","5725"
"04:24","22900"
"04:25","21755"
"04:26","3435"
"04:27","2290"
"04:28","5725"
"04:29","18320"
"04:30","25190"
"04:31","4580"
"04:32","2290"
"04:33","5725"
"04:34","17175"
"04:35","24045"
"04:36","6870"
"04:37","1145"
"04:38","6870"
"04:39","12595"
"04:40","27480"
"04:41","8015"
"04:42","1145"
"04:43","4580"
"04:44","12595"
"04:45","26335"
"04:46","11450"
"04:47","1145"
"04:48","4580"
"04:49","8015"
"04:50","27480"
"04:51","13740"
"04:52","2290"
"04:53","2290"
"04:54","9160"
"04:55","26335"
"04:56","13740"
"04:57","4580"
"04:58","1145"
"04:59","6870"
"05:00","26335"
"05:01","17175"
"05:02","3435"
"05:03","2290"
"05:04","5725"
"05:05","24045"
"05:06","20610"
"05:07","3435"
"05:08","2290"
"05:09","5725"
"05:10","18320"
"05:11","27480"
"05:12","8244"
"05:13","2290"
"05:14","5725"
"05:15","18320"
"05:16","0"
"05:17","25190"
"05:18","6870"
"05:19","5725"
"05:20","17175"
"05:21","1145"
"05:22","21755"
"05:23","9160"
"05:24","6870"
"05:25","16030"
"05:26","2290"
"05:27","21755"
"05:28","9160"
"05:29","4580"
"05:30","13740"
"05:31","6870"
"05:32","19465"
"05:33","11450"
"05:34","4580"
"05:35","11450"
"05:36","9160"
"05:37","17175"
"05:38","13740"
"05:39","4580"
"05:40","8015"
"05:41","12595"
"05:42","17175"
"05:43","12595"
"05:44","3435"
"05:45","10305"
"05:46","12595"
"05:47","14885"
"05:48","13740"
"05:49","3435"
"05:50","10305"
"05:51","13740"
"05:52","15114"
"05:53","17862"
"05:54","5496"
"05:55","9618"
"05:56","19236"
"05:57","0"
"05:58","12595"
"05:59","14885"
"06:00","4580"
"06:01","9160"
"06:02","14885"
"06:03","11450"
"06:04","16030"
"06:05","4580"
"06:06","6870"
"06:07","17175"
"06:08","8015"
"06:09","18320"
"06:10","5725"
"06:11","6870"
"06:12","17175"
"06:13","4580"
"06:14","21755"
"06:15","5725"
"06:16","5725"
"06:17","18320"
"06:18","0"
"06:19","22900"
"06:20","8015"
"06:21","6870"
"06:22","14885"
"06:23","3435"
"06:24","21755"
"06:25","9160"
"06:26","5725"
"06:27","12595"
"06:28","6870"
"06:29","21755"
"06:30","9160"
"06:31","4580"
"06:32","12595"
"06:33","8015"
"06:34","17175"
"06:35","13740"
"06:36","4580"
"06:37","8015"
"06:38","12595"
"06:39","14885"
"06:40","14885"
"06:41","3435"
"06:42","9160"
"06:43","13740"
"06:44","13740"
"06:45","13740"
"06:46","4580"
"06:47","8015"
"06:48","16030"
"06:49","12595"
"06:50","14885"
"06:51","4580"
"06:52","7099"
"06:53","17175"
"06:54","11450"
"06:55","16030"
"06:56","4580"
"06:57","5725"
"06:58","18320"
"06:59","8015"
"07:00","18320"
"07:01","5725"
"07:02","4580"
"07:03","19465"
"07:04","3435"
"07:05","22900"
"07:06","5725"
"07:07","4580"
"07:08","19465"
"07:09","1145"
"07:10","22900"
"07:11","8015"
"07:12","4580"
"07:13","17175"
"07:14","2290"
"07:15","21755"
"07:16","9160"
"07:17","5725"
"07:18","13053"
"07:19","6870"
"07:20","21755"
"07:21","9160"
"07:22","4580"
"07:23","10305"
"07:24","10305"
"07:25","19465"
"07:26","11450"
"07:27","4580"
"07:28","10305"
"07:29","8015"
"07:30","19465"
"07:31","14656"
"07:32","5496"
"07:33","9618"
"07:34","12366"
"07:35","19923"
"07:36","9160"
"07:37","4580"
"07:38","4580"
"07:39","6870"
"07:40","28625"
"07:41","11450"
"07:42","3435"
"07:43","4580"
"07:44","8015"
"07:45","26335"
"07:46","13740"
"07:47","3435"
"07:48","3435"
"07:49","8015"
"07:50","26335"
"07:51","14885"
"07:52","1145"
"07:53","4580"
"07:54","9160"
"07:55","25190"
"07:56","16030"
"07:57","1145"
"07:58","4580"
"07:59","5725"
"08:00","27480"
"08:01","17175"
"08:02","0"
"08:03","5725"
"08:04","4580"
"08:05","22900"
"08:06","22900"
"08:07","0"
"08:08","5725"
"08:09","4580"
"08:10","17175"
"08:11","26335"
"08:12","2290"
"08:13","5725"
"08:14","4580"
"08:15","16030"
"08:16","25190"
"08:17","4580"
"08:18","4580"
"08:19","6412"
"08:20","16259"
"08:21","28396"
"08:22","4580"
"08:23","4580"
"08:24","2290"
"08:25","4580"
"08:26","34350"
"08:27","10305"
"08:28","4580"
"08:29","1145"
"08:30","5725"
"08:31","27480"
"08:32","17175"
"08:33","4580"
"08:34","1145"
"08:35","5725"
"08:36","22900"
"08:37","21755"
"08:38","4580"
"08:39","1145"
"08:40","5725"
"08:41","19465"
"08:42","25190"
"08:43","3435"
"08:44","2290"
"08:45","3435"
"08:46","19465"
"08:47","27480"
"08:48","2290"
"08:49","3435"
"08:50","2290"
"08:51","19465"
"08:52","28625"
"08:53","1145"
"08:54","4580"
"08:55","2290"
"08:56","16030"
"08:57","32060"
"08:58","1145"
"08:59","4580"
"09:00","2290"
"09:01","10305"
"09:02","37785"
"09:03","0"
"09:04","5725"
"09:05","1145"
"09:06","4580"
"09:07","42365"
"09:08","2290"
"09:09","5725"
"09:10","1145"
"09:11","4580"
"09:12","38930"
"09:13","5725"
"09:14","4580"
"09:15","2290"
"09:16","4580"
"09:17","33205"
"09:18","11450"
"09:19","4580"
"09:20","2290"
"09:21","4580"
"09:22","28625"
"09:23","16030"
"09:24","4580"
"09:25","1145"
"09:26","5725"
"09:27","24045"
"09:28","20610"
"09:29","5496"
"09:30","1374"
"09:31","6870"
"09:32","27480"
"09:33","26106"
"09:34","0"
"09:35","4580"
"09:36","1145"
"09:37","5725"
"09:38","24045"
"09:39","20610"
"09:40","4580"
"09:41","1145"
"09:42","4580"
"09:43","19465"
"09:44","26335"
"09:45","3435"
"09:46","2290"
"09:47","3435"
"09:48","18320"
"09:49","28625"
"09:50","1145"
"09:51","4580"
"09:52","2290"
"09:53","11450"
"09:54","36640"
"09:55","0"
"09:56","5725"
"09:57","1145"
"09:58","8015"
"09:59","41220"
"10:00","0"
"10:01","5954"
"10:02","1371"
"10:03","4580"
"10:04","40075"
"10:05","4580"
"10:06","4580"
"10:07","2290"
"10:08","4580"
"10:09","36640"
"10:10","8015"
"10:11","3435"
"10:12","3435"
"10:13","4580"
"10:14","33205"
