"Relative Time","acker","acker_showstopper"
"00:01","0.036",""
"00:02","0.028",""
"00:03","0.031",""
"00:04","0.036",""
"00:05","0.041",""
"00:06","0.053",""
"00:07","0.051",""
"00:08","0.046",""
"00:09","0.043",""
"00:10","0.057",""
"00:11","0.066",""
"00:12","0.07",""
"00:13","0.059",""
"00:14","0.059",""
"00:15","0.067",""
"00:16","0.09",""
"00:17","0.088",""
"00:18","0.087",""
"00:19","0.082",""
"00:20","0.083",""
"00:21","0.112",""
"00:22","0.1",""
"00:23","0.111",""
"00:24","0.098",""
"00:25","0.104",""
"00:26","0.124",""
"00:27","0.124",""
"00:28","0.124",""
"00:29","0.117",""
"00:30","0.115",""
"00:31","0.14",""
"00:32","0.139",""
"00:33","0.144",""
"00:34","0.14",""
"00:35","0.143",""
"00:36","0.162",""
"00:37","0.214",""
"00:38","0.198",""
"00:39","0.179",""
"00:40","0.145",""
"00:41","0.191",""
"00:42","0.188",""
"00:43","0.208",""
"00:44","0.193",""
"00:45","0.193",""
"00:46","0.201",""
"00:47","0.203",""
"00:48","0.233",""
"00:49","0.196",""
"00:50","0.23",""
"00:51","0.229",""
"00:52","0.245",""
"00:53","0.233",""
"00:54","0.228",""
"00:55","0.228",""
"00:56","0.238",""
"00:57","0.252",""
"00:58","0.232",""
"00:59","0.249",""
"01:00","0.249",""
"01:01","0.257",""
"01:02","0.27",""
"01:03","0.27",""
"01:04","0.26",""
"01:05","0.264",""
"01:06","0.275",""
"01:07","0.291",""
"01:08","0.285",""
"01:09","0.28",""
"01:10","0.283",""
"01:11","0.298",""
"01:12","0.312",""
"01:13","0.31",""
"01:14","0.331",""
"01:15","0.311",""
"01:16","0.314",""
"01:17","0.332",""
"01:18","0.326",""
"01:19","0.332",""
"01:20","0.333",""
"01:21","0.332",""
"01:22","0.352",""
"01:23","0.347",""
"01:24","0.353",""
"01:25","0.361",""
"01:26","0.353",""
"01:27","0.359",""
"01:28","0.356",""
"01:29","0.374",""
"01:30","0.372",""
"01:31","0.368",""
"01:32","0.39",""
"01:33","0.395",""
"01:34","0.394",""
"01:35","0.395",""
"01:36","0.395",""
"01:37","0.408",""
"01:38","0.416",""
"01:39","0.415",""
"01:40","0.416",""
"01:41","0.416",""
"01:42","0.41",""
"01:43","0.436",""
"01:44","0.442",""
"01:45","0.437",""
"01:46","0.428",""
"01:47","0.446",""
"01:48","0.458",""
"01:49","0.457",""
"01:50","0.458",""
"01:51","0.457",""
"01:52","0.447",""
"01:53","0.488",""
"01:54","0.473",""
"01:55","0.468",""
"01:56","0.468",""
"01:57","0.483",""
"01:58","0.499",""
"01:59","0.472",""
"02:00","0.496",""
"02:01","0.499",""
"02:02","0.502",""
"02:03","0.52",""
"02:04","0.524",""
"02:05","0.533",""
"02:06","0.52",""
"02:07","0.52",""
"02:08","0.541",""
"02:09","0.539",""
"02:10","0.531",""
"02:11","0.547",""
"02:12","0.54",""
"02:13","0.561",""
