"Relative Time","% Committed Bytes In Use (Memory):viccbiostat096","% Disk Read Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Time (PhysicalDisk _Total):viccbiostat096","% Disk Time (PhysicalDisk 0 C|):viccbiostat096","% Disk Write Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (PhysicalDisk 0 C|):viccbiostat096","% Idle Time (Processor _Total):viccbiostat096","% Processor Time (Processor _Total):viccbiostat096","Available MBytes (Memory):viccbiostat096","Avg. Disk sec/Transfer (PhysicalDisk 0 C|):viccbiostat096","Private Bytes (Process ubuntu):viccbiostat096","Thread Count (Process ubuntu):viccbiostat096","Virtual Bytes (Process ubuntu):viccbiostat096"
"00:00","37.705","0.014","0.601","1.197","1.183","98.8","93.686","3.68","","0","","",""
"00:02","","","","","","","","","77489","","2387968","3","4294967000"
"00:03","36.899","0.028","0.613","1.216","1.189","98.59","91.661","4.878","","0","","",""
"00:05","","","","","","","","","78532","","2387968","3","4294967000"
"00:06","37.052","0","0.257","0.509","0.509","99.205","95.572","2.564","","0","","",""
"00:08","","","","","","","","","78513","","2387968","3","4294967000"
"00:09","37.061","0","0.298","0.596","0.596","99.102","95.341","3.177","","0","","",""
"00:11","","","","","","","","","78482","","2387968","3","4294967000"
"00:12","37.066","0","0.175","0.334","0.334","99.639","95.451","2.872","","0","","",""
"00:14","","","","","","","","","78473","","2387968","3","4294967000"
"00:15","37.065","0","0.132","0.262","0.262","99.686","95.004","3.845","","0","","",""
"00:17","","","","","","","","","78466","","2387968","3","4294967000"
"00:18","37.067","0.066","0.218","0.43","0.365","99.611","95.143","2.502","","0","","",""
"00:20","","","","","","","","","78463","","2387968","3","4294967000"
"00:21","37.07","0.02","0.156","0.313","0.293","99.682","94.826","3.331","","0","","",""
"00:23","","","","","","","","","78452","","2387968","3","4294967000"
"00:24","37.074","0","0.091","0.182","0.182","99.785","96.143","2.42","","0","","",""
"00:26","","","","","","","","","78449","","2387968","3","4294967000"
"00:27","37.075","0","0.08","0.161","0.161","99.818","96.874","1.807","","0","","",""
"00:29","","","","","","","","","78443","","2387968","3","4294967000"
"00:30","37.079","0","0.116","0.232","0.232","99.724","96.631","2.529","","0","","",""
"00:32","","","","","","","","","78437","","2387968","3","4294967000"
"00:33","37.091","0","0.134","0.267","0.267","99.674","96.833","1.537","","0","","",""
"00:35","","","","","","","","","78433","","2387968","3","4294967000"
"00:36","37.094","0","0.063","0.126","0.126","99.846","96.004","2.706","","0","","",""
"00:38","","","","","","","","","78426","","2387968","3","4294967000"
"00:39","37.116","0","0.13","0.231","0.231","99.79","89.613","7.29","","0","","",""
"00:41","","","","","","","","","78402","","2387968","3","4294967000"
"00:42","37.201","0","0.084","0.16","0.16","99.824","93.671","4.385","","0","","",""
"00:44","","","","","","","","","78279","","2387968","3","4294967000"
"00:45","37.231","0.016","0.204","0.408","0.392","99.503","94.829","2.955","","0","","",""
"00:47","","","","","","","","","78225","","2387968","3","4294967000"
"00:48","37.235","0.019","0.604","1.203","1.184","98.689","93.494","4.463","","0","","",""
"00:50","","","","","","","","","78194","","2387968","3","4294967000"
"00:51","37.262","0.034","0.202","0.405","0.371","99.577","95.21","3.307","","0","","",""
"00:53","","","","","","","","","78178","","2387968","3","4294967000"
"00:54","37.246","0","0.155","0.31","0.31","99.778","98.219","0.504","","0","","",""
"00:56","","","","","","","","","78168","","2387968","3","4294967000"
"00:57","37.25","0","0.082","0.163","0.163","99.772","97.892","0.953","","0","","",""
"00:59","","","","","","","","","78166","","2387968","3","4294967000"
"01:00","37.245","0","0.155","0.311","0.311","99.764","98.342","0.483","","0","","",""
"01:02","","","","","","","","","78170","","2387968","3","4294967000"
"01:03","37.245","0","0.164","0.327","0.327","99.673","98.124","0.903","","0","","",""
"01:05","","","","","","","","","78173","","2387968","3","4294967000"
"01:06","37.245","0","0.128","0.256","0.256","99.711","97.916","1.297","","0","","",""
"01:08","","","","","","","","","78173","","2387968","3","4294967000"
"01:09","37.249","0","0.141","0.281","0.281","99.643","95.969","1.954","","0","","",""
"01:11","","","","","","","","","78174","","2445312","5","4294967000"
"01:12","37.121","0","0.138","0.269","0.269","99.687","97.039","2.016","","0","","",""
"01:14","","","","","","","","","78363","","2445312","5","4294967000"
"01:15","37.121","0","0.107","0.215","0.215","99.785","98.293","0.486","","0","","",""
"01:17","","","","","","","","","78364","","2445312","5","4294967000"
"01:18","37.123","0","0.143","0.285","0.285","99.718","98.408","0.514","","0","","",""
"01:20","","","","","","","","","78363","","2445312","5","4294967000"
"01:21","37.125","0","0.202","0.403","0.403","99.479","98.334","0.743","","0","","",""
"01:23","","","","","","","","","78359","","2445312","5","4294967000"
"01:24","37.128","0","0.07","0.14","0.14","99.766","98.187","0.46","","0","","",""
"01:26","","","","","","","","","78348","","2445312","5","4294967000"
"01:27","37.131","0","0.119","0.238","0.238","99.825","98.04","1.161","","0","","",""
"01:29","","","","","","","","","78345","","2445312","5","4294967000"
"01:30","37.132","0","0.107","0.213","0.213","99.759","98.613","0","","0","","",""
"01:32","","","","","","","","","78346","","2445312","5","4294967000"
"01:33","37.132","0","0.152","0.304","0.304","99.675","98.43","0.321","","0","","",""
"01:35","","","","","","","","","78346","","2445312","5","4294967000"
"01:36","37.133","0","0.161","0.291","0.291","99.686","98.489","0.51","","0","","",""
"01:38","","","","","","","","","78346","","2445312","5","4294967000"
"01:39","37.135","0","0.133","0.23","0.23","99.715","98.314","0.34","","0","","",""
"01:41","","","","","","","","","78336","","2445312","5","4294967000"
"01:42","37.139","0","0.12","0.234","0.234","99.725","97.944","1.452","","0","","",""
"01:44","","","","","","","","","78334","","2445312","5","4294967000"
"01:45","37.139","0.049","0.13","0.259","0.211","99.719","98.42","0","","0","","",""
"01:47","","","","","","","","","78332","","2445312","5","4294967000"
"01:48","37.143","0","0.12","0.239","0.239","99.755","98.137","0.729","","0","","",""
"01:50","","","","","","","","","78329","","2445312","5","4294967000"
"01:51","37.148","0","0.107","0.214","0.214","99.753","98.185","0.742","","0","","",""
"01:53","","","","","","","","","78327","","2445312","5","4294967000"
"01:54","37.15","0","0.132","0.259","0.259","99.69","98.345","0.81","","0","","",""
"01:56","","","","","","","","","78320","","2445312","5","4294967000"
"01:57","37.152","0.49","0.579","1.153","0.662","99.115","97.114","1.507","","0","","",""
"01:59","","","","","","","","","78315","","2445312","5","4294967000"
"02:00","37.162","0.014","0.177","0.353","0.339","99.69","97.971","0.719","","0","","",""
"02:02","","","","","","","","","78292","","2445312","5","4294967000"
"02:03","37.152","0","0.054","0.108","0.108","99.897","97.723","0.711","","0","","",""
"02:05","","","","","","","","","78311","","2445312","5","4294967000"
"02:06","37.15","0","0.039","0.064","0.064","99.93","98.456","0","","0","","",""
"02:08","","","","","","","","","78316","","2445312","5","4294967000"
"02:09","37.151","0","0.098","0.196","0.196","99.756","98.082","0.966","","0","","",""
"02:11","","","","","","","","","78314","","2445312","5","4294967000"
"02:12","37.156","0","0.182","0.364","0.364","99.734","98.364","0.393","","0","","",""
"02:14","","","","","","","","","78314","","2445312","5","4294967000"
"02:15","37.157","0","0.103","0.205","0.205","99.761","98.054","0.187","","0","","",""
"02:17","","","","","","","","","78315","","2445312","5","4294967000"
"02:18","37.159","0","0.146","0.291","0.291","99.711","98.114","0.751","","0","","",""
"02:20","","","","","","","","","78312","","2445312","5","4294967000"
"02:21","37.16","0","0.117","0.235","0.235","99.724","98.261","0.484","","0","","",""
"02:23","","","","","","","","","78311","","2416640","4","4294967000"
"02:24","37.164","0","0.081","0.163","0.163","99.803","98.194","0.91","","0","","",""
"02:26","","","","","","","","","78302","","2416640","4","4294967000"
"02:27","37.164","0","0.101","0.201","0.201","99.832","98.229","0.316","","0","","",""
"02:29","","","","","","","","","78300","","2416640","4","4294967000"
"02:30","37.168","0","0.109","0.218","0.218","99.758","98.165","0.341","","0","","",""
"02:32","","","","","","","","","78301","","2416640","4","4294967000"
"02:33","37.164","0","0.256","0.512","0.512","99.294","98.203","0.565","","0","","",""
"02:35","","","","","","","","","78302","","2416640","4","4294967000"
"02:36","37.165","0","0.096","0.192","0.192","99.827","97.821","0.609","","0","","",""
"02:38","","","","","","","","","78302","","2416640","4","4294967000"
"02:39","37.166","0","0.156","0.275","0.275","99.654","97.828","1.017","","0","","",""
"02:41","","","","","","","","","78299","","2416640","4","4294967000"
"02:42","37.167","0","0.123","0.238","0.238","99.759","98.453","0.406","","0","","",""
"02:44","","","","","","","","","78296","","2416640","4","4294967000"
"02:45","37.169","0","0.112","0.224","0.224","99.781","97.59","0.569","","0","","",""
"02:47","","","","","","","","","78294","","2416640","4","4294967000"
"02:48","37.179","0","0.14","0.28","0.28","99.753","98.252","0.94","","0","","",""
"02:50","","","","","","","","","78271","","2416640","4","4294967000"
"02:51","37.181","0","0.148","0.295","0.295","99.667","97.936","0.908","","0","","",""
"02:53","","","","","","","","","78268","","2416640","4","4294967000"
"02:54","37.184","0","0.102","0.204","0.204","99.789","98.507","0.044","","0","","",""
"02:56","","","","","","","","","78266","","2416640","4","4294967000"
"02:57","37.186","0","0.153","0.306","0.306","99.682","97.588","1.063","","0","","",""
"02:59","","","","","","","","","78266","","2416640","4","4294967000"
"03:00","37.19","0","0.207","0.414","0.414","99.457","97.765","0.753","","0","","",""
"03:02","","","","","","","","","78249","","2416640","4","4294967000"
"03:03","37.185","0.108","0.26","0.52","0.412","99.571","97.98","0.633","","0","","",""
"03:05","","","","","","","","","78260","","2416640","4","4294967000"
"03:06","37.187","0","0.129","0.258","0.258","99.674","97.744","0.724","","0","","",""
"03:08","","","","","","","","","78253","","2416640","4","4294967000"
"03:09","37.193","0","0.09","0.181","0.181","99.816","98.356","0.344","","0","","",""
"03:11","","","","","","","","","78249","","2416640","4","4294967000"
"03:12","37.193","0","0.157","0.308","0.308","99.633","98.144","0.624","","0","","",""
"03:14","","","","","","","","","78247","","2416640","4","4294967000"
"03:15","37.197","0","1.49","2.98","2.98","93.863","97.859","1.509","","0","","",""
"03:17","","","","","","","","","78240","","2416640","4","4294967000"
"03:18","37.198","0","0.242","0.484","0.484","99.542","98.229","0.349","","0","","",""
"03:20","","","","","","","","","78243","","2416640","4","4294967000"
"03:21","37.2","0","0.151","0.302","0.302","99.603","98.325","1.187","","0","","",""
"03:23","","","","","","","","","78243","","2416640","4","4294967000"
"03:24","37.201","0","0.154","0.309","0.309","99.636","98.34","0.426","","0","","",""
