"Relative Time","acker:Pass","acker_showstopper:Pass"
"00:00","0","0"
"00:01","23","0"
"00:02","33","0"
"00:03","28","0"
"00:04","26","0"
"00:05","31","0"
"00:06","34","0"
"00:07","36","0"
"00:08","39","0"
"00:09","41","0"
"00:10","37","0"
"00:11","42","0"
"00:12","41","0"
"00:13","46","0"
"00:14","46","0"
"00:15","44","0"
"00:16","42","0"
"00:17","42","0"
"00:18","43","0"
"00:19","46","0"
"00:20","47","0"
"00:21","41","0"
"00:22","48","0"
"00:23","42","0"
"00:24","48","0"
"00:25","48","0"
"00:26","48","0"
"00:27","48","0"
"00:28","48","0"
"00:29","51","0"
"00:30","52","0"
"00:31","49","0"
"00:32","50","0"
"00:33","50","0"
"00:34","48","0"
"00:35","49","0"
"00:36","49","0"
"00:37","37","0"
"00:38","40","0"
"00:39","44","0"
"00:40","55","0"
"00:41","46","0"
"00:42","47","0"
"00:43","43","0"
"00:44","45","0"
"00:45","48","0"
"00:46","48","0"
"00:47","49","0"
"00:48","44","0"
"00:49","49","0"
"00:50","44","0"
"00:51","46","0"
"00:52","45","0"
"00:53","47","0"
"00:54","48","0"
"00:55","48","0"
"00:56","48","0"
"00:57","47","0"
"00:58","52","0"
"00:59","48","0"
"01:00","48","0"
"01:01","48","0"
"01:02","48","0"
"01:03","48","0"
"01:04","50","0"
"01:05","49","0"
"01:06","48","0"
"01:07","48","0"
"01:08","49","0"
"01:09","51","0"
"01:10","48","0"
"01:11","47","0"
"01:12","48","0"
"01:13","49","0"
"01:14","45","0"
"01:15","48","0"
"01:16","48","0"
"01:17","48","0"
"01:18","49","0"
"01:19","48","0"
"01:20","48","0"
"01:21","48","0"
"01:22","48","0"
"01:23","49","0"
"01:24","48","0"
"01:25","47","0"
"01:26","48","0"
"01:27","52","0"
"01:28","48","0"
"01:29","48","0"
"01:30","49","0"
"01:31","48","0"
"01:32","48","0"
"01:33","48","0"
"01:34","48","0"
"01:35","48","0"
"01:36","48","0"
"01:37","48","0"
"01:38","48","0"
"01:39","48","0"
"01:40","48","0"
"01:41","48","0"
"01:42","50","0"
"01:43","48","0"
"01:44","47","0"
"01:45","48","0"
"01:46","49","0"
"01:47","48","0"
"01:48","48","0"
"01:49","48","0"
"01:50","48","0"
"01:51","48","0"
"01:52","50","0"
"01:53","47","0"
"01:54","50","0"
"01:55","48","0"
"01:56","49","0"
"01:57","48","0"
"01:58","48","0"
"01:59","51","0"
"02:00","48","0"
"02:01","48","0"
"02:02","48","0"
"02:03","48","0"
"02:04","47","0"
"02:05","47","0"
"02:06","48","0"
"02:07","48","0"
"02:08","48","0"
